,pop,depth,cell.type,cell.type.idx,x,y
cell190,4_1,0.740740740740741,4_1_2,8,16,26
cell191,4_5,0.736486486486487,4_5_2,2,5,15
cell192,4_5,0.72972972972973,4_5_2,2,12,11
cell193,4_5,0.722972972972973,4_5_2,2,17,11
cell194,4_1,0.713804713804714,4_1_2,8,9,24
cell195,4_1,0.707070707070707,4_1_2,8,15,20
cell196,4_1,0.7003367003367,4_1_2,8,7,21
cell197,4_5,0.695945945945946,4_5_2,2,20,9
cell198,4_1,0.686868686868687,4_1_2,8,25,13
cell199,4_5,0.682432432432432,4_5_2,2,4,16
cell200,4_5,0.675675675675676,4_5_2,2,6,18
cell201,4_1,0.666666666666667,4_1_2,8,18,12
cell202,4_1,0.65993265993266,4_1_2,8,21,9
cell203,4_5,0.655405405405405,4_5_2,2,23,14
cell204,4_1,0.646464646464646,4_1_2,8,8,22
cell205,4_5,0.641891891891892,4_5_2,2,25,11
cell206,4_5,0.635135135135135,4_5_2,2,20,11
cell207,4_5,0.628378378378378,4_5_2,2,19,9
cell208,4_5,0.621621621621622,4_5_2,2,10,11
cell209,4_5,0.614864864864865,4_5_2,2,9,13
cell210,4_1,0.606060606060606,4_1_2,8,7,20
cell211,4_5,0.601351351351351,4_5_2,2,16,9
cell212,4_5,0.594594594594595,4_5_2,2,14,10
cell213,4_5,0.587837837837838,4_5_2,2,9,12
cell214,4_5,0.581081081081081,4_5_2,2,17,9
cell215,4_1,0.572390572390572,4_1_2,8,9,23
cell216,4_5,0.567567567567568,4_5_2,2,6,14
cell217,4_5,0.560810810810811,4_5_2,2,15,9
cell218,4_1,0.552188552188552,4_1_2,8,24,9
cell219,4_5,0.547297297297297,4_5_2,2,19,24
cell220,4_1,0.538720538720539,4_1_2,8,9,11
cell221,4_5,0.533783783783784,4_5_2,2,10,23
cell222,4_5,0.527027027027027,4_5_2,2,13,9
cell223,4_5,0.52027027027027,4_5_2,2,4,15
cell224,4_5,0.513513513513514,4_5_2,2,15,12
cell225,4_5,0.506756756756757,4_5_2,2,23,8
cell226,4_1,0.498316498316498,4_1_2,8,6,21
cell227,4_5,0.493243243243243,4_5_1,1,8,12
cell228,4_1,0.484848484848485,4_1_1,7,5,14
cell229,4_1,0.478114478114478,4_1_1,7,5,18
