,pop,depth,cell.type,cell.type.idx,x,y
cell181,4_1,0.801346801346801,4_1_2,8,8,23
cell182,4_5,0.797297297297297,4_5_2,2,9,25
cell183,4_5,0.790540540540541,4_5_2,2,20,22
cell184,4_1,0.781144781144781,4_1_2,8,8,24
cell185,4_5,0.777027027027027,4_5_2,2,22,10
cell186,4_1,0.767676767676768,4_1_2,8,12,8
cell187,4_1,0.760942760942761,4_1_2,8,7,20
cell188,4_5,0.756756756756757,4_5_2,2,12,11
cell189,4_5,0.75,4_5_2,2,17,24
cell190,4_5,0.743243243243243,4_5_2,2,10,27
cell191,4_5,0.736486486486487,4_5_2,2,5,22
cell192,4_5,0.72972972972973,4_5_2,2,12,7
cell193,4_5,0.722972972972973,4_5_2,2,25,14
cell194,4_1,0.713804713804714,4_1_2,8,5,21
cell195,4_5,0.70945945945946,4_5_2,2,12,26
cell196,4_5,0.702702702702703,4_5_2,2,6,21
cell197,4_5,0.695945945945946,4_5_2,2,8,18
cell198,4_5,0.689189189189189,4_5_2,2,10,13
cell199,4_1,0.68013468013468,4_1_2,8,11,20
cell200,4_5,0.675675675675676,4_5_2,2,17,8
cell201,4_5,0.668918918918919,4_5_2,2,25,13
cell202,4_5,0.662162162162162,4_5_2,2,21,19
cell203,4_5,0.655405405405405,4_5_2,2,4,22
cell204,4_5,0.648648648648649,4_5_2,2,20,23
cell205,4_5,0.641891891891892,4_5_2,2,11,11
cell206,4_5,0.635135135135135,4_5_2,2,22,15
cell207,4_5,0.628378378378378,4_5_2,2,16,7
cell208,4_1,0.61952861952862,4_1_2,8,8,19
cell209,4_1,0.612794612794613,4_1_2,8,7,25
cell210,4_5,0.608108108108108,4_5_2,2,12,12
cell211,4_5,0.601351351351351,4_5_2,2,11,9
cell212,4_5,0.594594594594595,4_5_2,2,21,12
cell213,4_5,0.587837837837838,4_5_2,2,18,9
cell214,4_1,0.579124579124579,4_1_2,8,7,26
cell215,4_5,0.574324324324324,4_5_2,2,10,12
cell216,4_1,0.565656565656566,4_1_2,8,8,25
cell217,4_5,0.560810810810811,4_5_2,2,14,11
cell218,4_1,0.552188552188552,4_1_2,8,24,16
cell219,4_5,0.547297297297297,4_5_2,2,17,25
cell220,4_1,0.538720538720539,4_1_2,8,7,27
cell221,4_5,0.533783783783784,4_5_2,2,18,8
cell222,4_1,0.525252525252525,4_1_2,8,14,24
cell223,4_5,0.52027027027027,4_5_2,2,11,10
cell224,4_5,0.513513513513514,4_5_2,2,6,20
cell225,4_1,0.505050505050505,4_1_2,8,20,18
cell226,4_5,0.5,4_5_1,1,17,7
cell227,4_5,0.493243243243243,4_5_1,1,12,23
cell228,4_5,0.486486486486487,4_5_1,1,10,28
cell229,4_5,0.47972972972973,4_5_1,1,20,17
cell230,4_5,0.472972972972973,4_5_1,1,13,12
cell231,4_1,0.464646464646465,4_1_1,7,26,15
cell232,4_5,0.45945945945946,4_5_1,1,11,12
cell233,4_5,0.452702702702703,4_5_1,1,21,21
cell234,4_1,0.444444444444444,4_1_1,7,19,24
cell235,4_5,0.439189189189189,4_5_1,1,7,21
cell236,4_1,0.430976430976431,4_1_1,7,13,24
cell237,4_5,0.425675675675676,4_5_1,1,22,12
cell238,4_5,0.418918918918919,4_5_1,1,14,8
cell239,4_5,0.412162162162162,4_5_1,1,20,20
cell240,4_5,0.405405405405405,4_5_1,1,20,8
cell241,4_5,0.398648648648649,4_5_1,1,22,19
cell242,4_1,0.390572390572391,4_1_1,7,24,12
cell243,4_5,0.385135135135135,4_5_1,1,20,24
cell244,4_5,0.378378378378378,4_5_1,1,22,21
cell245,4_1,0.37037037037037,4_1_1,7,19,8
cell246,4_5,0.364864864864865,4_5_1,1,5,20
cell247,4_5,0.358108108108108,4_5_1,1,4,23
cell248,4_5,0.351351351351351,4_5_1,1,24,13
cell249,4_5,0.344594594594595,4_5_1,1,5,23
cell250,4_5,0.337837837837838,4_5_1,1,23,9
cell251,4_5,0.331081081081081,4_5_1,1,27,15
cell252,4_5,0.324324324324324,4_5_1,1,4,20
cell253,4_1,0.316498316498317,4_1_1,7,26,14
cell254,4_5,0.310810810810811,4_5_1,1,13,13
cell255,4_5,0.304054054054054,4_5_1,1,22,16
cell256,4_1,0.296296296296296,4_1_1,7,25,16
cell257,4_1,0.28956228956229,4_1_1,7,13,26
cell258,4_5,0.283783783783784,4_5_1,1,17,26
cell259,4_5,0.277027027027027,4_5_1,1,9,12
cell260,4_1,0.269360269360269,4_1_1,7,23,16
cell261,4_1,0.262626262626263,4_1_1,7,26,16
cell262,4_1,0.255892255892256,4_1_1,7,11,26
cell263,4_1,0.249158249158249,4_1_1,7,21,18
cell264,4_5,0.243243243243243,4_5_1,1,26,13
cell265,4_5,0.236486486486487,4_5_1,1,18,25
cell266,4_5,0.22972972972973,4_5_1,1,18,24
cell267,4_5,0.222972972972973,4_5_1,1,9,11
cell268,4_1,0.215488215488215,4_1_1,7,24,17
cell269,4_5,0.20945945945946,4_5_1,1,16,24
cell270,4_5,0.202702702702703,4_5_1,1,18,26
cell271,4_5,0.195945945945946,4_5_1,1,10,11
cell272,4_5,0.189189189189189,4_5_1,1,10,14
cell273,4_5,0.182432432432432,4_5_1,1,11,8
cell274,4_5,0.175675675675676,4_5_1,1,4,19
cell275,4_5,0.168918918918919,4_5_1,1,3,23
cell276,4_5,0.162162162162162,4_5_1,1,9,13
cell277,4_1,0.154882154882155,4_1_1,7,9,10
cell278,4_1,0.148148148148148,4_1_1,7,19,7
cell279,4_5,0.141891891891892,4_5_1,1,24,10
cell280,4_5,0.135135135135135,4_5_1,1,23,10
cell281,4_1,0.127946127946128,4_1_1,7,8,27
cell282,4_1,0.121212121212121,4_1_1,7,3,24
cell283,4_5,0.114864864864865,4_5_1,1,15,7
cell284,4_5,0.108108108108108,4_5_1,1,6,24
cell285,4_5,0.101351351351351,4_5_1,1,10,29
cell286,4_5,0.0945945945945946,4_5_1,1,3,19
cell287,4_5,0.0878378378378378,4_5_1,1,10,17
cell288,4_1,0.0808080808080808,4_1_1,7,21,14
cell289,4_1,0.0740740740740741,4_1_1,7,21,17
cell290,4_5,0.0675675675675676,4_5_1,1,21,8
cell291,4_5,0.0608108108108108,4_5_1,1,3,20
cell292,4_1,0.0538720538720539,4_1_1,7,13,23
cell293,4_1,0.0471380471380471,4_1_1,7,6,27
cell294,4_5,0.0405405405405405,4_5_1,1,22,8
cell295,4_5,0.0337837837837838,4_5_1,1,27,14
cell296,4_5,0.027027027027027,4_5_1,1,13,7
cell297,4_1,0.0202020202020202,4_1_1,7,4,21
cell298,4_1,0.0134680134680135,4_1_1,7,25,10
cell299,4_1,0.00673400673400673,4_1_1,7,5,27
cell300,4_5,0,4_5_1,1,25,9
