cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
26768,151.36165924072264,2413.486181640625,345,0,0,345,223.56859375,41.001875,Myoepi_ACTA2+
26769,149.68276138305663,2429.2084838867186,117,0,0,118,98.440625,35.718593750000004,B_Cells
26770,152.0313247680664,2437.7958496093747,116,0,0,116,59.47078125,35.4928125,Endothelial
26773,158.96024627685546,2440.356848144532,124,0,0,124,76.765625,33.1446875,Stromal
26774,155.91350936889648,2423.8907958984373,69,0,0,69,68.81812500000001,18.55921875,Stromal
26775,156.66974945068358,2450.257397460937,145,0,0,145,95.37,33.55109375,Myoepi_ACTA2+
26777,163.63507766723632,2428.8347412109374,259,0,0,259,189.475625,66.56031250000001,Endothelial
26778,160.1249885559082,2405.216735839844,135,0,0,135,121.4703125,14.269375,Myoepi_ACTA2+
26779,162.80461044311522,2446.302490234375,70,0,0,70,44.072500000000005,19.86875,Myoepi_ACTA2+
26782,166.01832275390623,2449.114794921875,30,0,0,30,21.31375,11.06328125,Myoepi_ACTA2+
26783,168.76953887939453,2408.9336181640624,189,0,0,189,130.1403125,63.21875,Myoepi_ACTA2+
26785,171.51048278808594,2444.944482421875,126,0,0,126,85.1646875,44.1628125,Myoepi_ACTA2+
26786,175.726229095459,2419.8003784179687,298,0,0,298,220.543125,70.1728125,Stromal
26787,174.57587051391602,2436.0398193359374,187,0,0,187,159.08546875000002,40.14390625,Stromal
26789,176.78055801391602,2410.8264038085936,111,0,0,111,63.6703125,43.93703125,Myoepi_ACTA2+
26795,182.15878982543944,2442.063488769531,82,0,0,82,63.21875,26.23578125,Myoepi_ACTA2+
26796,185.31854705810545,2427.9648193359376,284,0,0,284,192.68171875,64.61859375,Stromal
26797,182.4482925415039,2447.4096069335938,13,0,0,13,15.75953125,4.2446875,Macrophages_1
26799,187.29654541015623,2412.13896484375,232,0,0,232,130.953125,54.95515625,Myoepi_ACTA2+
26801,189.520597076416,2441.8466308593747,54,0,0,54,26.59703125,19.5075,Myoepi_ACTA2+
26802,195.4601692199707,2436.319348144531,215,0,0,215,173.219375,68.59234375,Stromal
26803,192.63770904541016,2449.0106201171875,204,0,0,204,89.048125,46.28515625,Myoepi_ACTA2+
26807,200.03821868896483,2410.625317382812,229,0,0,229,121.33484375,40.41484375,Myoepi_ACTA2+
26809,198.1065361022949,2422.5585205078123,109,0,0,109,136.64281250000002,19.4171875,Stromal
26810,201.95171737670896,2445.3286010742186,238,0,0,238,106.25265625,64.30250000000001,Myoepi_ACTA2+
26813,208.77733306884764,2420.602856445312,177,0,0,177,88.325625,34.9509375,Stromal
26814,206.0516159057617,2415.7072631835936,58,0,0,58,39.42140625,9.16671875,Myoepi_ACTA2+
26815,211.0047309875488,2445.248083496094,205,0,0,205,102.5046875,52.6521875,Myoepi_ACTA2+
26817,215.14767684936524,2411.6290893554688,116,0,0,116,77.26234375,17.0690625,Myoepi_ACTA2+
26819,221.40414428710935,2403.1413330078126,311,1,0,312,150.59609375,56.309843750000006,Myoepi_ACTA2+
26822,224.17956237792967,2414.417736816406,88,0,0,88,101.4209375,14.991875,Stromal
26825,215.29889373779292,2423.296252441406,134,0,0,134,84.89375,35.80890625,Macrophages_1
26827,232.11510925292967,2427.8158203125,159,0,0,159,163.23984375,46.8721875,Stromal
26828,212.3145034790039,2433.9859985351563,230,0,0,230,199.6809375,48.1365625,Stromal
26829,231.371696472168,2438.639208984375,185,0,0,186,174.89015625000002,31.42875,Macrophages_1
26830,219.44837646484373,2443.39306640625,114,0,0,114,60.373906250000005,10.79234375,Myoepi_ACTA2+
26831,230.3160446166992,2450.1569580078126,530,0,0,531,222.57515625,81.0103125,Myoepi_ACTA2+
26832,182.51895294189453,2452.0555541992185,113,0,0,113,69.58578125,26.05515625,Myoepi_ACTA2+
27808,237.29062042236328,2410.451416015625,86,0,0,86,44.388593750000005,14.76609375,Myoepi_ACTA2+
27814,247.6876602172852,2446.274060058593,69,0,0,69,149.738125,8.9409375,Stromal
