,pop,depth,cell.type,cell.type.idx,x,y
cell256,4_5,0.297297297297297,4_5_1,1,25,8
cell257,4_1,0.28956228956229,4_1_1,7,8,12
cell258,4_5,0.283783783783784,4_5_1,1,16,17
cell259,4_5,0.277027027027027,4_5_1,1,6,15
cell260,4_1,0.269360269360269,4_1_1,7,11,5
cell261,4_5,0.263513513513514,4_5_1,1,7,10
cell262,4_5,0.256756756756757,4_5_1,1,21,20
cell263,4_5,0.25,4_5_1,1,17,18
cell264,4_1,0.242424242424242,4_1_1,7,24,17
cell265,4_5,0.236486486486487,4_5_1,1,7,8
cell266,4_1,0.228956228956229,4_1_1,7,9,23
cell267,4_5,0.222972972972973,4_5_1,1,25,7
cell268,4_5,0.216216216216216,4_5_1,1,21,21
cell269,4_1,0.208754208754209,4_1_1,7,18,22
cell270,4_5,0.202702702702703,4_5_1,1,9,9
cell271,4_5,0.195945945945946,4_5_1,1,13,2
cell272,4_5,0.189189189189189,4_5_1,1,13,1
cell273,4_5,0.182432432432432,4_5_1,1,16,6
cell274,4_5,0.175675675675676,4_5_1,1,11,2
cell275,4_5,0.168918918918919,4_5_1,1,11,4
cell276,4_5,0.162162162162162,4_5_1,1,16,18
cell277,4_5,0.155405405405405,4_5_1,1,20,21
cell278,4_5,0.148648648648649,4_5_1,1,7,7
cell279,4_1,0.141414141414141,4_1_1,7,17,24
cell280,4_5,0.135135135135135,4_5_1,1,9,7
cell281,4_5,0.128378378378378,4_5_1,1,14,20
cell282,4_1,0.121212121212121,4_1_1,7,18,24
cell283,4_5,0.114864864864865,4_5_1,1,6,8
cell284,4_5,0.108108108108108,4_5_1,1,6,18
cell285,4_1,0.101010101010101,4_1_1,7,14,1
cell286,4_5,0.0945945945945946,4_5_1,1,14,22
cell287,4_5,0.0878378378378378,4_5_1,1,14,23
cell288,4_5,0.0810810810810811,4_5_1,1,18,19
cell289,4_5,0.0743243243243243,4_5_1,1,8,18
cell290,4_5,0.0675675675675676,4_5_1,1,7,20
cell291,4_5,0.0608108108108108,4_5_1,1,13,22
cell292,4_5,0.0540540540540541,4_5_1,1,26,9
cell293,4_5,0.0472972972972973,4_5_1,1,18,20
cell294,4_5,0.0405405405405405,4_5_1,1,19,7
cell295,4_5,0.0337837837837838,4_5_1,1,7,24
cell296,4_1,0.0269360269360269,4_1_1,7,24,18
cell297,4_5,0.0202702702702703,4_5_1,1,25,17
cell298,4_5,0.0135135135135135,4_5_1,1,18,21
cell299,4_1,0.00673400673400673,4_1_1,7,25,13
cell300,4_5,0,4_5_1,1,10,2
