,pop,depth,cell.type,cell.type.idx,x,y
cell61,5_3,1.60135135135135,5_3_2,6,14,10
cell62,5_3,1.59459459459459,5_3_2,6,16,14
cell63,5_2,1.58783783783784,5_2_2,4,15,18
cell64,4_1,1.58922558922559,4_1_4,10,13,7
cell65,5_3,1.57432432432432,5_3_2,6,21,12
cell66,4_1,1.57575757575758,4_1_4,10,23,16
cell67,5_2,1.56081081081081,5_2_2,4,17,20
cell68,5_3,1.55405405405405,5_3_2,6,23,12
cell69,5_3,1.5472972972973,5_3_2,6,15,14
cell70,4_1,1.54882154882155,4_1_4,10,23,10
cell71,5_2,1.53378378378378,5_2_2,4,23,17
cell72,5_3,1.52702702702703,5_3_2,6,11,12
cell73,5_2,1.52027027027027,5_2_2,4,11,13
cell74,5_2,1.51351351351351,5_2_2,4,13,6
cell75,5_3,1.50675675675676,5_3_2,6,13,17
cell76,4_1,1.50841750841751,4_1_4,10,21,9
cell77,5_3,1.49324324324324,5_3_1,5,10,10
cell78,5_2,1.48648648648649,5_2_1,3,10,13
cell79,4_1,1.48821548821549,4_1_4,10,22,18
cell80,5_2,1.47297297297297,5_2_1,3,19,13
cell81,4_1,1.47474747474747,4_1_3,9,18,12
cell82,5_3,1.45945945945946,5_3_1,5,14,14
cell83,4_1,1.46127946127946,4_1_3,9,23,15
cell84,4_1,1.45454545454545,4_1_3,9,23,11
cell85,5_2,1.43918918918919,5_2_1,3,9,10
cell86,5_3,1.43243243243243,5_3_1,5,17,14
cell87,4_1,1.43434343434343,4_1_3,9,20,10
cell88,4_1,1.42760942760943,4_1_3,9,22,20
cell89,5_3,1.41216216216216,5_3_1,5,9,11
cell90,5_2,1.40540540540541,5_2_1,3,14,18
cell91,5_2,1.39864864864865,5_2_1,3,9,13
cell92,4_1,1.4006734006734,4_1_3,9,23,18
cell93,5_2,1.38513513513514,5_2_1,3,11,14
cell94,5_3,1.37837837837838,5_3_1,5,10,12
cell95,5_2,1.37162162162162,5_2_1,3,18,18
cell96,5_2,1.36486486486486,5_2_1,3,16,13
cell97,4_1,1.36700336700337,4_1_3,9,18,10
cell98,4_1,1.36026936026936,4_1_3,9,19,18
cell99,5_3,1.34459459459459,5_3_1,5,20,14
cell100,4_1,1.34680134680135,4_1_3,9,18,9
cell101,5_3,1.33108108108108,5_3_1,5,23,19
cell102,5_2,1.32432432432432,5_2_1,3,20,13
cell103,5_3,1.31756756756757,5_3_1,5,18,14
cell104,5_3,1.31081081081081,5_3_1,5,21,13
cell105,5_2,1.30405405405405,5_2_1,3,12,15
cell106,4_1,1.30639730639731,4_1_3,9,15,7
cell107,4_1,1.2996632996633,4_1_3,9,14,6
cell108,5_3,1.28378378378378,5_3_1,5,20,21
cell109,5_2,1.27702702702703,5_2_1,3,22,15
cell110,5_2,1.27027027027027,5_2_1,3,17,10
cell111,5_2,1.26351351351351,5_2_1,3,12,16
cell112,5_2,1.25675675675676,5_2_1,3,13,18
cell113,5_3,1.25,5_3_1,5,21,21
cell114,5_3,1.24324324324324,5_3_1,5,10,8
cell115,4_1,1.24579124579125,4_1_3,9,12,8
cell116,4_1,1.23905723905724,4_1_3,9,15,17
cell117,4_1,1.23232323232323,4_1_3,9,12,7
cell118,5_3,1.21621621621622,5_3_1,5,17,9
cell119,5_2,1.20945945945946,5_2_1,3,16,17
cell120,4_1,1.21212121212121,4_1_3,9,19,9
cell121,4_1,1.20538720538721,4_1_3,9,18,8
cell122,5_3,1.18918918918919,5_3_1,5,15,10
cell123,5_2,1.18243243243243,5_2_1,3,16,12
cell124,5_2,1.17567567567568,5_2_1,3,24,17
cell125,5_3,1.16891891891892,5_3_1,5,16,10
cell126,4_1,1.17171717171717,4_1_3,9,16,7
cell127,5_3,1.15540540540541,5_3_1,5,15,13
cell128,5_3,1.14864864864865,5_3_1,5,10,14
cell129,4_1,1.15151515151515,4_1_3,9,20,9
cell130,5_3,1.13513513513514,5_3_1,5,17,13
cell131,4_1,1.13804713804714,4_1_3,9,14,17
cell132,4_1,1.13131313131313,4_1_3,9,22,9
cell133,5_2,1.11486486486486,5_2_1,3,25,17
cell134,4_1,1.11784511784512,4_1_3,9,21,8
cell135,5_3,1.10135135135135,5_3_1,5,9,9
cell136,5_3,1.09459459459459,5_3_1,5,22,13
cell137,4_1,1.0976430976431,4_1_3,9,18,7
cell138,4_1,1.09090909090909,4_1_3,9,20,8
cell139,5_3,1.07432432432432,5_3_1,5,11,16
cell140,5_2,1.06756756756757,5_2_1,3,21,15
cell141,5_2,1.06081081081081,5_2_1,3,17,8
cell142,5_3,1.05405405405405,5_3_1,5,16,16
cell143,5_2,1.0472972972973,5_2_1,3,18,20
cell144,5_3,1.04054054054054,5_3_1,5,9,8
cell145,5_2,1.03378378378378,5_2_1,3,8,10
cell146,5_2,1.02702702702703,5_2_1,3,8,13
cell147,5_2,1.02027027027027,5_2_1,3,17,7
cell148,4_1,1.02356902356902,4_1_3,9,24,15
cell149,5_3,1.00675675675676,5_3_1,5,23,9
cell150,5_2,1,5_2_1,3,8,14
cell151,4_5,1,4_5_2,2,23,8
cell152,4_5,1,4_5_2,2,11,17
cell153,4_1,0.98989898989899,4_1_3,9,18,6
cell154,4_5,0.986486486486487,4_5_2,2,18,21
cell155,4_5,0.97972972972973,4_5_2,2,21,22
cell156,4_5,0.972972972972973,4_5_2,2,8,11
cell157,4_5,0.966216216216216,4_5_2,2,18,22
cell158,4_1,0.956228956228956,4_1_2,8,13,8
cell159,4_5,0.952702702702703,4_5_2,2,15,11
cell160,4_5,0.945945945945946,4_5_2,2,13,19
cell161,4_5,0.939189189189189,4_5_2,2,17,22
cell162,4_1,0.929292929292929,4_1_2,8,14,11
cell163,4_5,0.925675675675676,4_5_2,2,19,8
cell164,4_5,0.918918918918919,4_5_2,2,24,19
cell165,4_5,0.912162162162162,4_5_2,2,16,8
cell166,4_5,0.905405405405405,4_5_2,2,19,7
cell167,4_5,0.898648648648649,4_5_2,2,13,14
cell168,4_1,0.888888888888889,4_1_2,8,19,16
cell169,4_5,0.885135135135135,4_5_2,2,8,9
cell170,4_5,0.878378378378378,4_5_2,2,16,11
cell171,4_1,0.868686868686869,4_1_2,8,15,12
cell172,4_5,0.864864864864865,4_5_2,2,12,6
cell173,4_1,0.855218855218855,4_1_2,8,14,5
cell174,4_5,0.851351351351351,4_5_2,2,7,14
cell175,4_1,0.841750841750842,4_1_2,8,19,6
cell176,4_5,0.837837837837838,4_5_2,2,6,14
cell177,4_5,0.831081081081081,4_5_2,2,23,7
cell178,4_5,0.824324324324324,4_5_2,2,19,20
cell179,4_5,0.817567567567568,4_5_2,2,6,15
cell180,4_5,0.810810810810811,4_5_2,2,19,21
cell181,4_5,0.804054054054054,4_5_2,2,20,7
cell182,4_5,0.797297297297297,4_5_2,2,22,8
cell183,4_5,0.790540540540541,4_5_2,2,11,8
cell184,4_1,0.781144781144781,4_1_2,8,17,12
cell185,4_5,0.777027027027027,4_5_2,2,19,5
cell186,4_1,0.767676767676768,4_1_2,8,24,11
cell187,4_5,0.763513513513514,4_5_2,2,11,15
cell188,4_5,0.756756756756757,4_5_2,2,14,13
cell189,4_5,0.75,4_5_2,2,22,7
cell190,4_1,0.740740740740741,4_1_2,8,11,7
cell191,4_5,0.736486486486487,4_5_2,2,12,19
cell192,4_5,0.72972972972973,4_5_2,2,17,16
cell193,4_5,0.722972972972973,4_5_2,2,8,8
cell194,4_1,0.713804713804714,4_1_2,8,15,8
cell195,4_5,0.70945945945946,4_5_2,2,7,10
cell196,4_1,0.7003367003367,4_1_2,8,17,11
cell197,4_5,0.695945945945946,4_5_2,2,7,15
cell198,4_5,0.689189189189189,4_5_2,2,15,6
cell199,4_1,0.68013468013468,4_1_2,8,13,5
cell200,4_1,0.673400673400673,4_1_2,8,16,20
cell201,4_5,0.668918918918919,4_5_2,2,24,12
cell202,4_5,0.662162162162162,4_5_2,2,11,18
cell203,4_5,0.655405405405405,4_5_2,2,16,6
cell204,4_5,0.648648648648649,4_5_2,2,15,19
cell205,4_5,0.641891891891892,4_5_2,2,12,20
cell206,4_5,0.635135135135135,4_5_2,2,10,16
cell207,4_5,0.628378378378378,4_5_2,2,11,19
cell208,4_5,0.621621621621622,4_5_2,2,22,21
cell209,4_5,0.614864864864865,4_5_2,2,25,12
cell210,4_1,0.606060606060606,4_1_2,8,16,19
cell211,4_5,0.601351351351351,4_5_2,2,16,5
cell212,4_5,0.594594594594595,4_5_2,2,16,21
cell213,4_1,0.585858585858586,4_1_2,8,15,9
cell214,4_5,0.581081081081081,4_5_2,2,24,20
cell215,4_1,0.572390572390572,4_1_2,8,15,5
cell216,4_5,0.567567567567568,4_5_2,2,26,17
cell217,4_5,0.560810810810811,4_5_2,2,16,9
cell218,4_1,0.552188552188552,4_1_2,8,21,23
cell219,4_1,0.545454545454545,4_1_2,8,18,5
cell220,4_5,0.540540540540541,4_5_2,2,11,20
cell221,4_5,0.533783783783784,4_5_2,2,25,19
cell222,4_5,0.527027027027027,4_5_2,2,19,14
cell223,4_5,0.52027027027027,4_5_2,2,24,10
cell224,4_5,0.513513513513514,4_5_2,2,7,13
cell225,4_5,0.506756756756757,4_5_2,2,18,23
cell226,4_1,0.498316498316498,4_1_2,8,20,23
cell227,4_5,0.493243243243243,4_5_1,1,20,5
cell228,4_5,0.486486486486487,4_5_1,1,21,14
cell229,4_1,0.478114478114478,4_1_1,7,19,17
cell230,4_1,0.471380471380471,4_1_1,7,12,5
cell231,4_1,0.464646464646465,4_1_1,7,11,5
cell232,4_1,0.457912457912458,4_1_1,7,26,12
cell233,4_5,0.452702702702703,4_5_1,1,25,11
cell234,4_5,0.445945945945946,4_5_1,1,25,10
cell235,4_5,0.439189189189189,4_5_1,1,22,14
cell236,4_5,0.432432432432432,4_5_1,1,10,5
cell237,4_5,0.425675675675676,4_5_1,1,20,4
cell238,4_1,0.417508417508417,4_1_1,7,13,4
cell239,4_5,0.412162162162162,4_5_1,1,11,6
cell240,4_5,0.405405405405405,4_5_1,1,9,14
cell241,4_5,0.398648648648649,4_5_1,1,10,17
cell242,4_5,0.391891891891892,4_5_1,1,6,10
cell243,4_1,0.383838383838384,4_1_1,7,21,7
cell244,4_5,0.378378378378378,4_5_1,1,25,16
cell245,4_5,0.371621621621622,4_5_1,1,26,19
cell246,4_5,0.364864864864865,4_5_1,1,16,4
cell247,4_5,0.358108108108108,4_5_1,1,26,16
cell248,4_5,0.351351351351351,4_5_1,1,8,7
cell249,4_1,0.343434343434343,4_1_1,7,10,7
cell250,4_5,0.337837837837838,4_5_1,1,24,18
cell251,4_5,0.331081081081081,4_5_1,1,27,17
cell252,4_5,0.324324324324324,4_5_1,1,7,8
cell253,4_5,0.317567567567568,4_5_1,1,24,8
cell254,4_5,0.310810810810811,4_5_1,1,11,21
cell255,4_5,0.304054054054054,4_5_1,1,5,15
cell256,4_1,0.296296296296296,4_1_1,7,14,12
cell257,4_5,0.290540540540541,4_5_1,1,9,12
cell258,4_1,0.282828282828283,4_1_1,7,9,7
cell259,4_5,0.277027027027027,4_5_1,1,10,4
cell260,4_5,0.27027027027027,4_5_1,1,10,6
cell261,4_1,0.262626262626263,4_1_1,7,22,23
cell262,4_5,0.256756756756757,4_5_1,1,9,15
cell263,4_5,0.25,4_5_1,1,11,4
cell264,4_5,0.243243243243243,4_5_1,1,9,16
cell265,4_1,0.235690235690236,4_1_1,7,21,6
cell266,4_5,0.22972972972973,4_5_1,1,23,21
cell267,4_1,0.222222222222222,4_1_1,7,15,4
cell268,4_5,0.216216216216216,4_5_1,1,12,21
cell269,4_5,0.20945945945946,4_5_1,1,9,17
cell270,4_1,0.202020202020202,4_1_1,7,17,6
cell271,4_5,0.195945945945946,4_5_1,1,14,19
cell272,4_5,0.189189189189189,4_5_1,1,5,16
cell273,4_5,0.182432432432432,4_5_1,1,26,20
cell274,4_5,0.175675675675676,4_5_1,1,23,20
cell275,4_5,0.168918918918919,4_5_1,1,26,11
cell276,4_5,0.162162162162162,4_5_1,1,28,17
cell277,4_5,0.155405405405405,4_5_1,1,10,19
cell278,4_5,0.148648648648649,4_5_1,1,28,16
cell279,4_5,0.141891891891892,4_5_1,1,11,3
cell280,4_1,0.134680134680135,4_1_1,7,21,24
cell281,4_5,0.128378378378378,4_5_1,1,7,16
cell282,4_5,0.121621621621622,4_5_1,1,12,17
cell283,4_1,0.114478114478114,4_1_1,7,21,25
cell284,4_5,0.108108108108108,4_5_1,1,22,24
cell285,4_5,0.101351351351351,4_5_1,1,19,4
cell286,4_1,0.0942760942760943,4_1_1,7,25,15
cell287,4_5,0.0878378378378378,4_5_1,1,10,18
cell288,4_5,0.0810810810810811,4_5_1,1,26,15
cell289,4_5,0.0743243243243243,4_5_1,1,27,18
cell290,4_5,0.0675675675675676,4_5_1,1,5,10
cell291,4_5,0.0608108108108108,4_5_1,1,18,4
cell292,4_5,0.0540540540540541,4_5_1,1,9,18
cell293,4_5,0.0472972972972973,4_5_1,1,22,25
cell294,4_5,0.0405405405405405,4_5_1,1,15,21
cell295,4_5,0.0337837837837838,4_5_1,1,27,16
cell296,4_5,0.027027027027027,4_5_1,1,8,6
cell297,4_1,0.0202020202020202,4_1_1,7,14,4
cell298,4_5,0.0135135135135135,4_5_1,1,19,23
cell299,4_5,0.00675675675675676,4_5_1,1,17,15
cell300,4_1,0,4_1_1,7,9,6
