,x,y,group,foldchange
Loc94,0.455274453619495,0.539928927551955,C,1
Loc95,0.410084082046524,0.809806877514347,B,1
Loc96,0.810870242770761,0.0106531432829797,A,1
Loc97,0.604933290276676,0.674989556195214,D,1
Loc98,0.654723928077146,0.880181554006413,D,1
Loc99,0.353197271935642,0.408088765805587,E,1
Loc100,0.270260145887733,0.894052134593949,G,1
Loc101,0.99268406117335,0.807851313846186,A,1
Loc102,0.633493264438584,0.0522684226743877,A,1
Loc103,0.213208135217428,0.951139469398186,A,1
Loc104,0.129372348077595,0.498940351651981,C,1
Loc105,0.478118034312502,0.497459183679894,C,1
Loc106,0.924074469832703,0.201222010422498,E,1
Loc107,0.59876096714288,0.680997319286689,D,1
Loc108,0.976170694921166,0.547304183710366,A,1
Loc109,0.731792511884123,0.60957774030976,B,1
Loc110,0.356726912083104,0.308182996464893,E,1
Loc111,0.431473690550774,0.164061164716259,E,1
Loc112,0.148211560677737,0.847399726277217,G,1
Loc113,0.0130775754805654,0.177070725010708,A,1
Loc114,0.715566066093743,0.586210725829005,B,1
Loc115,0.103184235747904,0.972556549590081,A,1
Loc116,0.446284348610789,0.534099313896149,C,1
Loc117,0.640101045137271,0.81091625452973,H,1
Loc118,0.991838620044291,0.650906511116773,A,1
Loc119,0.495593577856198,0.77098110713996,B,1
Loc120,0.484349524369463,0.0345583152957261,A,1
Loc121,0.173442334868014,0.558660281123593,C,1
Loc122,0.754820944508538,0.120087367016822,E,1
Loc123,0.453895489219576,0.686299628112465,B,1
Loc124,0.511169783771038,0.914125661132857,D,1
Loc125,0.207545113284141,0.560349760344252,I,1
Loc126,0.228658142732456,0.575576044851914,I,1
Loc127,0.595711996313184,0.51675015501678,B,1
Loc128,0.57487219828181,0.658048582263291,B,1
Loc129,0.0770643802825361,0.588396580191329,A,1
Loc130,0.0355405795853585,0.0799245799425989,A,1
Loc131,0.642795492196456,0.156136253383011,F,1
Loc132,0.928615199634805,0.985081367427483,A,1
Loc133,0.598092422354966,0.991829797392711,A,1
Loc134,0.560900748008862,0.2947561906185,F,1
Loc135,0.526027723914012,0.788712464505807,D,1
Loc136,0.985095223877579,0.686831065220758,A,1
Loc137,0.507641822332516,0.400826663477346,E,1
Loc138,0.682788078673184,0.396841136040166,E,1
Loc139,0.601541217649356,0.887413940625265,D,1
Loc140,0.238868677755818,0.82207809551619,G,1
Loc141,0.258165926672518,0.2652450397145,E,1
Loc142,0.729309623362496,0.181170874042436,F,1
Loc143,0.452570831403136,0.956474067410454,A,1
Loc144,0.175126768415794,0.837399842217565,G,1
Loc145,0.746698269620538,0.346652631880715,E,1
Loc146,0.104987640399486,0.8420864418149,G,1
Loc147,0.864544949028641,0.0101301828399301,A,1
Loc148,0.614644971676171,0.21454192395322,F,1
Loc149,0.557159538846463,0.913734979229048,D,1
Loc150,0.328777319053188,0.0486553451046348,A,1
Loc151,0.453131445450708,0.87123094429262,A,1
Loc152,0.500440972624347,0.65578800602816,B,1
Loc153,0.180866361130029,0.219371878309175,A,1
Loc154,0.529630602803081,0.00943714333698153,A,1
Loc155,0.0752757457084954,0.0792144953738898,A,1
Loc156,0.277755932649598,0.767450851621106,B,1
Loc157,0.212699519237503,0.0332878560293466,A,1
Loc158,0.284790480975062,0.774952064268291,B,1
Loc159,0.895094102947041,0.393959630047902,B,1
Loc160,0.4462353233248,0.784817258594558,B,1
Loc161,0.779984889784828,0.0333322957158089,A,1
Loc162,0.880619034869596,0.366151578025892,E,1
Loc163,0.413124209502712,0.207688439870253,E,1
Loc164,0.0638084805104882,0.965912537649274,A,1
Loc165,0.335487491684034,0.564966007368639,C,1
Loc166,0.723725946620107,0.441115951864049,E,1
Loc167,0.337615333497524,0.803868116578087,G,1
Loc168,0.630414122482762,0.165633277501911,F,1
Loc169,0.840614554006606,0.20611856225878,F,1
Loc170,0.856131664710119,0.348586677573621,E,1
Loc171,0.39135928102769,0.450814907671884,C,1
Loc172,0.380493885604665,0.103176732780412,E,1
Loc173,0.895445425994694,0.600618461845443,B,1
Loc174,0.644315762910992,0.100577907869592,E,1
Loc175,0.741078648716211,0.957186109153554,A,1
Loc176,0.605303446529433,0.580974439391866,B,1
Loc177,0.903081611497328,0.168894380098209,E,1
Loc178,0.293730155099183,0.518571133259684,I,1
Loc179,0.19126010988839,0.0543228397145867,A,1
Loc180,0.886450943304226,0.181874627713114,E,1
Loc181,0.503339485730976,0.0324744703248143,A,1
Loc182,0.877057543024421,0.413448404753581,B,1
Loc183,0.189193622441962,0.710804731585085,B,1
Loc184,0.758103052387014,0.43829421675764,E,1
Loc185,0.724498892668635,0.476030350895599,B,1
