dataset	optimizer_seed	normalized_radius	centered_l
SimSpace	1	0.07291666666666666	0.001050302237329298
SimSpace	1	0.08333333333333333	0.0006357188400231695
SimSpace	1	0.09375	0.000234534652260171
SimSpace	1	0.10416666666666666	-0.00038955232889127667
SimSpace	1	0.11458333333333333	-0.001056953157491533
SimSpace	1	0.125	-0.001959802963504245
SimSpace	1	0.13541666666666666	-0.002820705586892125
SimSpace	1	0.14583333333333331	-0.0037769961248560746
SimSpace	1	0.15625	-0.004939501292702875
SimSpace	1	0.16666666666666666	-0.006030311043721648
SimSpace	1	0.17708333333333331	-0.00736867950073089
SimSpace	1	0.1875	-0.008677531240229824
SimSpace	1	0.19791666666666666	-0.010181697872668899
SimSpace	1	0.20833333333333331	-0.0117174509659361
SimSpace	1	0.21875	-0.013326953609442804
SimSpace	1	0.22916666666666666	-0.014929109894924075
SimSpace	1	0.23958333333333331	-0.01675207580547386
SimSpace	1	0.25	-0.01859755116237638
SimSpace	2	0.0	0.0
SimSpace	2	0.010416666666666666	-0.0014438115395230145
SimSpace	2	0.020833333333333332	-0.0001025432535039228
SimSpace	2	0.03125	0.00041409592334138573
SimSpace	2	0.041666666666666664	0.0005113748012499156
SimSpace	2	0.05208333333333333	0.0005221597576883577
SimSpace	2	0.0625	0.0003392447474596244
SimSpace	2	0.07291666666666666	8.095650415727851e-05
SimSpace	2	0.08333333333333333	-0.00044964006903289166
SimSpace	2	0.09375	-0.0009202027135162133
SimSpace	2	0.10416666666666666	-0.001637106940303945
SimSpace	2	0.11458333333333333	-0.0024091243182856464
SimSpace	2	0.125	-0.003353646884267522
SimSpace	2	0.13541666666666666	-0.004346265048087272
SimSpace	2	0.14583333333333331	-0.005347985125749938
SimSpace	2	0.15625	-0.006621721593573077
SimSpace	2	0.16666666666666666	-0.007860221643726628
SimSpace	2	0.17708333333333331	-0.009172789864015735
SimSpace	2	0.1875	-0.010492945758073163
SimSpace	2	0.19791666666666666	-0.012020593841046479
SimSpace	2	0.20833333333333331	-0.013504509852247382
SimSpace	2	0.21875	-0.015147345470120116
SimSpace	2	0.22916666666666666	-0.016776839583645314
SimSpace	2	0.23958333333333331	-0.018579650121800684
SimSpace	2	0.25	-0.020439988830945
SimSpace	3	0.0	0.0
SimSpace	3	0.010416666666666666	-0.00141328742616211
SimSpace	3	0.020833333333333332	-2.8331126800035245e-05
SimSpace	3	0.03125	0.0007392877265108705
SimSpace	3	0.041666666666666664	0.0009468216584323508
SimSpace	3	0.05208333333333333	0.0009300916761521699
SimSpace	3	0.0625	0.0007144674541485346
SimSpace	3	0.07291666666666666	0.0003994650141809636
SimSpace	3	0.08333333333333333	-0.00014038598112818546
SimSpace	3	0.09375	-0.0008029275538678493
SimSpace	3	0.10416666666666666	-0.0016465955624522521
SimSpace	3	0.11458333333333333	-0.0026244510254465753
SimSpace	3	0.125	-0.003744888011994768
SimSpace	3	0.13541666666666666	-0.0049713965628467305
SimSpace	3	0.14583333333333331	-0.006219617726514054
SimSpace	3	0.15625	-0.0076531827576515055
SimSpace	3	0.16666666666666666	-0.009040243317820773
SimSpace	3	0.17708333333333331	-0.010558390719589777
SimSpace	3	0.1875	-0.012100166933240758
SimSpace	3	0.19791666666666666	-0.013743172002350118
SimSpace	3	0.20833333333333331	-0.01535551582276451
SimSpace	3	0.21875	-0.017100593585674034
SimSpace	3	0.22916666666666666	-0.018859118780382128
SimSpace	3	0.23958333333333331	-0.020726377152858633
SimSpace	3	0.25	-0.02260787316815635
SimSpace	4	0.0	0.0
SimSpace	4	0.010416666666666666	-0.001362745938724307
SimSpace	4	0.020833333333333332	8.946916278088426e-05
SimSpace	4	0.03125	0.0007646738908754294
SimSpace	4	0.041666666666666664	0.0009040266573292904
SimSpace	4	0.05208333333333333	0.0009272271744100724
SimSpace	4	0.0625	0.000828281869611952
SimSpace	4	0.07291666666666666	0.0005443929723829427
SimSpace	4	0.08333333333333333	4.8251371685570366e-05
SimSpace	4	0.09375	-0.00044221908566562107
SimSpace	4	0.10416666666666666	-0.0012720198052193349
SimSpace	4	0.11458333333333333	-0.0020910196366582257
SimSpace	4	0.125	-0.0031645345670245073
SimSpace	4	0.13541666666666666	-0.004252805286810879
SimSpace	4	0.14583333333333331	-0.005543244373373835
SimSpace	4	0.15625	-0.006933750909683262
SimSpace	4	0.16666666666666666	-0.008373834421363802
SimSpace	4	0.17708333333333331	-0.009953523851238932
SimSpace	4	0.1875	-0.011547583095123659
SimSpace	4	0.19791666666666666	-0.013267837692743228
SimSpace	4	0.20833333333333331	-0.015020410478531282
SimSpace	4	0.21875	-0.016943797885279194
SimSpace	4	0.22916666666666666	-0.018918289874447325
SimSpace	4	0.23958333333333331	-0.02100713879639965
SimSpace	4	0.25	-0.023170880347106432
SimSpace	5	0.0	0.0
SimSpace	5	0.010416666666666666	-0.001446053681735223
SimSpace	5	0.020833333333333332	-3.173493269101324e-05
SimSpace	5	0.03125	0.0006542403613624195
SimSpace	5	0.041666666666666664	0.0006794585472784803
SimSpace	5	0.05208333333333333	0.0006552268805755448
