gene	reference_mean_count	simulated_mean_count	reference_variance	simulated_variance	reference_zero_fraction	simulated_zero_fraction	reference_log1p_mean_count	simulated_log1p_mean_count	reference_log1p_variance	simulated_log1p_variance
CD83	0.1594488188976378	0.15941524538809607	0.3989850234747245	0.47109603677306827	0.8986220472440944	0.8983640793595544	0.14794473607310482	0.1479157792143901	0.33574699046144335	0.3860077262136183
CD86	0.13041338582677164	0.12182387747998608	0.24246206438006188	0.2455994578279961	0.9138779527559056	0.9154194222067525	0.12258339399072574	0.1149558228361483	0.21709494683647843	0.21961690626780414
CD8A	0.234251968503937	0.4761573268360599	1.0864086966972555	9.110938989167225	0.9005905511811023	0.8823529411764706	0.2104650930544388	0.38944231049530115	0.7354442610204855	2.3136179059863418
CD8B	0.06446850393700787	0.09397841977027498	0.12041094336989264	0.21261344939485574	0.953248031496063	0.9401322659241211	0.062475617254686255	0.08982097781827805	0.1136955317337423	0.19277790596364947
CD9	3.5664370078740157	3.3059519665854507	11.148710489383067	11.487488935017893	0.1830708661417323	0.21162547859380437	1.5187332526548067	1.459998243883542	2.4972230315930344	2.524727257889626
CD93	0.4630905511811024	0.5774451792551341	2.8208920686059	3.3917195151865367	0.8622047244094488	0.834319526627219	0.38055101429972515	0.4558065631686074	1.3404839211686381	1.4797208395054768
CDC42EP1	0.09793307086614174	0.11103376261747303	0.1021719935488123	0.12520202984854667	0.9089566929133859	0.8994082840236687	0.09342938573416001	0.10529089959040984	0.09728277255318013	0.11796260162104763
CDH1	3.1309055118110236	2.8625130525583016	10.068527392347743	10.24188462944308	0.24606299212598426	0.26940480334145495	1.4184966351951636	1.3513180215212741	2.4041057109834947	2.4196465020688604
CEACAM6	0.3184055118110236	0.3069961712495649	0.6602617596544893	0.5832971368237757	0.7962598425196851	0.8050817960320222	0.27642306084623625	0.26773150521894556	0.5069752764760854	0.45950946816371974
CENPF	1.0393700787401574	1.0710059171597632	4.206228652733032	6.37657200309868	0.5910433070866141	0.596240863209189	0.7126409752409465	0.7280344395603858	1.6498557266092255	1.9983090324745514
CLDN4	0.5462598425196851	0.513052558301427	0.8004192884308957	0.7610586800361061	0.639763779527559	0.6630699617124957	0.43583901011719395	0.4141291720095025	0.5880195757934357	0.5659151509555568
CLEC14A	0.359744094488189	0.43926209537069266	2.3003579847016913	3.0117170040536854	0.906496062992126	0.8816568047337278	0.30729651622504406	0.3641305484785021	1.1940309428015154	1.389219330237356
CRISPLD2	0.2691929133858268	0.24051514096762966	0.5345895993983026	0.505154609189195	0.8218503937007874	0.8398886181691612	0.2383811971829723	0.21552672961141037	0.4282629833360779	0.40889562328270623
CTLA4	0.0531496062992126	0.07587887225896275	0.12912843058576318	0.22334902710569152	0.968011811023622	0.9592760180995475	0.05178529931752466	0.07313788315282675	0.12144603475250171	0.20159220201283273
CTTN	4.601870078740157	4.339366515837104	13.754265334170746	14.536252662624939	0.10334645669291338	0.13191785589975635	1.723100484626844	1.6751070159419577	2.691532216180757	2.743176174459012
CXCL12	0.9463582677165354	0.8611207796728159	5.941483530862186	4.555566570713598	0.6963582677165354	0.6923076923076923	0.6659600715033818	0.621178875969442	1.937515516928094	1.7148004108184087
CXCL16	0.3882874015748031	0.3567699269056735	0.5763866273547417	0.5359717356969654	0.719488188976378	0.7333797424295162	0.32807090230362373	0.3051068210882166	0.4551352832747818	0.4291632333172207
CXCR4	1.1968503937007875	1.4987817612252001	3.417656249394233	5.861506175544669	0.47391732283464566	0.4323007309432649	0.7870246953627744	0.9158033175971935	1.4856092951338389	1.925926976755517
CYTIP	0.14616141732283464	0.21789070657848938	0.29718860613250514	0.4420614267694518	0.9079724409448819	0.8691263487643578	0.13641846118596848	0.19712043338839846	0.2601993119808333	0.3660736362699352
DAPK3	0.1500984251968504	0.1458405847546119	0.20641062546280678	0.20678718488433762	0.8799212598425197	0.8868778280542986	0.13984752584048546	0.13613850281767087	0.1876495258113546	0.18796160915816731
DMKN	0.2327755905511811	0.2168465019143752	0.30472533021629317	0.27155453666690255	0.8184055118110236	0.8249216846501914	0.20926820482059266	0.19626267779613651	0.2659925436916566	0.2402401965582548
DNTTIP1	0.34005905511811024	0.3136094674556213	0.3791330344231344	0.3657513474312274	0.7239173228346457	0.7462582666202575	0.2927136839753871	0.272778666949206	0.3214550658209697	0.31170471488022683
DPT	0.10580708661417323	0.10407239819004525	0.2138116574977611	0.22628215631656562	0.9286417322834646	0.9338670379394362	0.10057546348695666	0.09900552377544905	0.19376553850742576	0.20398695484948529
DSC2	0.406003937007874	0.3609467455621302	0.5268570910726262	0.47169158246938403	0.7037401574803149	0.7305951966585451	0.3407515935324006	0.30818059400012193	0.4232114338232185	0.3864124755747695
DSP	1.8179133858267718	1.7218934911242603	3.6970103164726265	3.742615912050238	0.31791338582677164	0.3505046989209885	1.0359966769596878	1.0013277745600673	1.546926203438577	1.5565888636565
DST	2.376476377952756	2.2137138879220326	5.015753604562353	5.326176766300791	0.21456692913385828	0.26487991646362685	1.2168326739925184	1.1674272427933383	1.794381629120352	1.8446960673164579
DUSP2	0.08218503937007875	0.07657500870170554	0.11091831532506	0.11321500629722314	0.9311023622047244	0.93734772015315	0.07898218185638868	0.07378471370578008	0.10518698439470155	0.10725223090323069
DUSP5	0.36023622047244097	0.3605986773407588	0.5102447496869391	0.5586419812935146	0.7362204724409449	0.7424295161851723	0.307658376189188	0.30792480681366524	0.41227172357772524	0.4438149173228299
EDNRB	0.12696850393700787	0.129829446571528	0.2881546656741762	0.3664949917927646	0.9237204724409449	0.9269056735120084	0.11953128784991282	0.12206668909524696	0.25321070251805805	0.3122490613904402
EGFL7	0.08759842519685039	0.09711103376261747	0.1479111178310983	0.17266922756971784	0.9340551181102362	0.9296902192829795	0.08397198581342599	0.09268039199848019	0.13794387140794676	0.15928254147351162
EGFR	0.19586614173228348	0.1677688827010094	0.35846640846408234	0.3339607933628529	0.8636811023622047	0.8830490776192134	0.17887072763622164	0.1550949904264926	0.3063564226474363	0.2881525567788102
EIF4EBP1	0.3986220472440945	0.41454925165332407	0.5470783563428279	0.5686879670198088	0.7052165354330708	0.7065784893839192	0.33548749995867344	0.34681093027902826	0.43636822082072896	0.45023958018053445
ELF3	1.3690944881889764	1.262443438914027	3.4510975548292797	3.2799852531541864	0.4424212598425197	0.49634528367560043	0.8625078096446448	0.816445396904439	1.4931507073017953	1.4539495640630469
ENAH	2.7770669291338583	2.6380090497737556	5.440675193942708	5.433680157299689	0.15895669291338582	0.18203967977723634	1.3289477637570255	1.2914365676612136	1.862633378400461	1.861546716250705
EPCAM	10.950787401574804	10.308040375913679	87.14184083710363	97.11712544126617	0.11318897637795275	0.13853115210581274	2.4807971675519522	2.425514010386844	4.478947344572459	4.5861619226022565
ERBB2	18.971456692913385	18.024364775495997	181.124738792806	186.78352871368918	0.017716535433070866	0.026801253045596937	2.994304088829197	2.9457205142545053	5.204691830295019	5.235289856397843
ERN1	0.3799212598425197	0.4542290288896624	0.6502711902518833	1.241027547806055	0.734251968503937	0.7173686042464323	0.3220264394561082	0.3744758831372215	0.5009396321356517	0.8069344873831535
ESM1	0.08956692913385826	0.10755308040375913	0.32776899010223415	0.6635675829231332	0.9596456692913385	0.9557953358858337	0.08578030457020967	0.10215314991844263	0.2835000826863536	0.508964442596218
ESR1	0.09498031496062992	0.09258614688478942	0.1066808464857698	0.10284543347097702	0.9148622047244095	0.9157674904281239	0.09073638590196807	0.088547497862664	0.10136530726775157	0.09789359760594508
FAM107B	0.7716535433070866	0.7974242951618518	1.2260203072843368	1.3245476809833558	0.5388779527559056	0.5325443786982249	0.5719133157458288	0.5863546929872436	0.8002153755809847	0.8435254742992176
FAM49A	0.06791338582677166	0.06439262095370693	0.08401179357750146	0.08115855331600427	0.9409448818897638	0.9450052210233205	0.06570663783613273	0.06240432750971806	0.08066878264231307	0.07803320071943044
FASN	6.5108267716535435	6.139227288548556	30.34158631758918	31.096207898530846	0.11614173228346457	0.13609467455621302	2.016345549151206	1.965604547602614	3.4449458520345657	3.4687378891554452
FBLIM1	0.17864173228346455	0.17194570135746606	0.3585194737474654	0.33254137309519904	0.8784448818897638	0.882701009397842	0.1643627011466431	0.15866536018178493	0.3063954845238614	0.2870879258030115
FBLN1	0.265255905511811	0.24608423250957187	0.8153752175918927	0.8527223007018568	0.8666338582677166	0.8726070309780717	0.23527439856751695	0.22000602041545644	0.5962921778063996	0.6166560713675054
FCER1G	0.7480314960629921	0.7399930386355725	4.196451071385649	3.675757242291355	0.7303149606299213	0.7211973546815176	0.5584902954136882	0.5538811124342807	1.6479759063156165	1.5423911265845165
FCGR3A	0.21604330708661418	0.2325095718760877	0.5613771482959017	0.615140531332442	0.8784448818897638	0.8677340758788723	0.19560239729023757	0.20905239313261417	0.4455682192030148	0.47942196919383845
FGL2	0.2691929133858268	0.2600069613644274	1.0840726126922466	0.984253064018375	0.875492125984252	0.8788722589627567	0.2383811971829723	0.23111724584052717	0.7343239662266561	0.6852425531571781
FLNB	1.7052165354330708	1.6199095022624435	3.3069545567328458	3.086678682615107	0.3016732283464567	0.328576400974591	0.9951819591622878	0.9631397760552425	1.4602310549907354	1.4077325821166544
FOXA1	9.08021653543307	8.422902888966238	56.07086396096721	59.930074160830785	0.09645669291338582	0.11555864949530108	2.3105747441022833	2.2431432034266603	4.044293723052694	4.109726881407714
FSTL3	0.09104330708661418	0.0901496693351897	0.10544411038354326	0.10921004026538504	0.9197834645669292	0.9216846501914375	0.08713440091793896	0.08631499813140417	0.1002471640749469	0.10364808652647478
GATA3	8.102854330708661	7.61155586494953	47.0179731387897	52.169392877884285	0.10383858267716535	0.10198398886181692	2.2085880270561766	2.1531050065221757	3.871575381214034	3.9734829089422026
GJB2	0.15748031496062992	0.14897319874695442	0.4961133920298368	0.5899162503260109	0.9153543307086615	0.9209885137486947	0.14624550032014502	0.13886867287390348	0.40287067349124056	0.46368134209394557
GLIPR1	0.24606299212598426	0.27984684998259657	0.4652725277877932	0.5804328456176854	0.8405511811023622	0.8242255482074486	0.2199889745656943	0.24674042232198243	0.38204125096209374	0.4576987624432112
GPR183	0.23868110236220472	0.26905673512008355	0.9843622182936145	1.0142824316685848	0.8853346456692913	0.8593804385659589	0.21404718643694334	0.2382738962593188	0.6852975619033035	0.7002630186594029
GZMA	0.08809055118110236	0.16394013226592413	0.26451589923120755	0.470676949060846	0.9537401574803149	0.918552036199095	0.08442437215907378	0.1518109152253027	0.2346893605808315	0.38572280435385853
HAVCR2	0.1638779527559055	0.16011138183083884	0.3547162194644429	0.29886795416358436	0.8932086614173228	0.8910546467107553	0.15175749222766083	0.14851601932845013	0.3035920002681308	0.2614930806074567
HDC	0.6850393700787402	0.646362687086669	1.120839584859869	1.0475990564345599	0.5807086614173228	0.6032022276366168	0.5217889285632602	0.4985684225066891	0.7518120408787814	0.7166679147858694
HMGA1	1.3400590551181102	1.336581970066133	2.3298962052749315	2.426018535844725	0.36515748031496065	0.3727810650887574	0.8501761662811181	0.848689164959462	1.2029411339194631	1.2313988102330964
HOOK2	0.32381889763779526	0.29342151061608074	0.4002595595048404	0.3501551763755724	0.7480314960629921	0.7657500870170554	0.2805206638975123	0.25729104095443955	0.336657619083137	0.3002195313080015
HOXD8	0.48720472440944884	0.48973198746954405	0.8624654469889933	0.9317364532139106	0.6811023622047244	0.6898712147580925	0.39689833413431236	0.39859622959655294	0.6219011191472695	0.6584193151054843
HOXD9	0.12155511811023623	0.14375217542638358	0.47512352822588466	0.5527960834083926	0.9468503937007874	0.9404803341454925	0.11471622054731176	0.13431423961792385	0.3887417342348717	0.44005723059255863
HPX	0.07923228346456693	0.06752523494604942	0.09563939062639328	0.0894498970823351	0.9311023622047244	0.9429168116950922	0.07624993971951569	0.06534310513496198	0.09133811123472992	0.0856728872706022
IGF1	0.30118110236220474	0.2450400278454577	1.179555472848021	0.7400737536200549	0.84498031496063	0.8635572572224156	0.2632723922732044	0.2191676802797282	0.7791209444706084	0.5539274994660909
IGSF6	0.27312992125984253	0.259658893143056	0.7008433745449469	0.912358797254624	0.8489173228346457	0.845109641489732	0.24147837348765663	0.23084096458445286	0.5311242307174221	0.6483374524920242
IL2RG	0.12746062992125984	0.17612252001392273	0.24420861489433465	0.3317834278805554	0.9124015748031497	0.8809606682909851	0.11996787375512301	0.16222302773500039	0.21849967711783863	0.28651896721747233
IL3RA	0.0703740157480315	0.07866341802993387	0.12749212986116767	0.1414422240686751	0.952263779527559	0.9450052210233205	0.06800813482441195	0.0757226988084587	0.1199958122028561	0.13229257166269257
IL7R	0.26279527559055116	0.3821789070657849	1.3331695336458127	4.22157644848251	0.8976377952755905	0.8760877131917856	0.2333277364772092	0.3236611721519619	0.8472276580569974	1.6527993579262377
ITGAM	0.0718503937007874	0.07692307692307693	0.1051254763760143	0.12674094707520894	0.9429133858267716	0.9408284023668639	0.06938649479453327	0.07410797215372188	0.0999588818044912	0.11932934801026754
ITGAX	0.1624015748031496	0.1461886529759833	0.5299889120211523	0.4890671189937629	0.9168307086614174	0.9199443090845806	0.1504881880589351	0.13644222339707474	0.4252604883330856	0.3981498292432163
ITM2C	0.4498031496062992	0.5851026801253045	1.2293845008664908	2.8946526443974108	0.718011811023622	0.7041420118343196	0.37142778832420303	0.46064918764439533	0.8017255387946	1.3596044954736553
JUP	0.6422244094488189	0.6581970066132962	0.8000478314472138	0.9186453553252985	0.5634842519685039	0.5704838148277063	0.4960516700530015	0.5057308714959011	0.5878132375752922	0.6516193929249101
