genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
MKI67,0.000104844309357688,1.15605594513598,0.000349481031192294,10.5929800192944,5.43287053257979,833
FGL2,0.00030928104588051,1.24346313371137,0.000919484190455571,10.0487490839445,5.62587676221823,410
VWF,0.000222682601955554,1.1839138740769,0.000690002428594675,9.95643522361465,6.02134271191297,597
SVIL,0.000179183550470502,1.14930607410092,0.00057971148681633,9.91517826624525,5.66304857192219,833
CENPF,0.00018560688208307,1.15024822739142,0.000591790058815586,9.8827943467022,6.02234961885702,833
PDK4,0.000197282256661396,1.14839613516627,0.000620029949507244,9.79682397115732,6.10807715783947,834
DSP,0.000248409566249207,1.14685172493766,0.00075902923020591,9.51936440963379,6.32965046549014,833
SLC25A37,0.000382924613174517,1.19154371408,0.00112324553197858,9.37467561720672,4.90303125702409,541
IGSF6,0.000494045123147215,1.21326995544527,0.00143013061963667,9.23648307059623,5.39730189461931,462
HAVCR2,0.00121117377557857,1.26334229457472,0.00328960778552204,8.4848157151049,5.33737729695022,331
RTKN2,0.000691964891866801,1.1632554375113,0.00195169584885508,8.46381787504535,5.1216262536235,632
AR,0.000654980585955255,1.13596842260191,0.0018713731027293,8.32767654653118,6.15113205852103,833
TRAF4,0.00071754599074316,1.1343193356615,0.00199822934131007,8.21210165056617,5.93607051550277,833
FBLIM1,0.00127138270266681,1.21137663335416,0.00341102676325242,8.07703568618865,5.23267254195719,425
MMRN2,0.00212612244126012,1.3040001585423,0.00556841591758604,8.02410682814504,5.57712096558066,262
TPD52,0.00116852503146265,1.12863795923796,0.00321344383652229,7.62057815313455,6.73277975989002,833
AKR1C1,0.00571780813352388,1.45015847080106,0.0138232724107171,7.4888644937937,4.91960805739588,155
CTLA4,0.00620163514452231,1.46375050513737,0.0145452153863882,7.44015934269078,6.0181606501683,145
S100A4,0.00181400219758545,1.14986211504859,0.00480819859600962,7.25818231309748,5.80256355894126,621
CYTIP,0.00324610226189095,1.19328276985835,0.0083039825304187,6.83786862175862,5.69102038506314,408
BTNL9,0.00592157990038719,1.32040270345066,0.0141602997617954,6.77254615483141,5.6294106450976,215
FAM49A,0.00791685351186406,1.37450422857066,0.0179557502330937,6.65089805475721,5.05176675696758,183
KDR,0.00431373851192252,1.21888328462145,0.0109083042830225,6.6379778464536,5.7891411091668,339
KRT8,0.00265744514233566,1.11883739463242,0.00687809330957466,6.63514219805842,7.66858951088394,833
TIFA,0.00449803522184124,1.16559572865122,0.0112450880546031,6.29901288897999,4.87407688473175,483
TRAC,0.00628088846230399,1.14614751493669,0.0145452153863882,5.81124737002605,6.0035571355106,531
CRISPLD2,0.00638080284184372,1.14696472058476,0.0146226731792252,5.79728885260447,5.2810024932648,529
APOC1,0.00622429030511864,1.13661392196061,0.0145452153863882,5.7731983772538,5.70607816357953,577
FCER1G,0.00561834488532686,1.10947663973931,0.0137337319419101,5.74899525538578,5.86934600191976,831
CD3E,0.00842736222840802,1.16565039660568,0.0189185682678547,5.56746272030477,6.4155590297647,435
RAB30,0.0104055001870668,1.20236242731337,0.0228921004115469,5.48929037286504,4.97972301950505,337
HOOK2,0.00878781791012781,1.12576732959394,0.0195284842447285,5.32982028725029,4.73737708825837,617
MNDA,0.0199847400863331,1.31272647718858,0.0422754117210892,5.13641816553635,5.14997461422857,190
CD4,0.0118826481094186,1.11203219532627,0.025882995881902,4.92927851803287,5.78478478937731,679
ACTG2,0.00501259014488352,0.900323509987187,0.0123906722682514,4.76793549724477,6.5215564957547,833
FSTL3,0.0230553619511045,1.25340173638075,0.0483064726594571,4.72514520189495,4.81868788513173,227
HOXD9,0.0299248917806674,1.29476036299957,0.0603988641444663,4.54339781212051,5.65935942648257,179
SEC11C,0.0163501605904131,1.09404311838019,0.0352650522538322,4.50036557846402,5.94496258555027,831
ANKRD28,0.0177792435009105,1.0994774553555,0.0379750832058283,4.43059024682786,4.85486275052313,752
SERPINA3,0.0261625674840575,1.2150582384076,0.0542996683631381,4.4269743056356,5.11877081125329,267
EGFL7,0.040489602533137,1.27385025955687,0.0788293146662844,4.08486844914191,5.20846718427588,177
MZB1,0.0325062567401771,1.17873323032623,0.0650125134803541,4.03872041616927,5.05073324226934,310
RHOH,0.02728116738663,1.08570977730971,0.0560921198603608,3.91024744437312,5.59450557442269,832
GPR183,0.0343097818772215,1.13619939461245,0.068001369486385,3.83163337295355,5.69615499275611,423
RAPGEF3,0.0383174614141618,1.15448640785443,0.0752664420635322,3.76576099891262,4.832868812017,345
CD83,0.0496802380522904,1.16480015767663,0.093134321805984,3.49690252160746,5.28456298359516,306
CCL5,0.0470817239162997,1.1335659620956,0.0892929246688443,3.46403064792976,6.30931237037577,397
C6orf132,0.045494820009476,1.10533793913131,0.0870335687137802,3.41566755493062,4.70338634748335,538
S100A14,0.0423685698314351,1.07872935107813,0.0817639066922431,3.41023938269771,6.34111780206968,834
TYROBP,0.074032288457962,1.28920372024633,0.128244909139777,3.35612467763961,5.18360101918977,151
DMKN,0.0499538635141187,1.1196178476127,0.093134321805984,3.35510890173239,4.63104941604682,446
KLRB1,0.0559922663605703,1.16151625415098,0.100305814987921,3.34811903606164,5.79497240064443,296
AQP1,0.0537687368153059,1.10829114818702,0.0985760174947275,3.2396049380493,5.65327160381203,486
CXCR4,0.0515680421275423,1.07534326237261,0.095335876202179,3.18823484477307,6.87654027347449,832
TCIM,0.0551009653516775,1.07373546413381,0.100183573366686,3.11231677766463,7.6015408024239,834
CCPG1,0.0560800692887012,1.07394644610667,0.100305814987921,3.09401264855975,5.53541151686304,833
LAG3,0.0843094719642622,1.23087977097517,0.137582535761081,3.04428700720951,5.0080833590577,184
KARS,0.0635984048057702,1.07163248701565,0.112835879494108,2.95252634713924,5.27770982922653,833
DNTTIP1,0.0670446985904035,1.078167479428,0.11799866951911,2.91363520221803,4.88697968938316,715
CEACAM6,0.0707433773805498,1.09725702068558,0.123520182727944,2.90630066873978,5.01345228842267,519
MYLK,0.0757013663452333,1.11144192058991,0.13011172340587,2.86858610486555,5.45667572165174,430
LARS,0.0772609049229406,1.06842107070352,0.131762783589511,2.73576395917201,6.2755973235968,832
CCND1,0.0779587332142387,1.06815616293832,0.131930163901019,2.72548125965048,8.30740760720383,832
CLDN4,0.0786624661218679,1.06782168198759,0.132104904937488,2.7150318342955,5.00297639417664,833
SDC4,0.0845940496361832,1.07187351320702,0.137582535761081,2.64741111868557,4.85234489365334,751
USP53,0.0850510221068499,1.06643074966302,0.137582535761081,2.62822278694268,5.94038349439405,832
CD3D,0.0285317593320577,0.733035277970755,0.0581202504912287,2.60721402505136,5.71513552017093,183
OXTR,0.115102755055685,1.19865517318425,0.178328212058104,2.5914086113441,4.70391509800686,193
TUBA4A,0.0915680979370698,1.06543806598621,0.147043660920842,2.54711331834272,5.92569867072615,833
CD14,0.102391005373907,1.08316152800771,0.162057706347192,2.46847790556401,5.59542937366767,545
ERN1,0.102258608628314,1.06556408125351,0.162057706347192,2.42975281130085,5.18577669784039,776
BACE2,0.0840718019423051,0.93643835541645,0.137582535761081,2.31870008523659,5.0058687167531,833
SMAP2,0.113281171300888,1.0642149869663,0.176750763731883,2.31773499331699,5.08380135401907,780
MAP3K8,0.0808725541917739,0.919988162348081,0.134787590319623,2.3136605366919,4.99624567637796,605
CCDC6,0.124687078128817,1.0593769087613,0.190494147141248,2.20556769505892,6.54027848311131,831
CXCL16,0.116674162214384,0.939602577892672,0.179498711099052,2.01861414781863,4.8974373892902,768
DSC2,0.157112120664333,1.06140862656579,0.238377010663125,1.96445039903174,4.90118136029117,695
SLAMF1,0.188715221040174,1.16880236727729,0.278639923683479,1.94899684372065,5.58182663867752,190
CDC42EP1,0.179808300648803,1.11694835974714,0.269100858113854,1.91653147141257,4.83930120922505,289
GZMA,0.10753136148419,0.85053201689551,0.16897785376087,1.89666321151425,6.15924353667151,253
TOMM7,0.173874421294709,1.05215100913741,0.262002552635863,1.84065607749369,7.53740135816882,833
ADGRE5,0.193178205486627,1.09068504607283,0.281451690112967,1.79324128018975,5.36817907776203,371
SQLE,0.183402438510103,1.05095344011504,0.272625246433936,1.78249314776109,5.84176019884624,832
PPARG,0.190922379712449,1.05306574757036,0.280019490244925,1.74375927419905,5.1401392472469,760
PIM1,0.20266947337088,1.07258636683596,0.293337395668379,1.71203965950228,5.07151036888225,477
MDM2,0.213964820060232,1.04833265074941,0.305664028657474,1.61646989457973,7.33382919287998,833
TMEM147,0.204831260821274,0.952654453438644,0.294528610331243,1.51049913733803,6.28350699760864,834
IL3RA,0.288506754196511,1.15296540284661,0.399191735366241,1.43317840397533,5.2692577688848,165
LPXN,0.286925696705517,1.06308643040665,0.399191735366241,1.32729741994037,5.33144606465174,446
JUP,0.287197961306223,1.04092295304376,0.399191735366241,1.29863834298908,5.4627111881169,833
CD8A,0.316777592783242,1.0730002620526,0.435569190076957,1.23347319328996,6.11640142499694,351
ENAH,0.278114655943983,0.959713733513806,0.392212976331257,1.22816660464182,6.88762524407543,833
RORC,0.24792485050335,0.874860742796105,0.351893336198303,1.22010668857017,4.69017268794226,229
C1QA,0.342207310834592,1.06668169704131,0.464725977676607,1.14384390808926,5.27863859878883,370
NOSTRIN,0.366547586176659,1.07822601025103,0.493970716611946,1.08213665683128,5.65364610202904,279
C2orf42,0.333173084388516,0.924099844136805,0.455267568729648,1.01567180962184,4.76495443895876,323
SNAI1,0.41192119738484,1.12386653505616,0.539420615623005,0.996783322087751,5.23844118869541,152
ESR1,0.410208423191495,1.08387828174304,0.539420615623005,0.965832988825582,4.79817135318141,228
SMS,0.368232716019814,0.966613903857174,0.493970716611946,0.965686109354121,6.5907231608677,832
C1QC,0.404202927096286,1.04828245455689,0.535690626272186,0.949574325624659,5.49038482057424,452
SEC24A,0.380810378726704,0.96737442438779,0.507747171635605,0.933955237989852,5.92687121001826,832
ITGAM,0.457504559056154,1.11270217602878,0.588602356680432,0.870097972718978,5.07867404695885,156
SH3YL1,0.440582184255993,1.02961374838318,0.573538938084725,0.843931434702277,6.15723935930381,833
HDC,0.452416540166102,1.02872144665711,0.585480228450249,0.815932446601354,5.34532537418924,832
SELL,0.496043234522679,1.11226985392277,0.627181101120629,0.779803707401333,5.76151478732187,132
KRT15,0.502274802419298,1.08789047929383,0.63143118018426,0.749129971729025,4.93165158073819,179
QARS,0.489931790498858,1.02600348493108,0.62303464687716,0.732042303707405,6.12447064044118,833
TRIB1,0.489931790498858,1.02600348493108,0.62303464687716,0.732042303707405,5.11144616386932,833
APOBEC3B,0.523358034807452,1.07450173591195,0.654197543509315,0.695728559663866,4.98531133857552,208
IL2RG,0.530070527858427,1.04309527596305,0.65884472389183,0.662099729843258,5.70715424932625,383
OCIAD2,0.537662525758037,1.02351571569617,0.664526717229034,0.635116261645097,5.12971171322638,833
CCL8,0.579593160409593,1.10683412800011,0.712349135698941,0.603699286761531,5.2008424797435,104
ADAM9,0.600364074455151,0.980157330950882,0.729724289393001,0.500094909932977,6.48568149963944,832
SLAMF7,0.586470509202739,0.924623505550893,0.71679728902557,0.493409517906174,5.81895419918091,198
EIF4EBP1,0.635270195651058,1.01835677956307,0.745517343250064,0.46203342583375,4.9469829875367,818
ZNF562,0.625071118477813,0.981042573074742,0.745272305564527,0.460981943733376,5.818647921113,832
TRAPPC3,0.625210817052952,0.981346924954137,0.745272305564527,0.460905656625373,5.663859233857,833
PTRHD1,0.637078456959146,1.01823049810939,0.745517343250064,0.459081911962896,5.15570205787357,832
VOPP1,0.626706256951989,0.981264062388514,0.745272305564527,0.458522458785625,6.14480226991042,833
DAPK3,0.642808678759929,1.03742102763484,0.748242906493039,0.458444800574645,4.82054430544725,321
CD3G,0.623365780802471,0.953959423569177,0.745272305564527,0.45086202408506,5.8909333285354,269
DUSP5,0.636721630442963,0.980963567090089,0.745517343250064,0.442829241477725,5.0251800406399,763
SERPINB9,0.654967840410735,1.01724779621773,0.754413219321266,0.430467878308714,5.25965121775596,833
HMGA1,0.652508663183155,0.982545199378607,0.754413219321266,0.419478869872214,6.13283456125936,833
KLF5,0.665941213437213,1.01690487369982,0.759819741839105,0.413426622451076,5.68524060364443,833
HOXD8,0.666569137158851,0.983713015350426,0.759819741839105,0.399005226213543,5.15546999921408,833
PDE4A,0.672206061646914,0.965535832122286,0.762295533826397,0.383501511340037,4.99102937272452,323
PELI1,0.685696376576665,1.01569361280603,0.773606168445468,0.383241868435547,4.95890986773874,796
TFAP2A,0.694982672088587,1.01525557001994,0.776879209929006,0.369419385309967,5.64837880234159,833
LGALSL,0.700229312541822,1.02105441068114,0.778032569490914,0.363850092917169,4.84767792351735,487
FLNB,0.695660019800064,0.985337984252942,0.776879209929006,0.357573454591274,6.40089671549919,833
ITM2C,0.735837304601515,0.987028379610893,0.813488477448911,0.302767242461771,5.45880034722066,833
FAM107B,0.750505813603213,1.01197320358572,0.819316639428866,0.290444285429361,5.960141387162,833
SLC5A6,0.748723391074678,0.987259439375774,0.819316639428866,0.285698732334028,5.49985981003452,832
HPX,0.752281641657413,0.929738807708196,0.819316639428866,0.2646450396016,4.69711614981766,143
CTTN,0.77904429150861,1.01111959309787,0.840145804568108,0.252463799892202,7.38619496709822,838
CD247,0.773866460219598,0.965148857211573,0.838673011075427,0.247421654395739,5.70058570013731,252
ANGPT2,0.787654655228128,0.935656798019059,0.845287922683844,0.223337104632188,5.27702050073124,129
WARS,0.822635747584117,0.991489883033245,0.878543031400514,0.193580237028626,5.6173113749408,833
ANKRD29,0.843712360580674,0.966327967369385,0.89669912718719,0.16422129942954,5.02704770431676,180
THAP2,0.850281202280024,0.988523913161513,0.899335887026948,0.16032687261156,4.87876198363569,493
ESM1,0.875761767243336,0.958796750167459,0.92185449183509,0.12719510848168,5.67387248590209,146
MMP1,0.90276691553743,1.00852036367048,0.942420125272658,0.103162436720989,5.52737181155626,92
CD8B,0.903866574693322,1.01147848443827,0.942420125272658,0.102233694719496,5.60952990246031,195
NARS,0.909894345366016,0.995617707686127,0.944229981040206,0.0940129844082803,7.05232434562401,833
SOX17,0.93206964466768,1.00379367963739,0.962701041440796,0.0706146178428722,5.2485524426351,130
STC1,0.936770977754621,0.993908011936125,0.963035584607554,0.0649185403543754,4.88187527657211,503
POLR2J3,0.955146501163239,1.00270015476467,0.972980690589829,0.0460144574834245,7.68351510996038,834
SRPK1,0.955290132579105,1.00236508264452,0.972980690589829,0.0458483602006538,5.7976484587716,834
NPM3,0.968062886929593,0.993001781850682,0.981446244813412,0.0322310782192523,4.73568575450418,310
TUBB2B,0.976259810488237,0.996401971995318,0.985216322511065,0.0239400805998487,4.8220347677529,433
DST,0.985050656381846,0.998484308969332,0.989548604584503,0.0150393816749633,6.69166792100414,833
DUSP2,1,0.995462085862726,1,1.10518492786618e-16,5.02912585723578,192
