genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
MYLK,1.32449223321517e-08,1.2683531109823,6.19975087887952e-08,23.0074835113155,5.37612525179056,777
FASN,1.48487277170075e-08,1.27431685563031,6.66677570967686e-08,22.9700094375208,6.86402895938915,3756
PCOLCE,1.40882506924786e-07,1.44154156731314,5.73965768952832e-07,22.7408077404035,5.1980859111006,407
TENT5C,3.17688899829611e-09,1.161192085481,1.51938169483727e-08,22.7214675386916,5.57429347929406,2623
LPXN,3.28354775681618e-08,1.29761738253413,1.44476101299912e-07,22.3602264713382,5.11820130196581,664
MMP1,2.46377320297477e-06,1.69796976957503,7.97103095080071e-06,21.9272701300361,5.71175869713942,225
S100A14,1.45308904489624e-08,1.15636015586989,6.65999145577442e-08,20.8688191029432,5.62514897018471,2710
ADGRE5,1.69244821492386e-07,1.30959001611952,6.64890370148659e-07,20.419022138697,5.24028339675391,588
CD69,6.45053200887027e-07,1.38745456481939,2.25256673325628e-06,19.7766844651378,5.40039010992618,435
CAV1,6.25053879516287e-08,1.19142989992006,2.69631085281536e-07,19.7634547598377,5.98311087294222,1125
IL2RG,4.5198315159056e-07,1.34288425045672,1.63010316967087e-06,19.619029856137,5.5772407680892,510
C1QC,2.99617494595951e-07,1.24520748561385,1.13648015191568e-06,18.7039617877612,5.48365758248691,760
CYTIP,6.84648474778215e-07,1.3135536846855,2.3172717607878e-06,18.6450542815818,5.59890861923839,538
CLDN4,1.20504480208242e-07,1.16632038385135,5.00207276336099e-07,18.5813252233192,4.95400185403877,1365
CD163,3.45015899521763e-07,1.24863323456272,1.28649996431844e-06,18.579257143292,5.49478033010424,731
TRAF4,8.5898660149233e-08,1.14142048756096,3.63417408323678e-07,18.5710227419622,5.27842048708749,2398
S100A4,2.48731485210127e-07,1.20424573872082,9.60016258705751e-07,18.3128347637347,5.52583736510777,960
KLF5,1.449236824701e-07,1.14080030511646,5.796947298804e-07,17.9642492109356,5.22534561794002,1961
ZEB1,3.91580051921583e-07,1.17309296470239,1.43579352371247e-06,17.306729507911,5.44882013100392,1182
PIM1,6.66939178548866e-07,1.21628059000562,2.29260342626173e-06,17.296199598804,5.17159494691683,840
FBLIM1,7.94523823277099e-07,1.21293092410087,2.648412744257e-06,17.0362490295487,5.31275133377432,849
SFRP4,3.51751250055023e-06,1.3341773404053,1.10550392874436e-05,16.7542741608191,5.51375505249181,468
TPD52,6.10036790329093e-07,1.1588013353279,2.1646466753613e-06,16.5821534330365,5.85820313398557,3204
EDNRB,2.39936131801618e-06,1.27734507351451,7.87849985020237e-06,16.5292386397353,5.38020936822949,582
CD14,2.69628630318513e-06,1.18899687397312,8.5968548797207e-06,15.2472621360576,5.56945415878779,923
PECAM1,4.32879197191351e-06,1.14779461294622,1.34131582228306e-05,14.1755183321647,5.62703040184514,1271
IL3RA,0.000277952140947714,1.48216249019433,0.000745725256201184,12.1360377916091,5.28742863787995,240
GZMA,0.000247684972058043,1.38402961113884,0.000672724615466289,11.4920862759805,5.80324359144645,309
CAVIN2,0.000813477335619086,1.57289719687795,0.00190388312591701,11.1898934287583,5.43992414067489,186
CCDC6,5.04198886521573e-05,1.13064408381563,0.000151950349362666,11.187864364179,5.7569423106542,3251
SERHL2,4.67031786392757e-05,1.1102822346644,0.000142704156953342,11.0713995058144,5.8613480735182,2726
SCD,0.000129385545139355,1.23031188570983,0.000374537104350764,11.0146303069257,7.29465549034107,3949
KARS,5.67457314068105e-05,1.11070294062325,0.000168703525804031,10.8592650366989,4.98210208190544,1726
PDK4,6.2369209273474e-05,1.1096978988559,0.000182949680535524,10.7445820426535,5.71403198888546,1723
AVPR1A,0.000485484101650407,1.32820604131223,0.00121371025412602,10.1346955849399,5.47445926792812,346
CDH1,0.000138472171155071,1.11794471557551,0.000395634774728775,9.93276124905501,6.03687639748581,3172
KRT7,0.000366047699680248,1.24136333935386,0.00095869635630541,9.82259392276798,7.70848602675347,4027
ZNF562,0.000142585182601986,1.09877949076803,0.000402163335544064,9.73031975450922,5.24306668795684,2401
SLC5A6,0.00015134464535947,1.10047939226225,0.000421466101001056,9.67976270334625,5.0948287683399,1881
DMKN,0.000399397058142988,1.1898218913109,0.00103373356225244,9.31101605895995,4.76395303991593,634
OCIAD2,0.000232223197089005,1.11219117002702,0.000638613791994764,9.30660616547195,4.95483717063854,1367
