genes,observed,p.value
SLC5A6,0.0248460939100546,0.000975609756097561
ANKRD29,0.0247903039508104,0.000975609756097561
FAM49A,0.0243791140345482,0.000975609756097561
SERPINA3,0.0242178131072503,0.000975609756097561
SOX17,0.0241165806827722,0.000975609756097561
RHOH,0.0240996380662386,0.000975609756097561
ENAH,0.0238998500405915,0.000975609756097561
SNAI1,0.0238716864361514,0.000975609756097561
MAP3K8,0.0234048343913168,0.000975609756097561
TMEM147,0.0227214432598537,0.000975609756097561
MNDA,0.0220394519467999,0.000975609756097561
STC1,0.0220128861738447,0.000975609756097561
ZNF562,0.0218365801865772,0.000975609756097561
CEACAM6,0.0217082939622634,0.000975609756097561
TFAP2A,0.0212202158371323,0.000975609756097561
LGALSL,0.0203536010078474,0.000975609756097561
TYROBP,0.0194018177464843,0.000975609756097561
SVIL,0.0190570986920786,0.000975609756097561
HOOK2,0.0181946901228944,0.000975609756097561
TRAPPC3,0.0179796772967375,0.000975609756097561
SLAMF1,0.0178701127550716,0.000975609756097561
DSC2,0.0176355225101461,0.000975609756097561
PELI1,0.0175252822101642,0.000975609756097561
RAPGEF3,0.0168979997052909,0.000975609756097561
RAB30,0.0161496534100258,0.000975609756097561
SDC4,0.0158926422884172,0.000975609756097561
LARS,0.0157845624608893,0.000975609756097561
FAM107B,0.015136347448651,0.000975609756097561
PTRHD1,0.0143637550908453,0.000975609756097561
CLDN4,0.0141560491967981,0.000975609756097561
DUSP5,0.0139869007092193,0.000975609756097561
VOPP1,0.0139811865438749,0.000975609756097561
FSTL3,0.0138295466937555,0.000975609756097561
DMKN,0.012716690591921,0.000975609756097561
SQLE,0.0124238739488247,0.000975609756097561
RTKN2,0.0119476416250855,0.000975609756097561
OCIAD2,0.0138373964545664,0.00195121951219512
CXCL16,0.0116417713506861,0.00195121951219512
PDE4A,0.0106305518252175,0.00390243902439024
EIF4EBP1,0.0105373481058662,0.00487804878048781
CD8B,0.0116599865813194,0.00585365853658537
TIFA,0.0104675056504129,0.00585365853658537
SRPK1,0.0104198101140598,0.00682926829268293
AKR1C1,0.0104580354683512,0.00878048780487805
CDC42EP1,0.00788515205904429,0.0126829268292683
SEC24A,0.00839876415320616,0.0195121951219512
APOBEC3B,0.00766910670321811,0.0234146341463415
KARS,0.00749722758820453,0.04
RORC,0.00722283876820434,0.0517073170731707
ACTG2,0.00655839616064974,0.0565853658536585
QARS,0.00601391917402604,0.0663414634146342
JUP,0.00618335694551464,0.0751219512195122
DNTTIP1,0.00613136354740055,0.0809756097560976
DUSP2,0.00479598528824774,0.138536585365854
C6orf132,0.00491004340174568,0.166829268292683
ANKRD28,0.00424107089958767,0.220487804878049
WARS,0.00381657883570516,0.23219512195122
LAG3,0.00380835378645548,0.267317073170732
OXTR,0.0026627560782986,0.441951219512195
POLR2J3,0.00258541844053996,0.457560975609756
NPM3,-0.00215781132474982,0.474146341463415
ESR1,-0.00142529825142026,0.652682926829268
C2orf42,0.00113001352365049,0.71609756097561
THAP2,0.00112976188081322,0.721951219512195
HPX,-0.00115337203574937,0.75219512195122
SLC25A37,0.001015858313634,0.795121951219512
DAPK3,0.000343664265190427,0.910243902439024
KRT15,-0.00022422943075033,0.950243902439024
TUBB2B,0.000142911362626734,0.974634146341463
