genes,observed,p.value
PTPRC,0.00930802083514448,0.0517073170731707
CD14,0.0101269538861426,0.0526829268292683
PCOLCE,0.00975338237874958,0.0526829268292683
SFRP4,0.00815406585748379,0.0565853658536585
PTN,0.00907976903489404,0.0575609756097561
C1QA,0.00902085175432731,0.0585365853658537
SH3YL1,-0.00898754052088716,0.0634146341463415
C1QC,0.00802424922097492,0.0809756097560976
CD86,-0.00827427731990775,0.0829268292682927
DSP,0.00800682235447446,0.0829268292682927
ANKRD28,-0.00848864118981009,0.0848780487804878
JUP,-0.00843141896518806,0.0868292682926829
DNTTIP1,0.00863076591002072,0.0897560975609756
S100A4,0.00829686680125919,0.0926829268292683
IL2RG,0.00750713280117503,0.0946341463414634
KRT8,0.00786057086673111,0.095609756097561
FSTL3,0.0086746506896119,0.0975609756097561
ESM1,0.00784312498326465,0.0995121951219512
SVIL,0.00821414821058835,0.100487804878049
FAM107B,0.00827803303362901,0.103414634146341
CD4,0.00856449628595767,0.107317073170732
IGF1,0.00745210924801492,0.107317073170732
LYPD3,0.0080060614021744,0.109268292682927
PCLAF,-0.00743197079841925,0.109268292682927
CD163,0.00739380042077946,0.113170731707317
EIF4EBP1,-0.00823657150061105,0.114146341463415
LPL,-0.00661118821145074,0.114146341463415
TOP2A,0.00800410956827743,0.115121951219512
GZMA,-0.00717059207681953,0.117073170731707
PPARG,-0.00715641907343197,0.118048780487805
LRRC15,0.00698840291454735,0.122926829268293
MMP1,-0.00594307669150105,0.12390243902439
PDGFRA,0.00778704629425951,0.131707317073171
KDR,-0.00750055569858623,0.136585365853659
TIFA,0.00699037091949528,0.136585365853659
MEDAG,0.00700718576955281,0.147317073170732
BASP1,-0.00623499672305529,0.169756097560976
SOX17,-0.00685403911577856,0.172682926829268
CD9,-0.00675305436721705,0.174634146341463
ITM2C,0.0063938001007006,0.178536585365854
DST,0.00629028616630603,0.191219512195122
SLAMF1,0.00607980755388038,0.191219512195122
SNAI1,-0.00567318507305904,0.191219512195122
LDHB,-0.00650917557170082,0.195121951219512
RAMP2,0.00685564444825186,0.19609756097561
MYO5B,0.00636716627687446,0.19609756097561
CD69,0.00611329987052974,0.19609756097561
AKR1C1,-0.00612316333521755,0.197073170731707
GPR183,0.00561257954960263,0.198048780487805
EDNRB,0.00605667131188209,0.206829268292683
ANKRD29,-0.00665938789554655,0.212682926829268
HOXD9,-0.00616775630729315,0.214634146341463
SMS,-0.00559535229052641,0.225365853658537
SEC24A,0.00583059868145631,0.226341463414634
HMGA1,-0.00552221144850329,0.231219512195122
SRPK1,0.00550184105703764,0.237073170731707
DPT,0.0055827435580494,0.238048780487805
KLF5,0.00576178420084649,0.239024390243902
SQLE,0.00576641617140691,0.244878048780488
TACSTD2,0.00559453754258114,0.244878048780488
FLNB,0.00553703277768573,0.246829268292683
DUSP2,-0.00519593202016149,0.250731707317073
MDM2,-0.00525760063110106,0.255609756097561
RUNX1,-0.00493862941037746,0.260487804878049
HAVCR2,-0.00531627168296014,0.264390243902439
TMEM147,-0.00521649207969698,0.264390243902439
STC1,0.00544041697166468,0.275121951219512
SLAMF7,0.0048817890784702,0.281951219512195
CENPF,-0.0049821747481808,0.286829268292683
DSC2,0.00456285387656636,0.289756097560976
AR,-0.00510886896842034,0.292682926829268
QARS,-0.00545707554622023,0.294634146341463
FGL2,0.00488387546530956,0.297560975609756
PDK4,0.00478278033839001,0.300487804878049
TFAP2A,-0.00503439061435029,0.301463414634146
CD3G,0.00437540099022385,0.303414634146341
ZEB1,0.0049656247203378,0.306341463414634
TUBA4A,-0.00508280338680506,0.310243902439024
CCDC6,0.00517956537428016,0.311219512195122
RTKN2,0.0051053724222351,0.321951219512195
SELL,0.00426859722036972,0.326829268292683
LAG3,0.00416236136384737,0.334634146341463
MLPH,0.00462417126470469,0.341463414634146
ELF3,-0.00433099037615409,0.376585365853659
ENAH,0.00464647142490868,0.377560975609756
MNDA,0.00355128043441307,0.382439024390244
TPD52,0.00431417535016486,0.387317073170732
VWF,0.00432920964179717,0.391219512195122
POLR2J3,-0.00393490843929038,0.39609756097561
LPXN,0.00380687587257381,0.402926829268293
CDC42EP1,-0.0038278111080643,0.410731707317073
ITGAM,0.00382729874064801,0.415609756097561
TRAC,0.00326425553534091,0.43219512195122
SERHL2,0.00379129293540287,0.433170731707317
IGSF6,0.00359576346321176,0.437073170731707
CCPG1,0.00360714693510485,0.449756097560976
EGFR,-0.00366718932756376,0.450731707317073
