dataset	gene	expected_class	spatial_domain	n_cells	mean_count	median_count	detection_fraction	normalized_mean_profile
STARmap	Sulf2	inner	middle	164	0.2926829268292683	0.0	0.21951219512195122	0.18633579251940557
STARmap	Sulf2	inner	deep	75	0.7466666666666667	0.0	0.4533333333333333	0.47536331069395027
STARmap	Sulf2	inner	inner	177	0.288135593220339	0.0	0.23163841807909605	0.1834407448955165
STARmap	Ctgf	inner	superficial	185	0.23243243243243245	0.0	0.1783783783783784	0.24676853272794247
STARmap	Ctgf	inner	middle	164	0.1951219512195122	0.0	0.18292682926829268	0.2071567943490385
STARmap	Ctgf	inner	deep	75	0.18666666666666668	0.0	0.17333333333333334	0.19817999992724683
STARmap	Ctgf	inner	inner	177	0.327683615819209	0.0	0.1694915254237288	0.34789467299577226
SimSpace	Cux2	superficial	superficial	1317	6.932422171602126	7.0	0.9392558845861807	0.5356616204111065
SimSpace	Cux2	superficial	middle	806	3.6811414392059554	3.0	0.8461538461538461	0.28443827272449984
SimSpace	Cux2	superficial	deep	612	1.2418300653594772	1.0	0.6160130718954249	0.09595501956164852
SimSpace	Cux2	superficial	inner	625	1.0864	1.0	0.6048	0.0839450873027451
SimSpace	Rorb	middle	superficial	1317	5.244495064540622	4.0	0.973424449506454	0.2642218857028186
SimSpace	Rorb	middle	middle	806	8.70347394540943	9.0	0.9627791563275434	0.43848802786944024
SimSpace	Rorb	middle	deep	612	4.233660130718954	3.0	0.880718954248366	0.21329520752659661
SimSpace	Rorb	middle	inner	625	1.6672	1.0	0.6816	0.08399487890114443
SimSpace	Fezf2	deep	superficial	1317	1.117691723614275	0.0	0.4403948367501898	0.12300408829741052
SimSpace	Fezf2	deep	middle	806	1.8027295285359801	1.0	0.6836228287841191	0.19839379447790778
SimSpace	Fezf2	deep	deep	612	3.8366013071895426	2.0	0.8790849673202614	0.4222252307867728
SimSpace	Fezf2	deep	inner	625	2.3296	2.0	0.8592	0.25637688643790885
SimSpace	Deptor	deep	superficial	1317	1.1245254365983295	0.0	0.4145785876993166	0.1202642083044094
SimSpace	Deptor	deep	middle	806	2.730769230769231	2.0	0.78287841191067	0.2920465726359635
SimSpace	Deptor	deep	deep	612	3.5751633986928106	2.0	0.8300653594771242	0.3823516851724821
SimSpace	Deptor	deep	inner	625	1.92	1.0	0.7344	0.205337533887145
SimSpace	Tshz2	inner	superficial	1317	0.6469248291571754	0.0	0.3363705391040243	0.06360090188771773
SimSpace	Tshz2	inner	middle	806	1.7009925558312655	1.0	0.6910669975186104	0.16722910573104352
SimSpace	Tshz2	inner	deep	612	3.447712418300654	2.0	0.8415032679738562	0.33895378469100423
SimSpace	Tshz2	inner	inner	625	4.376	2.0	0.8128	0.4302162076902345
SimSpace	Foxp2	inner	superficial	1317	0.466211085801063	0.0	0.2642369020501139	0.07165324342274888
SimSpace	Foxp2	inner	middle	806	0.7555831265508685	0.0	0.4305210918114144	0.11612761545522993
SimSpace	Foxp2	inner	deep	612	2.0718954248366015	1.0	0.7598039215686274	0.3184352147422879
SimSpace	Foxp2	inner	inner	625	3.2128	2.0	0.8256	0.4937839263797333
SimSpace	Sulf2	inner	superficial	1317	0.39787395596051633	0.0	0.21943811693242218	0.06042197150279687
SimSpace	Sulf2	inner	middle	806	0.9205955334987593	0.0	0.4851116625310174	0.1398035640618409
SimSpace	Sulf2	inner	deep	612	1.9640522875816993	1.0	0.7238562091503268	0.2982650901685081
SimSpace	Sulf2	inner	inner	625	3.3024	2.0	0.88	0.501509374266854
SimSpace	Ctgf	inner	superficial	1317	0.4411541381928626	0.0	0.31359149582384205	0.12776583040372164
SimSpace	Ctgf	inner	middle	806	0.6104218362282878	0.0	0.43300248138957814	0.1767886687445644
SimSpace	Ctgf	inner	deep	612	1.0604575163398693	1.0	0.6013071895424836	0.3071267465336534
SimSpace	Ctgf	inner	inner	625	1.3408	1.0	0.6608	0.3883187543180606
