col,row,B_Cells,CD4+_T_Cells,CD8+_T_Cells,DCIS_2,Endothelial,IRF7+_DCs,Invasive_Tumor,Macrophages_1,Macrophages_2,Myoepi_ACTA2+,Myoepi_KRT15+,Perivascular-Like,Stromal,Stromal_&_T_Cell_Hybrid
125,105,0.03571428571428571,0.0,0.03571428571428571,0.17857142857142858,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.6071428571428571,0.03571428571428571
125,115,0.029411764705882353,0.20588235294117646,0.08823529411764706,0.058823529411764705,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.5294117647058824,0.0
125,125,0.0,0.0,0.03225806451612903,0.22580645161290322,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0967741935483871,0.0,0.0,0.5483870967741935,0.0
125,135,0.03125,0.03125,0.15625,0.125,0.0,0.0,0.0,0.15625,0.03125,0.0,0.0,0.0,0.46875,0.0
125,145,0.0,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.46153846153846156,0.0
135,5,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.5333333333333333,0.03333333333333333
135,15,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.6,0.0
135,25,0.0,0.0,0.21428571428571427,0.14285714285714285,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.5,0.0
135,35,0.0,0.0625,0.15625,0.21875,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.5,0.0
135,45,0.05405405405405406,0.0,0.10810810810810811,0.13513513513513514,0.0,0.0,0.0,0.1891891891891892,0.0,0.02702702702702703,0.0,0.0,0.4594594594594595,0.02702702702702703
135,55,0.041666666666666664,0.0,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.0,0.0,0.125,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.0
135,65,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0,0.0,0.08571428571428572,0.0,0.02857142857142857,0.0,0.0,0.6285714285714286,0.0
135,75,0.03125,0.125,0.09375,0.09375,0.0,0.0,0.0,0.03125,0.0,0.03125,0.0,0.0,0.5625,0.03125
