dataset	topology	difficulty	domain_fold_change	layout_seed	method	method_display	method_seed	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
curved_layers_seed0_moderate	curved_layers	moderate	3.0	0	expression_pca_kmeans	Expression-only control	100000	success	0.5545149999670684	361.96875			0.13733333333333334	0.023333842938998345	-0.013857613237738247	0.013265841702428111	0.26722566532993075	1.0	0.4217491369390104	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	graphst	GraphST	100000	success	87.89849879220128	1193.21875			0.13733333333333334	0.023333842938998345	0.975643273375937	0.9549230990782097	1.0	1.0	1.0	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	stagate	STAGATE	100000	success	224.78323529218324	1238.125			0.13733333333333334	0.023333842938998345	0.9737986346968249	0.9512785982417332	1.0	1.0	1.0	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	banksy	BANKSY	100000	success	17.28				0.13733333333333334	0.023333842938998345	0.25649220033362213	0.3618294876282285	0.4292682926829268	0.1966019417475728	0.26968842814173016	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	spagcn	SpaGCN	100000	success	5.144387457985431	850.578125			0.13733333333333334	0.023333842938998345	0.9925177488066962	0.986114092623274	0.9645390070921985	1.0	0.9819494584837545	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	spclue	spCLUE	100000	success	20.769787209108472	1168.09375			0.13733333333333334	0.023333842938998345	0.9537997974465657	0.9230380174667543	1.0	0.9805825242718447	0.9901960784313726	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	stlearn	stLearn	100000	success	7.433512666961178	2582.078125			0.13733333333333334	0.023333842938998345	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed0_easy	curved_layers	easy	4.0	0	expression_pca_kmeans	Expression-only control	100000	success	0.5650447078514844	381.65625			0.13733333333333334	0.023333842938998345	1.0	1.0	1.0	1.0	1.0	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	graphst	GraphST	100001	success	90.15678262501024	1203.453125			0.12966666666666668	0.02162464714437553	0.9283414583567693	0.8809047412271763	0.7767175572519084	0.9948586118251928	0.8723578068793251	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	stagate	STAGATE	100001	success	225.17046350007877	1284.46875			0.12966666666666668	0.02162464714437553	0.9687120416166953	0.9411822022613764	1.0	0.9948586118251928	0.9974226804123711	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	banksy	BANKSY	100001	success	16.15				0.12966666666666668	0.02162464714437553	0.1986118425521662	0.2993311779871001	0.4296577946768061	0.31362467866323906	0.3625843272885078	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	spagcn	SpaGCN	100001	success	5.635941250016913	872.203125			0.12966666666666668	0.02162464714437553	0.011855655944881688	0.009457202402106367	0.2623115577889447	1.0	0.41560509554140124	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	spclue	spCLUE	100001	invalid_output	20.962040458107367	1182.9375	ValueError	Expected four nonempty clusters, found 3	0.12966666666666668	0.02162464714437553						
curved_layers_seed1_hard	curved_layers	hard	2.0	1	stlearn	stLearn	100001	success	7.618389165960252	2602.390625			0.12966666666666668	0.02162464714437553	0.0069404548285366295	0.01153112561177583	0.2625923438549362	1.0	0.4159574468085106	4.0
curved_layers_seed1_hard	curved_layers	hard	2.0	1	expression_pca_kmeans	Expression-only control	100001	success	0.5547760420013219	382.0			0.12966666666666668	0.02162464714437553	0.00405546748858379	0.013637075883749251	0.26347505858721126	1.0	0.41706412294647593	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	graphst	GraphST	100001	success	89.58960100007243	1195.390625			0.12966666666666668	0.02162464714437553	0.973405648718686	0.9484181186158955	1.0	0.9922879177377892	0.9961290322580645	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	stagate	STAGATE	100001	success	225.1285224170424	1252.109375			0.12966666666666668	0.02162464714437553	0.9730525192446765	0.9486913606422461	1.0	0.9948586118251928	0.9974226804123711	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	banksy	BANKSY	100001	success	15.805				0.12966666666666668	0.02162464714437553	0.3504470780094449	0.42645049661395246	0.4612676056338028	0.35732647814910024	0.4026980704373307	4.0
curved_layers_seed1_moderate	curved_layers	moderate	3.0	1	spagcn	SpaGCN	100001	success	5.281562292017043	866.703125			0.12966666666666668	0.02162464714437553	0.9975729603614566	0.9932950672010924	0.9873096446700508	1.0	0.9936143039591315	4.0
