Gene,C,Z,Pval,FDR
SOX17,0.036675964122479664,10.845217,1.0506858810354227e-27,2.0638472663195805e-27
CCL8,0.05891540828874951,10.758286,2.708399467596695e-27,5.27299011390507e-27
S100A14,0.059047364858502455,10.3564625,1.9558111404739053e-25,3.7743723763531505e-25
ESM1,0.027595351057658077,9.957113,1.1739044160524011e-23,2.2321177668488913e-23
CD86,0.04101677738025049,9.956421,1.1821055865173566e-23,2.2321177668488913e-23
ITGAM,0.051877551088094075,9.956003,1.1870808123696377e-23,2.2321177668488913e-23
KLF5,0.057754070868323355,9.903792,2.0039124981442682e-23,3.7361080473876187e-23
IGSF6,0.037517323463934854,9.593856,4.242663802958777e-22,7.84358013992379e-22
NARS,0.05219239593277621,9.520295,8.634395163726708e-22,1.5829724466832299e-21
TPD52,0.0517516096492624,9.48433,1.2197235725619307e-21,2.2176792228398736e-21
LPL,0.033863124322307765,9.295397,7.332906239874946e-21,1.3223273547315475e-20
RUNX1,0.04351165424265755,9.167983,2.409758785341166e-20,4.310137664837858e-20
SH3YL1,0.050297915602547254,8.963603,1.5711937262933274e-19,2.7876017724559035e-19
TRIB1,0.05007270515228645,8.793063,7.276829916576259e-19,1.2807220653174215e-18
GJB2,0.04313630512882017,8.727563,1.301095638943094e-18,2.2717542902181004e-18
ITGAX,0.033450474118598576,8.648489,2.6092891157083766e-18,4.520028389416085e-18
LYPD3,0.04917690795305232,8.493859,9.994314241681721e-18,1.7177727602890458e-17
EGFL7,0.037935604980686294,8.0251665,5.069416259020115e-16,8.64551610065446e-16
TOMM7,0.04442983831002892,7.97966,7.336844081596622e-16,1.2416197676548129e-15
RAB30,0.032763998513454226,7.743808,4.824141377218703e-15,8.101611473191715e-15
PCLAF,0.04412829249680191,7.7388363,5.016543492308417e-15,8.36090582051403e-15
HAVCR2,0.03502467499554377,7.6833925,7.746497421414741e-15,1.2813755133167242e-14
CCDC6,0.03931680051441441,7.1689386,3.779071117498459e-13,6.204445118281052e-13
