seed	basis	basis_label	GeneID	Gene	is_direct	direction	configured_strength	coefficient_row	coefficient_col	latent_strength	observed_strength	n_cells
0	linear	Linear	98	Gene_98	False	Diagonal	0.0	0.0	0.0	0.0	-0.011174513778578357	1604
0	linear	Linear	99	Gene_99	False	Anti-diagonal	0.0	0.0	-0.0	0.0	-0.016063324976158488	1604
0	linear	Linear	100	Gene_100	False	Horizontal	0.0	0.0	0.0	0.0	-0.010754507313945264	1604
0	linear	Linear	101	Gene_101	False	Vertical	0.0	0.0	0.0	0.0	0.014921618792945773	1604
0	linear	Linear	102	Gene_102	False	Diagonal	0.0	0.0	0.0	0.0	0.028589139875012493	1604
0	linear	Linear	103	Gene_103	False	Anti-diagonal	0.0	0.0	-0.0	0.0	0.034378221321184836	1604
0	linear	Linear	104	Gene_104	False	Horizontal	0.0	0.0	0.0	0.0	0.020996884805656132	1604
0	linear	Linear	105	Gene_105	False	Vertical	0.0	0.0	0.0	0.0	0.02160697451318009	1604
0	linear	Linear	106	Gene_106	False	Diagonal	0.0	0.0	0.0	0.0	0.016139323272667715	1604
0	linear	Linear	107	Gene_107	False	Anti-diagonal	0.0	0.0	-0.0	0.0	0.0598727650116957	1604
0	linear	Linear	108	Gene_108	False	Horizontal	0.0	0.0	0.0	0.0	-0.04451815811821784	1604
0	linear	Linear	109	Gene_109	False	Vertical	0.0	0.0	0.0	0.0	0.029357850216393564	1604
0	linear	Linear	110	Gene_110	False	Diagonal	0.0	0.0	0.0	0.0	-0.023595539638344196	1604
0	linear	Linear	111	Gene_111	False	Anti-diagonal	0.0	0.0	-0.0	0.0	-0.013105198789625279	1604
0	linear	Linear	112	Gene_112	False	Horizontal	0.0	0.0	0.0	0.0	0.03449207142221799	1604
0	linear	Linear	113	Gene_113	False	Vertical	0.0	0.0	0.0	0.0	-0.026078066843517506	1604
0	linear	Linear	114	Gene_114	False	Diagonal	0.0	0.0	0.0	0.0	-0.0474040713864211	1604
0	linear	Linear	115	Gene_115	False	Anti-diagonal	0.0	0.0	-0.0	0.0	-0.00824462014603986	1604
0	linear	Linear	116	Gene_116	False	Horizontal	0.0	0.0	0.0	0.0	0.03214727339415075	1604
0	linear	Linear	117	Gene_117	False	Vertical	0.0	0.0	0.0	0.0	-0.0072588496649735	1604
0	linear	Linear	118	Gene_118	False	Diagonal	0.0	0.0	0.0	0.0	0.07109611157901725	1604
0	linear	Linear	119	Gene_119	False	Anti-diagonal	0.0	0.0	-0.0	0.0	-0.03329824460938138	1604
0	radial	Radial	0	Gene_0	True	Not applicable	-1.0			-0.9999999999999998	-1.0427016368819058	1604
0	radial	Radial	1	Gene_1	True	Not applicable	-1.0			-0.9999999999999998	-0.9320578517597211	1604
0	radial	Radial	2	Gene_2	True	Not applicable	-1.0			-0.9999999999999998	-0.9989064645732119	1604
0	radial	Radial	3	Gene_3	True	Not applicable	-1.0			-0.9999999999999997	-0.9704017989694653	1604
0	radial	Radial	4	Gene_4	True	Not applicable	-1.0			-0.9999999999999998	-1.0648004970934177	1604
0	radial	Radial	5	Gene_5	True	Not applicable	-1.0			-0.9999999999999998	-0.9735957512670561	1604
