dataset	seed	cell_type_a	cell_type_b	centered_colocalization
Xenium_reference	reference	Macrophages_1	Invasive_Tumor	-0.006211934055118124
Xenium_reference	reference	Macrophages_1	Stromal	0.0007543553149606339
Xenium_reference	reference	Macrophages_1	Prolif_Invasive_Tumor	-0.0009126968503936996
Xenium_reference	reference	Macrophages_1	Endothelial	0.0006877706692913375
Xenium_reference	reference	Macrophages_1	Macrophages_1	0.0015406003937007895
Xenium_reference	reference	Macrophages_1	CD8+_T_Cells	0.0007650221456692914
Xenium_reference	reference	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.00010194389763779532
Xenium_reference	reference	CD8+_T_Cells	Invasive_Tumor	-0.003566732283464571
Xenium_reference	reference	CD8+_T_Cells	Stromal	0.000633255413385827
Xenium_reference	reference	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0004995693897637807
Xenium_reference	reference	CD8+_T_Cells	Endothelial	0.0005186515748031495
Xenium_reference	reference	CD8+_T_Cells	Macrophages_1	0.0007650221456692914
Xenium_reference	reference	CD8+_T_Cells	CD8+_T_Cells	0.0005714443897637795
Xenium_reference	reference	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.00012424950787401576
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.0006073203740157452
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	Stromal	-0.0003087967519685038
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.00010022145669291347
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	Endothelial	-6.873769685039415e-05
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.00010194389763779532
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.00012424950787401576
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	-3.080708661417329e-05
SimSpace	0	Invasive_Tumor	Invasive_Tumor	0.09415815349808537
SimSpace	0	Invasive_Tumor	Stromal	-0.04184912982944659
SimSpace	0	Invasive_Tumor	Prolif_Invasive_Tumor	0.010658597285067871
SimSpace	0	Invasive_Tumor	Endothelial	-0.01019631917855899
SimSpace	0	Invasive_Tumor	Macrophages_1	-0.006822102332057087
SimSpace	0	Invasive_Tumor	CD8+_T_Cells	-0.011104725026105119
SimSpace	0	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.001718995823181333
SimSpace	0	Stromal	Invasive_Tumor	-0.04184912982944659
SimSpace	0	Stromal	Stromal	0.027513478941872595
SimSpace	0	Stromal	Prolif_Invasive_Tumor	-0.005966463626870869
SimSpace	0	Stromal	Endothelial	-0.00413738252697529
SimSpace	0	Stromal	Macrophages_1	0.0024582405151409694
SimSpace	0	Stromal	CD8+_T_Cells	0.005213644274277761
SimSpace	0	Stromal	T_Cell_&_Tumor_Hybrid	0.0018868865297598314
SimSpace	0	Prolif_Invasive_Tumor	Invasive_Tumor	0.010658597285067871
SimSpace	0	Prolif_Invasive_Tumor	Stromal	-0.005966463626870869
SimSpace	0	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.007069552732335527
SimSpace	0	Prolif_Invasive_Tumor	Endothelial	-0.005013226592412115
SimSpace	0	Prolif_Invasive_Tumor	Macrophages_1	-0.002183780020884093
SimSpace	0	Prolif_Invasive_Tumor	CD8+_T_Cells	0.0006363470240167033
SimSpace	0	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0013521580229725028
SimSpace	0	Endothelial	Invasive_Tumor	-0.01019631917855899
SimSpace	0	Endothelial	Stromal	-0.00413738252697529
SimSpace	0	Endothelial	Prolif_Invasive_Tumor	-0.005013226592412115
SimSpace	0	Endothelial	Endothelial	0.012027445179255133
SimSpace	0	Endothelial	Macrophages_1	0.002365175774451793
SimSpace	0	Endothelial	CD8+_T_Cells	-0.0014341628959276041
SimSpace	0	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0011746432300730957
SimSpace	0	Macrophages_1	Invasive_Tumor	-0.006822102332057087
SimSpace	0	Macrophages_1	Stromal	0.0024582405151409694
SimSpace	0	Macrophages_1	Prolif_Invasive_Tumor	-0.002183780020884093
SimSpace	0	Macrophages_1	Endothelial	0.002365175774451793
SimSpace	0	Macrophages_1	Macrophages_1	0.000734597981204314
SimSpace	0	Macrophages_1	CD8+_T_Cells	3.3762617473031154e-06
SimSpace	0	Macrophages_1	T_Cell_&_Tumor_Hybrid	2.493908806125932e-05
SimSpace	0	CD8+_T_Cells	Invasive_Tumor	-0.011104725026105119
SimSpace	0	CD8+_T_Cells	Stromal	0.005213644274277761
SimSpace	0	CD8+_T_Cells	Prolif_Invasive_Tumor	0.0006363470240167033
SimSpace	0	CD8+_T_Cells	Endothelial	-0.0014341628959276041
SimSpace	0	CD8+_T_Cells	Macrophages_1	3.3762617473031154e-06
SimSpace	0	CD8+_T_Cells	CD8+_T_Cells	0.002731369648451098
SimSpace	0	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	5.6630699617124655e-05
SimSpace	0	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.001718995823181333
SimSpace	0	T_Cell_&_Tumor_Hybrid	Stromal	0.0018868865297598314
SimSpace	0	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0013521580229725028
SimSpace	0	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0011746432300730957
SimSpace	0	T_Cell_&_Tumor_Hybrid	Macrophages_1	2.493908806125932e-05
SimSpace	0	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	5.6630699617124655e-05
SimSpace	0	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0006396362687086689
SimSpace	1	Invasive_Tumor	Invasive_Tumor	0.113992677136596
SimSpace	1	Invasive_Tumor	Stromal	-0.06108749086924764
SimSpace	1	Invasive_Tumor	Prolif_Invasive_Tumor	0.014410281227173152
SimSpace	1	Invasive_Tumor	Endothelial	-0.0017262874360847447
SimSpace	1	Invasive_Tumor	Macrophages_1	-0.00836322132943755
SimSpace	1	Invasive_Tumor	CD8+_T_Cells	-0.01543506208911615
SimSpace	1	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.010249680423666911
SimSpace	1	Stromal	Invasive_Tumor	-0.06108749086924764
SimSpace	1	Stromal	Stromal	0.03638163805697587
SimSpace	1	Stromal	Prolif_Invasive_Tumor	-0.01057280861943025
SimSpace	1	Stromal	Endothelial	-0.0033672388604821003
SimSpace	1	Stromal	Macrophages_1	0.0053996439006574045
SimSpace	1	Stromal	CD8+_T_Cells	0.009095699415631852
SimSpace	1	Stromal	T_Cell_&_Tumor_Hybrid	0.006308701607012421
SimSpace	1	Prolif_Invasive_Tumor	Invasive_Tumor	0.014410281227173152
SimSpace	1	Prolif_Invasive_Tumor	Stromal	-0.01057280861943025
SimSpace	1	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.00708909788166545
SimSpace	1	Prolif_Invasive_Tumor	Endothelial	-0.0027591581446311185
SimSpace	1	Prolif_Invasive_Tumor	Macrophages_1	-0.0019937363038714383
SimSpace	1	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0015370617238860493
SimSpace	1	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.002940832724616511
SimSpace	1	Endothelial	Invasive_Tumor	-0.0017262874360847447
SimSpace	1	Endothelial	Stromal	-0.0033672388604821003
SimSpace	1	Endothelial	Prolif_Invasive_Tumor	-0.0027591581446311185
SimSpace	1	Endothelial	Endothelial	0.006157441563184808
SimSpace	1	Endothelial	Macrophages_1	0.0004715120525931348
SimSpace	1	Endothelial	CD8+_T_Cells	-0.0009106008035062087
SimSpace	1	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0002088020452885313
SimSpace	1	Macrophages_1	Invasive_Tumor	-0.00836322132943755
SimSpace	1	Macrophages_1	Stromal	0.0053996439006574045
SimSpace	1	Macrophages_1	Prolif_Invasive_Tumor	-0.0019937363038714383
SimSpace	1	Macrophages_1	Endothelial	0.0004715120525931348
SimSpace	1	Macrophages_1	Macrophages_1	0.0007892165814463114
SimSpace	1	Macrophages_1	CD8+_T_Cells	0.0011893809349890427
SimSpace	1	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.0007284149013878738
SimSpace	1	CD8+_T_Cells	Invasive_Tumor	-0.01543506208911615
SimSpace	1	CD8+_T_Cells	Stromal	0.009095699415631852
SimSpace	1	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0015370617238860493
SimSpace	1	CD8+_T_Cells	Endothelial	-0.0009106008035062087
SimSpace	1	CD8+_T_Cells	Macrophages_1	0.0011893809349890427
SimSpace	1	CD8+_T_Cells	CD8+_T_Cells	0.0028058710737764786
SimSpace	1	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0010477081811541282
SimSpace	1	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.010249680423666911
SimSpace	1	T_Cell_&_Tumor_Hybrid	Stromal	0.006308701607012421
SimSpace	1	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.002940832724616511
SimSpace	1	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0002088020452885313
SimSpace	1	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.0007284149013878738
SimSpace	1	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0010477081811541282
SimSpace	1	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0017165540540540532
SimSpace	2	Invasive_Tumor	Invasive_Tumor	0.10919334072305592
SimSpace	2	Invasive_Tumor	Stromal	-0.05407734481582535
SimSpace	2	Invasive_Tumor	Prolif_Invasive_Tumor	0.011255167121418823
SimSpace	2	Invasive_Tumor	Endothelial	-0.004202157230559347
SimSpace	2	Invasive_Tumor	Macrophages_1	-0.010649786834924964
SimSpace	2	Invasive_Tumor	CD8+_T_Cells	-0.01257679911323329
SimSpace	2	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.006194841405184174
SimSpace	2	Stromal	Invasive_Tumor	-0.05407734481582535
SimSpace	2	Stromal	Stromal	0.031034072305593456
SimSpace	2	Stromal	Prolif_Invasive_Tumor	-0.007741626875852656
SimSpace	2	Stromal	Endothelial	-0.0031771145975443404
SimSpace	2	Stromal	Macrophages_1	0.005303419167803544
SimSpace	2	Stromal	CD8+_T_Cells	0.006828487380627556
SimSpace	2	Stromal	T_Cell_&_Tumor_Hybrid	0.00416780354706685
SimSpace	2	Prolif_Invasive_Tumor	Invasive_Tumor	0.011255167121418823
SimSpace	2	Prolif_Invasive_Tumor	Stromal	-0.007741626875852656
SimSpace	2	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.00534037346521145
SimSpace	2	Prolif_Invasive_Tumor	Endothelial	-0.0019052012278308358
SimSpace	2	Prolif_Invasive_Tumor	Macrophages_1	-0.0016792206684856752
SimSpace	2	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0005263130968622097
SimSpace	2	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0018487721691678033
SimSpace	2	Endothelial	Invasive_Tumor	-0.004202157230559347
SimSpace	2	Endothelial	Stromal	-0.0031771145975443404
SimSpace	2	Endothelial	Prolif_Invasive_Tumor	-0.0019052012278308358
SimSpace	2	Endothelial	Endothelial	0.005799343451568895
SimSpace	2	Endothelial	Macrophages_1	0.0004652967257844471
SimSpace	2	Endothelial	CD8+_T_Cells	-0.000727711459754434
SimSpace	2	Endothelial	T_Cell_&_Tumor_Hybrid	-0.001122731923601638
SimSpace	2	Macrophages_1	Invasive_Tumor	-0.010649786834924964
SimSpace	2	Macrophages_1	Stromal	0.005303419167803544
SimSpace	2	Macrophages_1	Prolif_Invasive_Tumor	-0.0016792206684856752
SimSpace	2	Macrophages_1	Endothelial	0.0004652967257844471
SimSpace	2	Macrophages_1	Macrophages_1	0.0013436647339699877
SimSpace	2	Macrophages_1	CD8+_T_Cells	0.0009372271487039572
SimSpace	2	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.0006875170532060024
SimSpace	2	CD8+_T_Cells	Invasive_Tumor	-0.01257679911323329
SimSpace	2	CD8+_T_Cells	Stromal	0.006828487380627556
SimSpace	2	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0005263130968622097
SimSpace	2	CD8+_T_Cells	Endothelial	-0.000727711459754434
SimSpace	2	CD8+_T_Cells	Macrophages_1	0.0009372271487039572
SimSpace	2	CD8+_T_Cells	CD8+_T_Cells	0.0018459072305593437
SimSpace	2	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0007218110504774902
SimSpace	2	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.006194841405184174
SimSpace	2	T_Cell_&_Tumor_Hybrid	Stromal	0.00416780354706685
SimSpace	2	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0018487721691678033
SimSpace	2	T_Cell_&_Tumor_Hybrid	Endothelial	-0.001122731923601638
SimSpace	2	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.0006875170532060024
SimSpace	2	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0007218110504774902
SimSpace	2	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0010116643929058656
SimSpace	3	Invasive_Tumor	Invasive_Tumor	0.11404666050143866
SimSpace	3	Invasive_Tumor	Stromal	-0.06121517673653927
SimSpace	3	Invasive_Tumor	Prolif_Invasive_Tumor	0.01600013357994244
SimSpace	3	Invasive_Tumor	Endothelial	-0.0001460953555281544
SimSpace	3	Invasive_Tumor	Macrophages_1	-0.007607161939991778
SimSpace	3	Invasive_Tumor	CD8+_T_Cells	-0.015318742293464863
SimSpace	3	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.006539395807644885
SimSpace	3	Stromal	Invasive_Tumor	-0.06121517673653927
SimSpace	3	Stromal	Stromal	0.0381818228524455
SimSpace	3	Stromal	Prolif_Invasive_Tumor	-0.009250811755034942
SimSpace	3	Stromal	Endothelial	-0.008906545417180441
SimSpace	3	Stromal	Macrophages_1	0.003692581175503494
SimSpace	3	Stromal	CD8+_T_Cells	0.010994132757912042
SimSpace	3	Stromal	T_Cell_&_Tumor_Hybrid	0.0051968968351829
SimSpace	3	Prolif_Invasive_Tumor	Invasive_Tumor	0.01600013357994244
SimSpace	3	Prolif_Invasive_Tumor	Stromal	-0.009250811755034942
SimSpace	3	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.006062720920674069
SimSpace	3	Prolif_Invasive_Tumor	Endothelial	-0.0018174167694204684
SimSpace	3	Prolif_Invasive_Tumor	Macrophages_1	-0.0013590217838060012
SimSpace	3	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.0016896218660090432
SimSpace	3	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0017283600493218283
SimSpace	3	Endothelial	Invasive_Tumor	-0.0001460953555281544
SimSpace	3	Endothelial	Stromal	-0.008906545417180441
SimSpace	3	Endothelial	Prolif_Invasive_Tumor	-0.0018174167694204684
SimSpace	3	Endothelial	Endothelial	0.009659607480476775
SimSpace	3	Endothelial	Macrophages_1	-0.00023868680641183975
SimSpace	3	Endothelial	CD8+_T_Cells	-0.0026154130702836014
SimSpace	3	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0017362207151664622
SimSpace	3	Macrophages_1	Invasive_Tumor	-0.007607161939991778
SimSpace	3	Macrophages_1	Stromal	0.003692581175503494
SimSpace	3	Macrophages_1	Prolif_Invasive_Tumor	-0.0013590217838060012
SimSpace	3	Macrophages_1	Endothelial	-0.00023868680641183975
SimSpace	3	Macrophages_1	Macrophages_1	7.491779695848778e-05
SimSpace	3	Macrophages_1	CD8+_T_Cells	0.000548181257706535
SimSpace	3	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.000505209617755856
SimSpace	3	CD8+_T_Cells	Invasive_Tumor	-0.015318742293464863
SimSpace	3	CD8+_T_Cells	Stromal	0.010994132757912042
SimSpace	3	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.0016896218660090432
SimSpace	3	CD8+_T_Cells	Endothelial	-0.0026154130702836014
SimSpace	3	CD8+_T_Cells	Macrophages_1	0.000548181257706535
SimSpace	3	CD8+_T_Cells	CD8+_T_Cells	0.002727332511302915
SimSpace	3	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0014932490752157836
SimSpace	3	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.006539395807644885
SimSpace	3	T_Cell_&_Tumor_Hybrid	Stromal	0.0051968968351829
SimSpace	3	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0017283600493218283
SimSpace	3	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0017362207151664622
SimSpace	3	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.000505209617755856
SimSpace	3	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0014932490752157836
SimSpace	3	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.001839282778462804
SimSpace	4	Invasive_Tumor	Invasive_Tumor	0.1223949981124953
SimSpace	4	Invasive_Tumor	Stromal	-0.058974046810117045
SimSpace	4	Invasive_Tumor	Prolif_Invasive_Tumor	0.011493676859192156
SimSpace	4	Invasive_Tumor	Endothelial	-0.01212962438656097
SimSpace	4	Invasive_Tumor	Macrophages_1	-0.009254482823707054
SimSpace	4	Invasive_Tumor	CD8+_T_Cells	-0.015761636466591164
SimSpace	4	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0055918742921857445
SimSpace	4	Stromal	Invasive_Tumor	-0.058974046810117045
SimSpace	4	Stromal	Stromal	0.03867996413741035
SimSpace	4	Stromal	Prolif_Invasive_Tumor	-0.006908965647414119
SimSpace	4	Stromal	Endothelial	-0.007823480558701402
SimSpace	4	Stromal	Macrophages_1	0.004896300490751226
SimSpace	4	Stromal	CD8+_T_Cells	0.01064400717251793
SimSpace	4	Stromal	T_Cell_&_Tumor_Hybrid	0.0048397791619478985
SimSpace	4	Prolif_Invasive_Tumor	Invasive_Tumor	0.011493676859192156
SimSpace	4	Prolif_Invasive_Tumor	Stromal	-0.006908965647414119
SimSpace	4	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.007814448848622119
SimSpace	4	Prolif_Invasive_Tumor	Endothelial	-0.0047171479803699515
SimSpace	4	Prolif_Invasive_Tumor	Macrophages_1	-0.001674112872782183
SimSpace	4	Prolif_Invasive_Tumor	CD8+_T_Cells	-0.000924905624764061
SimSpace	4	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0019363155907889786
SimSpace	4	Endothelial	Invasive_Tumor	-0.01212962438656097
SimSpace	4	Endothelial	Stromal	-0.007823480558701402
SimSpace	4	Endothelial	Prolif_Invasive_Tumor	-0.0047171479803699515
SimSpace	4	Endothelial	Endothelial	0.023492298980747443
SimSpace	4	Endothelial	Macrophages_1	0.001769535673839185
SimSpace	4	Endothelial	CD8+_T_Cells	-0.00281721404303511
SimSpace	4	Endothelial	T_Cell_&_Tumor_Hybrid	-0.0028023971309928276
SimSpace	4	Macrophages_1	Invasive_Tumor	-0.009254482823707054
SimSpace	4	Macrophages_1	Stromal	0.004896300490751226
SimSpace	4	Macrophages_1	Prolif_Invasive_Tumor	-0.001674112872782183
SimSpace	4	Macrophages_1	Endothelial	0.001769535673839185
SimSpace	4	Macrophages_1	Macrophages_1	0.0010019630049075108
SimSpace	4	Macrophages_1	CD8+_T_Cells	0.001058540958852397
SimSpace	4	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.00021399584748961866
SimSpace	4	CD8+_T_Cells	Invasive_Tumor	-0.015761636466591164
SimSpace	4	CD8+_T_Cells	Stromal	0.01064400717251793
SimSpace	4	CD8+_T_Cells	Prolif_Invasive_Tumor	-0.000924905624764061
SimSpace	4	CD8+_T_Cells	Endothelial	-0.00281721404303511
SimSpace	4	CD8+_T_Cells	Macrophages_1	0.001058540958852397
SimSpace	4	CD8+_T_Cells	CD8+_T_Cells	0.0038335032087580215
SimSpace	4	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.0011332861457153645
SimSpace	4	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.0055918742921857445
SimSpace	4	T_Cell_&_Tumor_Hybrid	Stromal	0.0048397791619478985
SimSpace	4	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0019363155907889786
SimSpace	4	T_Cell_&_Tumor_Hybrid	Endothelial	-0.0028023971309928276
SimSpace	4	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.00021399584748961866
SimSpace	4	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.0011332861457153645
SimSpace	4	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0015509626274065724
SimSpace	5	Invasive_Tumor	Invasive_Tumor	0.10986595000000018
SimSpace	5	Invasive_Tumor	Stromal	-0.06044746000000003
SimSpace	5	Invasive_Tumor	Prolif_Invasive_Tumor	0.016537480000000014
SimSpace	5	Invasive_Tumor	Endothelial	-0.0021285699999999998
SimSpace	5	Invasive_Tumor	Macrophages_1	-0.006208140000000004
SimSpace	5	Invasive_Tumor	CD8+_T_Cells	-0.01450013
SimSpace	5	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.00830184
SimSpace	5	Stromal	Invasive_Tumor	-0.06044746000000003
SimSpace	5	Stromal	Stromal	0.04627773999999999
SimSpace	5	Stromal	Prolif_Invasive_Tumor	-0.015797300000000018
SimSpace	5	Stromal	Endothelial	-0.005176199999999999
SimSpace	5	Stromal	Macrophages_1	0.003810450000000001
SimSpace	5	Stromal	CD8+_T_Cells	0.0071708399999999995
SimSpace	5	Stromal	T_Cell_&_Tumor_Hybrid	0.006727010000000004
SimSpace	5	Prolif_Invasive_Tumor	Invasive_Tumor	0.016537480000000014
SimSpace	5	Prolif_Invasive_Tumor	Stromal	-0.015797300000000018
SimSpace	5	Prolif_Invasive_Tumor	Prolif_Invasive_Tumor	0.011103710000000006
SimSpace	5	Prolif_Invasive_Tumor	Endothelial	-0.0037839500000000008
SimSpace	5	Prolif_Invasive_Tumor	Macrophages_1	-0.0026855000000000017
SimSpace	5	Prolif_Invasive_Tumor	CD8+_T_Cells	-9.794999999999943e-05
SimSpace	5	Prolif_Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.0034825600000000004
SimSpace	5	Endothelial	Invasive_Tumor	-0.0021285699999999998
SimSpace	5	Endothelial	Stromal	-0.005176199999999999
SimSpace	5	Endothelial	Prolif_Invasive_Tumor	-0.0037839500000000008
SimSpace	5	Endothelial	Endothelial	0.010584310000000003
SimSpace	5	Endothelial	Macrophages_1	0.0008870399999999995
SimSpace	5	Endothelial	CD8+_T_Cells	-0.0019974000000000016
SimSpace	5	Endothelial	T_Cell_&_Tumor_Hybrid	-0.001058660000000001
SimSpace	5	Macrophages_1	Invasive_Tumor	-0.006208140000000004
SimSpace	5	Macrophages_1	Stromal	0.003810450000000001
SimSpace	5	Macrophages_1	Prolif_Invasive_Tumor	-0.0026855000000000017
SimSpace	5	Macrophages_1	Endothelial	0.0008870399999999995
SimSpace	5	Macrophages_1	Macrophages_1	0.00043011000000000134
SimSpace	5	Macrophages_1	CD8+_T_Cells	7.931999999999991e-05
SimSpace	5	Macrophages_1	T_Cell_&_Tumor_Hybrid	0.0009899099999999997
SimSpace	5	CD8+_T_Cells	Invasive_Tumor	-0.01450013
SimSpace	5	CD8+_T_Cells	Stromal	0.0071708399999999995
SimSpace	5	CD8+_T_Cells	Prolif_Invasive_Tumor	-9.794999999999943e-05
SimSpace	5	CD8+_T_Cells	Endothelial	-0.0019974000000000016
SimSpace	5	CD8+_T_Cells	Macrophages_1	7.931999999999991e-05
SimSpace	5	CD8+_T_Cells	CD8+_T_Cells	0.003747419999999996
SimSpace	5	CD8+_T_Cells	T_Cell_&_Tumor_Hybrid	0.00044603000000000177
SimSpace	5	T_Cell_&_Tumor_Hybrid	Invasive_Tumor	-0.00830184
SimSpace	5	T_Cell_&_Tumor_Hybrid	Stromal	0.006727010000000004
SimSpace	5	T_Cell_&_Tumor_Hybrid	Prolif_Invasive_Tumor	-0.0034825600000000004
SimSpace	5	T_Cell_&_Tumor_Hybrid	Endothelial	-0.001058660000000001
SimSpace	5	T_Cell_&_Tumor_Hybrid	Macrophages_1	0.0009899099999999997
SimSpace	5	T_Cell_&_Tumor_Hybrid	CD8+_T_Cells	0.00044603000000000177
SimSpace	5	T_Cell_&_Tumor_Hybrid	T_Cell_&_Tumor_Hybrid	0.0013818700000000012
SimSpace	6	Invasive_Tumor	Invasive_Tumor	0.1209450092081033
SimSpace	6	Invasive_Tumor	Stromal	-0.06078000920810313
SimSpace	6	Invasive_Tumor	Prolif_Invasive_Tumor	0.01381055248618785
SimSpace	6	Invasive_Tumor	Endothelial	-0.0031230386740331486
SimSpace	6	Invasive_Tumor	Macrophages_1	-0.011364355432780842
SimSpace	6	Invasive_Tumor	CD8+_T_Cells	-0.014137467771639043
SimSpace	6	Invasive_Tumor	T_Cell_&_Tumor_Hybrid	-0.004787173112338863
SimSpace	6	Stromal	Invasive_Tumor	-0.06078000920810313
SimSpace	6	Stromal	Stromal	0.0337918784530387
SimSpace	6	Stromal	Prolif_Invasive_Tumor	-0.010085764272559857
