dataset	seed	normalized_radius	centered_l
SimSpace	1	0.08333333333333333	0.0009624660827472209
SimSpace	1	0.09375	0.0006350678148570738
SimSpace	1	0.10416666666666666	6.98695961648399e-06
SimSpace	1	0.11458333333333333	-0.0007164702078892582
SimSpace	1	0.125	-0.0014774179666770526
SimSpace	1	0.13541666666666666	-0.0023142834062851447
SimSpace	1	0.14583333333333331	-0.003236786914309675
SimSpace	1	0.15625	-0.004332298529043127
SimSpace	1	0.16666666666666666	-0.0055083070251825406
SimSpace	1	0.17708333333333331	-0.006837765656933781
SimSpace	1	0.1875	-0.008160616643234614
SimSpace	1	0.19791666666666666	-0.009642888371725167
SimSpace	1	0.20833333333333331	-0.011155589271471394
SimSpace	1	0.21875	-0.01280199433359916
SimSpace	1	0.22916666666666666	-0.014468549037270073
SimSpace	1	0.23958333333333331	-0.01624282504176147
SimSpace	1	0.25	-0.01809592633612367
SimSpace	2	0.0	0.0
SimSpace	2	0.010416666666666666	-0.0014927726993155307
SimSpace	2	0.020833333333333332	-6.930266744804847e-05
SimSpace	2	0.03125	0.00041030660191573864
SimSpace	2	0.041666666666666664	0.0005206465597782511
SimSpace	2	0.05208333333333333	0.0005269982784520261
SimSpace	2	0.0625	0.00030432972124748436
SimSpace	2	0.07291666666666666	-3.592632797644324e-05
SimSpace	2	0.08333333333333333	-0.0005250899512473789
SimSpace	2	0.09375	-0.0010305449331055316
SimSpace	2	0.10416666666666666	-0.001703618074789942
SimSpace	2	0.11458333333333333	-0.0025458701195186784
SimSpace	2	0.125	-0.0034889417058533156
SimSpace	2	0.13541666666666666	-0.004474729434913394
SimSpace	2	0.14583333333333331	-0.005540289112133889
SimSpace	2	0.15625	-0.006770733865623962
SimSpace	2	0.16666666666666666	-0.008061246796007726
SimSpace	2	0.17708333333333331	-0.00935409253682809
SimSpace	2	0.1875	-0.010687241972280548
SimSpace	2	0.19791666666666666	-0.01219832820775385
SimSpace	2	0.20833333333333331	-0.01369251223733603
SimSpace	2	0.21875	-0.015360962771406611
SimSpace	2	0.22916666666666666	-0.017042016999058524
SimSpace	2	0.23958333333333331	-0.018825939047939222
SimSpace	2	0.25	-0.020720979932062483
SimSpace	3	0.0	0.0
SimSpace	3	0.010416666666666666	-0.0012734769528962714
SimSpace	3	0.020833333333333332	4.9913491868489035e-06
SimSpace	3	0.03125	0.0007776294726011615
SimSpace	3	0.041666666666666664	0.0010288601980973089
SimSpace	3	0.05208333333333333	0.0009752793371046939
SimSpace	3	0.0625	0.0007226180233081969
SimSpace	3	0.07291666666666666	0.00039414189824860113
SimSpace	3	0.08333333333333333	-0.00011179813345105205
SimSpace	3	0.09375	-0.000755809231841098
SimSpace	3	0.10416666666666666	-0.0015372374918418003
SimSpace	3	0.11458333333333333	-0.0024988683214539342
SimSpace	3	0.125	-0.003520183772901711
SimSpace	3	0.13541666666666666	-0.004718325227542758
SimSpace	3	0.14583333333333331	-0.005930967706260448
SimSpace	3	0.15625	-0.007234464694699572
SimSpace	3	0.16666666666666666	-0.008646458667206869
SimSpace	3	0.17708333333333331	-0.010039216332730944
SimSpace	3	0.1875	-0.01153488390516974
SimSpace	3	0.19791666666666666	-0.013147669682223806
SimSpace	3	0.20833333333333331	-0.014762901214567303
SimSpace	3	0.21875	-0.016422530277267394
SimSpace	3	0.22916666666666666	-0.018090699364204738
SimSpace	3	0.23958333333333331	-0.019966667386629555
SimSpace	3	0.25	-0.021758228434792276
SimSpace	4	0.0	0.0
SimSpace	4	0.010416666666666666	-0.0015563724032663356
SimSpace	4	0.020833333333333332	0.00016422745318043705
SimSpace	4	0.03125	0.000856356533792603
SimSpace	4	0.041666666666666664	0.0009186194299640391
SimSpace	4	0.05208333333333333	0.0009964240754811657
SimSpace	4	0.0625	0.0008912310331888329
SimSpace	4	0.07291666666666666	0.0006053543174289189
SimSpace	4	0.08333333333333333	1.639320402838096e-05
SimSpace	4	0.09375	-0.0005308910133390993
SimSpace	4	0.10416666666666666	-0.0013331378942755129
SimSpace	4	0.11458333333333333	-0.0022347115979920035
