gene	reference_detection_fraction	simulated_detection_fraction	moran_i_reference	moran_i_simulated	geary_c_reference	geary_c_simulated
DAPK3	0.12007874015748031	0.11312217194570136	-0.0010572928882032532	0.006427584500062317	0.9883660133210668	0.992798363707745
DMKN	0.1815944881889764	0.17507831534980856	0.03483744408921954	0.03783518720253389	0.954210027434654	0.981492611125438
DNTTIP1	0.27608267716535434	0.25374173337974243	0.008564634197556946	-0.0027081513573925676	0.983646595183331	1.002197439949473
DPT	0.07135826771653543	0.06613296206056388	0.0679513611265302	0.08685679186846824	0.9024586589190562	0.8807531813610261
DSC2	0.296259842519685	0.26940480334145495	0.04006134985255593	0.025712005579497755	0.9557686361116049	0.9794425927247709
DSP	0.6820866141732284	0.6494953010790114	0.15873410072884706	0.16336110937727646	0.8356661978990421	0.8341444102566438
DST	0.7854330708661418	0.7351200835363731	0.08117129084687909	0.056453029123538785	0.9145033359154442	0.941232722640476
DUSP2	0.0688976377952756	0.06265227984684998	0.015311921055335841	-0.004380984169090222	0.9792559485926948	1.0075826124212188
DUSP5	0.2637795275590551	0.2575704838148277	0.010898211029834166	-0.006133075968439786	0.9824117671514253	1.0073893398119442
EDNRB	0.07627952755905512	0.07309432648799165	0.07642421253999433	0.04913765461936128	0.9088377539930375	0.9127428231499515
EGFL7	0.06594488188976377	0.07030978071702054	0.04178294448150411	0.06109766254271679	0.947676497710659	0.9081782862595006
EGFR	0.13631889763779528	0.11695092238078664	0.044893312890131265	0.044394916655117425	0.9349314354061641	0.9325310020305132
EIF4EBP1	0.2947834645669291	0.29342151061608074	0.04280403371931597	0.01793039321300216	0.9456809406681522	0.9832824756455011
ELF3	0.5575787401574803	0.5036547163243996	0.14550910104657902	0.1238605242865839	0.8514290384768047	0.8814152890467514
ENAH	0.8410433070866141	0.8179603202227637	0.11839248118532325	0.05926127799451737	0.8799449847356843	0.9355812592261715
EPCAM	0.8868110236220472	0.8614688478941872	0.31920047864433715	0.2781455368780257	0.6667000647264709	0.7073631830389306
ERN1	0.265748031496063	0.2826313957535677	0.02960209117448642	0.02442817010703506	0.9627532387133315	0.9654135681995202
ESR1	0.08513779527559055	0.08423250957187609	-0.00031896360911549336	-0.008511391077537022	1.00572105128398	1.0120750307696675
FAM107B	0.4611220472440945	0.46745562130177515	0.03322160817882158	-0.011179742874814855	0.9571198829519223	1.0083923075792367
