genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
AVPR1A,0.000356158418497648,1.38322282742171,0.00062683881655586,10.9829758884182,5.54693205339011,265
AIF1,8.41253562181491e-05,1.14549948653134,0.000158184430495665,10.7484536865692,5.63889234200672,974
CD83,0.000367785990468236,1.25920469280002,0.000642166015103269,9.95780246735363,5.34283288127406,407
FCGR3A,0.000273865520827249,1.19810906752051,0.000489840768959307,9.82793696666596,5.45545764055129,567
HOOK2,0.000230993189986214,1.16749574904794,0.000416545096696451,9.77558472473102,4.76397250681791,716
TMEM147,0.000219253177090555,1.13262624613191,0.00040196415799935,9.54269715082287,6.26105887531571,1013
TUBA4A,0.00022200835113753,1.13292911503688,0.000403651547522781,9.53110102771536,5.95503597069173,1010
RAPGEF3,0.00059475448175039,1.25307974888025,0.00102223426550848,9.30707675102478,4.89099934093232,400
S100A14,0.000282538527175835,1.13101536936882,0.000501278032086159,9.24231335958262,6.36627540029698,1008
RAB30,0.000878866780392547,1.22009401436765,0.00146477796732091,8.58565178805066,5.0367993069858,446
HOXD8,0.000633142101113185,1.1224282210072,0.00107977722670466,8.26647695353596,5.2108289329027,1009
C1QA,0.00105714046500622,1.19686687451014,0.00173560374851768,8.2011564648793,5.46001065754038,498
KLF5,0.000678744773321992,1.12200098201121,0.00114864500100645,8.18529492846205,5.63850409384317,1008
USP53,0.000825330418210425,1.1199930701732,0.00138605108401751,7.95164475439943,5.92017043907217,1009
CCPG1,0.00102274863677396,1.1175628306315,0.00169176466233286,7.69471236964024,5.56587240241114,1009
C6orf132,0.00180526992342365,1.16482949231165,0.00294192135669039,7.35828050233976,4.8030011302521,584
SLAMF7,0.00385926520659647,1.29332627946308,0.00610818953562031,7.18737429350985,5.80034909770157,278
AKR1C1,0.00554152289115204,1.3656568378029,0.0085854580003764,7.09525088041224,4.98915497989972,204
SVIL,0.00217628370839045,1.10877739584344,0.00352045894004338,6.79695687089006,5.67161804710676,1009
ITM2C,0.00233616529141695,1.1087692915162,0.00375150630738489,6.71830418505001,5.63309325654143,1009
BASP1,0.00242214284153478,1.10819373537661,0.00386138713867864,6.67476463412738,6.19897250161645,1011
ENAH,0.00390928653644708,1.10234475421949,0.00614316455727399,6.11184068866123,6.88102557918754,1007
LRRC15,0.00932426164226727,1.28920001240086,0.0137673661832134,6.0271847407611,5.17807979899608,256
FAM49A,0.00867520189078685,1.25139412471031,0.0130722220272131,5.94072666055203,5.06901004405271,294
CD86,0.00890365379076115,1.2171851556288,0.0133251961494385,5.74668842223999,5.34063215678991,350
LPL,0.00968376149213973,1.23135599416465,0.0142028501884716,5.71017314754956,5.49218181374591,308
JUP,0.00592884446843107,1.09774117288569,0.00912129918220164,5.62913544347061,5.40061067197734,1011
ERN1,0.00602675566550534,1.1003165352299,0.00920754337785537,5.62431907434693,5.2325515985411,954
CEACAM6,0.00851869972087095,1.13604115118813,0.0129249237144249,5.41379452314935,5.02296196706039,599
RORC,0.0164122044369663,1.25243380873543,0.0235992482100169,5.14716485679795,4.69154838532988,262
NARS,0.0090876027497046,1.09194338578223,0.0135085986819933,5.13305565477771,7.07056033481562,1012
SNAI1,0.0228362134251745,1.33331676561656,0.0319997895129834,5.03914764374691,5.21267834454869,185
TOMM7,0.012178938643043,1.08918961058805,0.0177441490163541,4.80119916945863,7.53678620887613,1010
MDM2,0.0151842018824962,1.08550436118236,0.0219771343036129,4.54554923180948,7.31008086161136,1010
DUSP5,0.0168818953954025,1.09035429719502,0.0239041227540444,4.45029579431785,5.15447888794218,914
SRPK1,0.016950196134686,1.0849582525637,0.0239041227540444,4.42389109896807,5.82908117836688,1008
TRAPPC3,0.016950196134686,1.0849582525637,0.0239041227540444,4.42389109896807,5.69563668885028,1008
MMP1,0.060025981256498,1.47577778060696,0.0776806816260563,4.15133011915127,5.48880424781871,108
CYTIP,0.0276737182629324,1.12749673954025,0.0378150187443796,4.04463761390731,5.79292952077192,512
SMAP2,0.0240858459355527,1.08019174044057,0.0335372538343138,4.02493583990697,5.11319802316094,999
FAM107B,0.026164993436436,1.07830243173149,0.0362031355724271,3.92861471490597,5.91401873762723,1008
EIF4EBP1,0.0274554712285235,1.08228321720143,0.0377512729392198,3.89101359913571,4.92596653186484,920
LGALSL,0.0317948502174502,1.1124817979875,0.042651628340482,3.83633890774066,4.91300746832372,576
SEC11C,0.0284281763305279,1.07695975923794,0.0386061653871367,3.83438006574997,6.06265050897607,1010
TFAP2A,0.0310162014753138,1.07634209309865,0.0418623578194419,3.73840042041896,5.62720369571936,1009
HPX,0.0039958107138296,0.640986576057777,0.00623459827689725,3.53985399941607,4.67679962327124,187
SELL,0.065772744673491,1.25783700157019,0.0836416406252486,3.4232659660323,5.45528274885316,194
TRAF4,0.0411807967125953,1.07178478374726,0.0545769594986203,3.41876112989511,5.89453770590336,1009
CD69,0.0612800177148477,1.15375285774776,0.0788397888729034,3.22162579432485,5.80806796556396,332
PPARG,0.0496113153095719,1.07103862691787,0.0653562237611127,3.21690343752136,5.31998483137609,959
DMKN,0.0599509213465097,1.116556496309,0.0776806816260563,3.14224570448089,4.77062575710682,468
LAG3,0.076236984313048,1.21437326217171,0.0958407802792604,3.12568575348176,5.11050363218444,228
ANKRD29,0.0818034601266512,1.24224985087965,0.102188539216599,3.10989267026849,5.00189723293775,190
MZB1,0.0699963415537108,1.13422373349719,0.0885011215046918,3.01625512750186,5.26261556290267,383
CXCL16,0.0623012157304447,1.0686168681228,0.0796876015156851,2.96623928102154,5.05375703419199,936
POLR2J3,0.0822153247333544,1.06093013042206,0.102188539216599,2.65064222619904,7.67815470084702,1010
CDC42EP1,0.0986584017598279,1.13650268395874,0.121256136241129,2.63224464107729,4.87301494493626,332
SERPINB9,0.0853065651713199,1.06018899255985,0.105435080548822,2.60965929940281,5.22053053483778,1009
KRT15,0.032979734666521,0.761589818749298,0.0439729795553614,2.59843936763626,4.80852999243781,222
ANKRD28,0.102356103583664,1.05951632207251,0.125101904380034,2.41495272846807,4.93640971539503,933
DUSP2,0.058922108560364,0.817197834722719,0.0771599040671433,2.31392745898746,5.12611843609301,259
PIM1,0.161553835948187,1.07610879777391,0.192118075181628,1.96165685165625,5.16689759066598,547
KARS,0.159982672297836,1.04856602697562,0.191283629921325,1.92169622845006,5.27470665984123,1010
PDE4A,0.171000827240702,1.08321677913643,0.201177443812591,1.91305494705659,4.98796461174161,470
FLNB,0.164809464825713,1.04817146300964,0.19493592613794,1.88981670389197,6.34596164656193,1005
SQLE,0.146858841905086,0.951267048295272,0.177521677028126,1.82479979978973,5.79749092101262,1006
TENT5C,0.211544808839611,1.04333429025053,0.246242634628119,1.62063039297514,6.48427574324214,1010
ESR1,0.152916244419087,0.848692665901169,0.183833736460104,1.59373019328532,4.89213138783242,247
APOBEC3B,0.259054034351555,1.11296537661358,0.29683274769449,1.50330304892856,5.03220722520672,267
DAPK3,0.193967713906986,0.911562306416151,0.226983494997537,1.49502011862286,4.8430319611237,396
QARS,0.220599967356563,0.958583502310233,0.255431541149705,1.44880724660512,6.09273616825409,1014
VOPP1,0.266961793313112,1.0389601383838,0.304308779942408,1.37210242314819,6.17632450791251,1009
TIFA,0.233066889954206,0.93818701906478,0.268454009371336,1.36640351871763,4.94044644974571,564
CCL8,0.139745213201049,0.660062282865443,0.169856060244369,1.29895928587387,5.3877384040401,112
ADAM9,0.285013054735501,0.963682862128407,0.323210680627888,1.20963428520853,6.55484249701913,1009
