genes,observed,p.value
AKR1C1,0.0125549868317861,0.00585365853658537
CLDN4,0.0112669638995793,0.00585365853658537
HOOK2,0.0114438972013593,0.00878048780487805
SVIL,0.0101830447012752,0.0107317073170732
TUBA4A,0.0108308350081852,0.0126829268292683
MEDAG,0.00880645965269016,0.0253658536585366
SNAI1,0.00802940488314041,0.0390243902439024
CDC42EP1,0.00824209151680937,0.0409756097560976
SLAMF1,0.00741603956447229,0.0507317073170732
ESR1,-0.00767916105420223,0.0517073170731707
DAPK3,-0.00687606738933097,0.0595121951219512
SMS,0.00792026710392478,0.0624390243902439
DST,0.00762905929865294,0.0663414634146342
C1QA,0.00687474058913215,0.0819512195121951
MKI67,0.00695372729061585,0.0878048780487805
FSTL3,-0.00627503799617938,0.102439024390244
TMEM147,0.00614538026494061,0.121951219512195
PDE4A,0.00576751352018718,0.127804878048781
CD83,0.00585901317204741,0.128780487804878
C6orf132,0.00622150578138587,0.135609756097561
ENAH,0.00543475109252524,0.164878048780488
KRT15,0.00548272053212013,0.175609756097561
OCIAD2,0.00525822223391894,0.175609756097561
DNTTIP1,0.00551479464605987,0.193170731707317
ZNF562,0.00556858834500027,0.202926829268293
SRPK1,-0.00496933226864641,0.235121951219512
CXCL16,-0.00445357486507914,0.248780487804878
TIFA,0.00484442327097907,0.254634146341463
OXTR,-0.00433035172181124,0.254634146341463
TOMM7,-0.00401499587552321,0.274146341463415
VOPP1,-0.00399526549285341,0.308292682926829
TRIB1,-0.00348079355097512,0.311219512195122
DUSP2,0.00364772111365466,0.31219512195122
SERPINA3,0.00412627658457736,0.314146341463415
ANKRD28,0.00372063837055139,0.327804878048781
PELI1,0.00378542166360978,0.331707317073171
TUBB2B,0.00369724731915797,0.339512195121951
WARS,0.0037273017665923,0.348292682926829
HDC,-0.00365186046829452,0.35609756097561
SLC25A37,0.00331378202922448,0.369756097560976
NPM3,-0.00346572223550491,0.370731707317073
KARS,0.00306309996217004,0.417560975609756
SQLE,0.00287185597820969,0.477073170731707
LARS,0.0027453491694244,0.496585365853659
APOBEC3B,0.00287011001189088,0.51609756097561
ADAM9,0.00283420481804891,0.518048780487805
ACTG2,-0.00234310662686573,0.518048780487805
EIF4EBP1,-0.00258043434034613,0.526829268292683
RHOH,-0.00249659939853878,0.529756097560976
SEC24A,0.00235315024888466,0.543414634146342
JUP,0.00240923227500999,0.546341463414634
DUSP5,0.00256466616914345,0.553170731707317
THAP2,0.00202690461372767,0.601951219512195
SDC4,0.00209302492236984,0.611707317073171
TRAPPC3,-0.00154179031863281,0.671219512195122
LGALSL,0.00168233961250459,0.67609756097561
PTRHD1,0.00143631095407091,0.694634146341463
TYROBP,-0.00143869379552116,0.697560975609756
RORC,0.00130803478086845,0.72780487804878
QARS,-0.000898748011357725,0.784390243902439
CCL8,-0.00077603719831921,0.837073170731707
HPX,-0.00074191179991777,0.847804878048781
C2orf42,0.000440490300256476,0.894634146341464
CEACAM6,-0.000365900324375999,0.915121951219512
LAG3,0.000397820114969034,0.921951219512195
DSC2,0.000204294170434605,0.95609756097561
STC1,0.00014660416923884,0.972682926829268
