genes,observed,p.value
THAP2,-0.00990096716640437,0.0321951219512195
TUBB2B,0.00924501526242248,0.0390243902439024
SLAMF7,0.00996791838088099,0.0429268292682927
DUSP5,0.00896393949189556,0.0439024390243902
KDR,0.00864686416382103,0.0439024390243902
HOXD9,0.00907790372228712,0.0448780487804878
SH3YL1,0.0100960746223705,0.0497560975609756
CD8A,0.0100019884142987,0.0517073170731707
SLC25A37,0.00905596989550194,0.0585365853658537
GPR183,0.00893353289268294,0.0653658536585366
OXTR,0.00792027105911454,0.0682926829268293
DST,0.00844488687199563,0.0897560975609756
CXCL16,0.00783830922469151,0.0936585365853658
STC1,0.00751969094330431,0.0995121951219512
CDC42EP1,0.00756937228367586,0.101463414634146
LPXN,0.0077990342625203,0.102439024390244
DSC2,0.00813071162827349,0.104390243902439
CXCR4,0.00718125859252656,0.121951219512195
RHOH,0.00677094626290278,0.128780487804878
APOC1,0.00808112721338146,0.132682926829268
SVIL,0.00741366053735025,0.154146341463415
C6orf132,-0.0072761785601483,0.16
TCIM,0.00662937415627448,0.16
ANKRD28,0.00689447134506188,0.166829268292683
HOXD8,-0.00638063051935153,0.168780487804878
ZNF562,0.0063205051486108,0.174634146341463
PTRHD1,-0.0063517139383759,0.176585365853659
RAB30,0.00634630096180664,0.201951219512195
SERPINA3,0.00607353740482656,0.216585365853659
FAM49A,0.00614389625480308,0.235121951219512
CCPG1,0.00555534265269568,0.240975609756098
NPM3,-0.0052642281674381,0.256585365853659
PIM1,0.00507275545123693,0.282926829268293
VOPP1,0.00504088807267546,0.287804878048781
S100A4,0.0046580952934554,0.296585365853659
TFAP2A,0.00476418832321858,0.297560975609756
ADAM9,-0.00481195118753483,0.315121951219512
TUBA4A,0.00433185783692995,0.347317073170732
HDC,-0.00456061030775703,0.357073170731707
PRDM1,0.00400274654064913,0.376585365853659
RAPGEF3,0.00397651102003163,0.379512195121951
SRPK1,-0.00406756995885324,0.39219512195122
TMEM147,-0.00381748574644267,0.398048780487805
JUP,0.00402000668048302,0.405853658536585
DUSP2,-0.00380785233922834,0.411707317073171
SMAP2,-0.00367733850753172,0.419512195121951
SQLE,0.00401349933110978,0.423414634146342
FSTL3,-0.00379635072881853,0.425365853658537
PTPRC,0.00385955352983714,0.430243902439024
TRIB1,0.00380468494151919,0.438048780487805
ENAH,-0.00369327196545592,0.441951219512195
ACTG2,-0.00380502183577563,0.44390243902439
APOBEC3B,-0.00351199065734113,0.460487804878049
NARS,-0.00364891893042939,0.468292682926829
TYROBP,0.00326505839584733,0.475121951219512
DMKN,0.00369746747465783,0.481951219512195
MNDA,0.00366657468612969,0.48390243902439
TRAC,-0.00323401550420489,0.492682926829268
DAPK3,-0.0028525136572447,0.535609756097561
EIF4EBP1,0.0032556730221873,0.539512195121951
ERN1,-0.00282167215717328,0.56390243902439
C2orf42,-0.00253666967119014,0.578536585365854
KRT15,0.00263599641894041,0.583414634146341
SLAMF1,0.00239306456121461,0.584390243902439
GZMA,-0.00250750920313589,0.595121951219512
ANGPT2,-0.00227986513702383,0.600975609756098
QARS,0.00238440747422425,0.605853658536585
HPX,0.00199088659828951,0.642926829268293
WARS,-0.00219571974336004,0.648780487804878
CLDN4,0.00226824199671491,0.656585365853659
ANKRD29,0.00199889424296514,0.658536585365854
CD3G,0.00182173779057411,0.667317073170732
POLR2J3,0.00196528354532156,0.668292682926829
MAP3K8,-0.00205389391281723,0.685853658536585
SEC11C,0.00188431738175326,0.696585365853658
RORC,0.00187890388579082,0.702439024390244
KLRB1,-0.00161531571963542,0.717073170731707
LGALSL,0.00165246545030991,0.718048780487805
SERPINB9,-0.00153228779137958,0.764878048780488
CD3D,-0.00130836358806904,0.768780487804878
HMGA1,-0.00146735549084549,0.774634146341463
MDM2,0.0012956557306859,0.79219512195122
BACE2,-0.00114307802765195,0.794146341463415
CCL8,-0.000956694239183112,0.794146341463415
LAG3,-0.000968590890314776,0.845853658536585
CD247,0.000752372003311845,0.861463414634146
KARS,0.000840432981861146,0.866341463414634
SELL,0.000722394168604282,0.879024390243903
SMS,0.000798492454612706,0.888780487804878
OCIAD2,-0.000714191097619933,0.890731707317073
TRAPPC3,0.000563038934438663,0.892682926829268
CEACAM6,0.000461996020251204,0.908292682926829
SOX17,0.000442700165365623,0.909268292682927
IL2RG,0.000618678651392533,0.91219512195122
USP53,0.000444057754264524,0.919024390243903
CYTIP,-0.000484002995400765,0.927804878048781
CD8B,0.000513668746602371,0.931707317073171
SDC4,-0.000463791239570156,0.935609756097561
TOMM7,-0.00023299171131326,0.961951219512195
MMP1,0.000133809728919798,0.971707317073171
FAM107B,-0.000205076508266708,0.972682926829268
ITM2C,-0.000171207816095776,0.982439024390244
SLC5A6,-4.26724366003637e-05,0.994146341463415
