genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
EPCAM,0.3264681718333592,4,146,8.997784071562748,2.060801015652748,-3649.1125342556406,-6.377096209428049,8.629610814923524,SE,2032,4.1958025452597434e-05,0.0009643124614369312,0.0038459300994873047,7328.692171746075,-3688.8226129580657,39.71007870242511,2.946012322979641e-10,3.2462945707764645e-10
ERBB2,0.4095587852076906,4,157,8.997784071562748,1.4400554081615777,-3217.6804603481696,-3.552334094605486,3.412145976176058,SE,2032,5.577909719181628e-05,0.0011011114064070383,0.0030698776245117188,6465.8280239311325,-3264.873076441439,47.19261609326941,6.434186516912632e-12,7.713310509785375e-12
ERN1,0.3363783406335053,4,160,8.997784071562748,1.970658232166017,-2261.6069992812354,-2.4761263767889363,1.4044583793312668,SE,2032,8.717290743003846e-05,0.001955356057213304,0.004617929458618164,4553.681101797264,-2286.8800597576765,25.27306047644106,4.976104872600473e-07,4.761822844593755e-07
ESM1,0.7595258394837807,4,165,8.997784071562748,0.31626027738081786,-2583.017051375112,-1.6889391538117422,1.5720761182302423,SE,2032,9.820756173716482e-06,0.0003061188642997179,0.0026640892028808594,5196.501205985017,-2832.7566959040896,249.7396445289778,0.0,0.0
ESR1,0.3667076702029571,4,179,8.997784071562748,1.7250552837470796,-2354.425852908459,-2.7030828433450624,1.753186289379443,SE,2032,0.00015736545387184703,0.003312939425857531,0.0023598670959472656,4739.3188090517115,-2376.7622536249737,22.336400716514618,2.2882774507460013e-06,2.0802522279509104e-06
FAM107B,0.6364841278136601,4,181,8.997784071562748,0.5704986010275411,-2038.64200117193,-2.2767235875505847,1.7759874146523877,SE,2032,5.080026352683103e-05,0.0010758398516803797,0.0025479793548583984,4107.751105578654,-2131.751119801326,93.10911862939588,0.0,0.0
FAM49A,0.2925378045110576,4,182,8.997784071562748,2.4156834469774844,-3485.1364980135813,-7.1780015522402625,9.897846666364867,SE,2032,4.40961876347172e-05,0.001118227914009655,0.003704071044921875,7000.740099261956,-3515.4242533288716,30.28775531529027,3.7246985828964796e-08,3.69391594997998e-08
FASN,0.3582635766692212,4,189,8.997784071562748,1.7892573739732995,-1628.436111798767,-2.4362958496212777,1.3304869824375127,SE,2032,0.0003739845438038058,0.008000849220491307,0.001728057861328125,3287.339326832327,-1651.4282808463786,22.992169047611696,1.6266264217801307e-06,1.5004051923991194e-06
FBLIM1,0.23981053652283643,4,190,8.997784071562748,3.166448060675982,-1603.8003374552347,-2.3064592947052303,0.9165403217997276,SE,2032,0.00012919875202624563,0.004039928233000641,0.004314899444580078,3238.0677781452628,-1620.0253408521723,16.22500339693761,5.624682951987925e-05,4.720013666003854e-05
FBLN1,0.29111804667170976,4,198,8.997784071562748,2.4323360424667446,-3512.3225875115613,-6.965996212099567,9.338102320692087,SE,2032,3.5548943576151233e-05,0.0009057011548385598,0.003705739974975586,7055.112278257916,-3548.296040097449,35.97345258588757,2.00024263818932e-09,2.1392969392399148e-09
