genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
CXCR4,0.43458455912526095,4,122,0.227359719647444,1.301046180166282,-7798.933848865904,-1.9133345422470642,1.9086547477060576,SE,6134,0.6402523445960764,12.32316618469605,0.003957986831665039,15632.754107110504,-7799.062736351147,0.1288874852425579,0.719588332342502,0.9949060564104039
CYTIP,0.552633432100695,4,126,0.227359719647444,0.8095165099614398,-10850.47643438237,-8.213346480731328,38.22068488301188,SE,6134,0.44128706427002984,8.411971585859389,0.004185914993286133,21735.839278143438,-10851.527611322485,1.0511769401146012,0.30523618264530206,0.578896208465228
DAPK3,0.9999546020622289,4,132,0.227359719647444,4.5399929762484854e-05,-11522.639428237722,-10.620482439190711,114.41852314328196,SE,6134,4.190177528003489,1472373474.7355783,0.0036432743072509766,23080.165265854142,-11525.718556253876,3.0791280161538452,0.07930303254022164,0.17986254802936869
DMKN,0.4519189704668941,4,151,0.227359719647444,1.2127842189832623,-11527.847258854417,-2.574041627129127,4.117882528469767,SE,6134,0.19273640464673142,3.6632954815317853,0.00466609001159668,23090.580927087532,-11528.501784809478,0.6545259550603078,0.4184991650855072,0.7307128279270761
DNTTIP1,0.7712089668701088,4,153,0.227359719647444,0.2966649700126511,-10099.641878613282,-3.3113978572206064,9.620376587654176,SE,6134,0.06905610563945158,2.2806141958612165,0.0041768550872802734,20234.17016660526,-10103.963244541414,4.321365928131854,0.03763669924442381,0.09098982234915647
DPT,0.48921841290242085,4,155,0.227359719647444,1.044075195219486,-8175.681739691485,-6.37722820785228,20.2255374751678,SE,6134,0.39931268685884197,7.4849107251178,0.004725933074951172,16386.249888761668,-8176.38439552838,0.7026558368952465,0.40189273098399947,0.707331206531839
DSC2,0.431423027668737,4,160,0.227359719647444,1.3179085741618664,-8080.556835703881,-2.253314379544602,2.534592005335468,SE,6134,0.4990431835474257,9.631467668805039,0.006806135177612305,16196.000080786458,-8080.586459283558,0.02962357967680873,0.8633471057099824,0.9949060564104039
DSP,0.38320488440295897,4,162,0.227359719647444,1.6095676288665983,-10242.176152446014,-5.410747210865724,11.814573875084283,SE,6134,0.19260455135793447,3.9425563718975027,0.005653858184814453,20519.238714270727,-10242.45892232022,0.28276987420576916,0.5948914636558663,0.9553001606152597
DST,0.3921841012606066,4,164,0.227359719647444,1.549820535837286,-7996.830768193227,-2.7205100774821607,3.204311495633511,SE,6134,0.2512886095436076,5.074774385478932,0.0054318904876708984,16028.54794576515,-7996.971198369125,0.14043017589756346,0.7078537332537247,0.9949060564104039
DUSP2,0.5718220344782945,4,173,0.227359719647444,0.7487947092668444,-10559.97216652074,-8.614765763316967,43.282406876035544,SE,6134,0.3177585243059941,6.150732813733446,0.004161834716796875,21154.830742420178,-10561.338231410919,1.3660648901786772,0.24248914231928376,0.46389227226297763
