,cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
594,51861,1501.7274353027344,2081.83427734375,338,0,0,338,250.30109375,64.43796875,Invasive_Tumor
595,51862,1510.0152465820313,2045.110998535156,276,0,0,276,323.9509375,24.8359375,Endothelial
596,51863,1508.6911682128905,2120.54912109375,229,0,0,229,146.71265625,63.8509375,Invasive_Tumor
597,51864,1504.059539794922,2155.735095214844,348,0,0,348,209.93140625,69.22453125,Invasive_Tumor
598,51865,1512.4686462402344,2140.946630859375,281,0,0,281,118.89640625,78.07515625,Invasive_Tumor
599,51866,1511.2740600585937,2087.867492675781,404,0,0,404,193.40421875,113.7034375,Invasive_Tumor
600,51867,1512.7409118652342,2066.613342285156,248,0,0,248,200.4034375,47.36890625,Endothelial
601,51868,1517.9548400878905,2127.831396484375,228,0,0,228,176.78671875,47.09796875,Invasive_Tumor
602,51869,1511.2907653808593,2102.3071166992186,430,0,0,430,214.763125,116.45796875,Invasive_Tumor
603,51870,1517.1284973144532,2167.33896484375,290,0,0,290,319.29984375000004,47.63984375,Invasive_Tumor
604,51871,1517.539697265625,2155.3447509765624,144,0,0,144,69.13421875,42.58234375,Invasive_Tumor
605,51872,1519.405920410156,2114.023046875,205,0,0,205,107.2009375,39.240781250000005,Invasive_Tumor
606,51873,1521.3459167480469,2091.772802734375,290,0,0,290,158.81453125000002,83.58421875,Invasive_Tumor
607,51874,1521.1003173828124,2074.647668457031,133,0,0,133,101.9628125,32.5125,Endothelial
608,51875,1521.5020751953125,2143.2482299804688,418,0,0,418,184.55359375,96.40859375,Prolif_Invasive_Tumor
609,51908,1389.6763305664062,1883.6178466796875,416,0,0,416,256.39718750000003,115.19359375,Invasive_Tumor
610,51909,1341.1117797851562,1887.6860595703124,216,0,0,216,159.6725,107.110625,Invasive_Tumor
611,51910,1328.1721069335938,1886.8113647460937,120,0,0,120,82.13921875,46.73671875,Prolif_Invasive_Tumor
612,51911,1375.661083984375,1886.3473510742188,146,0,0,146,94.828125,39.2859375,Invasive_Tumor
613,51912,1430.3932189941406,1888.0805541992188,159,0,0,159,252.4234375,13.23078125,Stromal
