genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
AQP1,0.9999546021261772,4,179,0.11360055399787518,4.5399929762484854e-05,-3279.3509000955823,-2.5623099020306985,7.137202526537282,SE,2873,260.50439678294913,91538089207.48927,0.0024597644805908203,6590.554248427082,-3279.4046410227397,0.05374092715737788,0.8166771275691547,0.5909920416601754
AR,0.9999546021261772,4,185,0.11360055399787518,4.5399929762484854e-05,-4300.726622290023,-3.931814736421972,16.622599586096307,SE,2873,73.91516413559604,25972893248.584366,0.0019910335540771484,8633.305692815964,-4300.867519800211,0.14089751018764218,0.7073903910349482,0.547303977589902
AVPR1A,0.9999546021261773,4,200,0.11360055399787518,4.5399929762484854e-05,-4172.457397641199,-3.2140450011089383,11.395458255176651,SE,2873,21.129369488421766,7424604471.243132,0.002026081085205078,8376.767243518316,-4172.707332246588,0.24993460538826184,0.617121127567121,0.4870915158509766
BACE2,0.9999546021261773,4,201,0.11360055399787518,4.5399929762484854e-05,-4139.340616529309,-2.8925911920203715,9.40877725459065,SE,2873,9.374475709178398,3294077199.223612,0.002207040786743164,8310.533681294535,-4139.699179498666,0.3585629693570809,0.5493054106512583,0.4514066035141312
BASP1,0.9999546021261772,4,203,0.11360055399787518,4.5399929762484854e-05,-3753.405456977482,-6.3070624036437675,40.56370490156625,SE,2873,18.42432669078877,6474085201.786687,0.0019559860229492188,7538.663362190881,-3753.660862038966,0.255405061483998,0.6132946610498353,0.4870915158509766
BTNL9,0.9999546021261772,4,210,0.11360055399787518,4.5399929762484854e-05,-5142.488583360475,-4.8809236070280555,25.91518989752083,SE,2873,606.3201560617892,213053557710.68362,0.0022001266479492188,10316.829614956867,-5142.552829944132,0.0642465836572228,0.7999057378222787,0.5891642877653899
C1QA,2.061153385705701e-09,4,214,0.11360055399787518,485165195.4097903,-4958.038485815185,-6.8853775493499745,1.0152311533402905e-07,SE,2873,218.92719417376253,3.7312525296747815e+19,0.002346038818359375,9947.929419866286,-4958.038572852288,8.703710318513913e-05,0.9925563494649513,0.6562356236249008
C1QC,0.45456361824926494,4,8,0.27027262304069455,1.1999025188359516,-4524.818540358534,-3.889856141785771,7.43361423925549,SE,2873,0.6483706817195899,12.304062914690359,0.002054929733276367,9081.489528952985,-4525.060397109685,0.24185675115131744,0.6228682758944362,0.4870915158509766
C2orf42,0.9999546017691476,4,21,0.27027262304069455,4.5399929762484854e-05,-3565.0572678138337,-3.14626155275923,10.409394071805144,SE,2873,0.1565598180316832,55012358.241497286,0.0019378662109375,7161.966983863585,-3566.2203674730026,1.1630996591688927,0.2808236247885775,0.2602948315713561
C6orf132,0.42375619245920454,4,48,0.27027262304069455,1.3598366720893278,-4416.926823275471,-3.499590895847444,5.680610261675372,SE,2873,0.3377079247939982,6.564604876122649,0.001955747604370117,8865.70609478686,-4417.172370639908,0.24554736443678848,0.620227913984999,0.4870915158509766
