genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
FLNB,0.3027852841326315,4,134,0.29350301167788645,2.3026592881778916,-11136.726618784951,-1.1518433867111069,1.2444166167617705,SE,5763,0.07726699143303646,1.8970533907868583,0.0045318603515625,22308.09009137565,-11137.60718548104,0.880566696088863,0.34804651291890676,0.994744633287668
FOXA1,0.02415109724946487,4,136,0.29350301167788645,40.40579097656972,-5598.2132642872275,-2.0037488043146854,0.10677026771158438,SE,5763,1.397404716902029,1916.07976042574,0.005953073501586914,11231.063382380202,-5598.219835948025,0.006571660797817458,0.9353896391500205,0.994744633287668
FSTL3,0.19639424206267014,4,142,0.29350301167788645,4.091779200681523,-7167.7696170106055,-2.0459258010597874,0.9561443110714349,SE,5763,0.13882184601773895,5.537533992020266,0.0034341812133789062,14370.176087826958,-7168.138769515227,0.3691525046215247,0.5434665884824124,0.994744633287668
GATA3,0.397770805839497,4,149,0.29350301167788645,1.5140032281569884,-10376.144951892726,-1.75193728908032,2.0621041280337624,SE,5763,0.048046912680520554,0.9627710550576507,0.0028791427612304688,20786.926757591198,-10377.784754804212,1.6398029114861856,0.2003525116016741,0.8476452413916982
GJB2,0.1596860685293001,4,152,0.29350301167788645,5.262261628076673,-9959.812142088542,-1.197185946880675,0.5243441829546099,SE,5763,0.1271104020826617,6.709926332655648,0.0030121803283691406,19954.26113798283,-9959.878505493438,0.06636340489603754,0.7967071730105514,0.994744633287668
GLIPR1,0.3797854921753745,4,160,0.29350301167788645,1.633057406463181,-7385.4793969493,-2.2278210802466623,2.155309472558819,SE,5763,0.03807625662634197,0.783682857163853,0.0029449462890625,14805.595647704347,-7387.327927094681,1.848530145381119,0.17395444396832904,0.8208994351697712
GPR183,0.159125905809829,4,162,0.29350301167788645,5.284306327706118,-9774.898195570935,-4.804168867515561,3.9340296254996683,SE,5763,0.23024235313781177,12.21465158176804,0.003281831741333008,19584.433244947617,-9775.605916182794,0.7077206118592585,0.40020155360188314,0.994744633287668
GZMA,0.19233214825299413,4,163,0.29350301167788645,4.19931850355216,-10110.793772180305,-7.323219599093612,10.638216218331927,SE,5763,0.1407387171490503,5.768253279119749,0.002975940704345703,20256.224398166356,-10111.507775424809,0.7140032445040561,0.39811802656974316,0.994744633287668
HAVCR2,0.36523923473070047,4,166,0.29350301167788645,1.7379230861861619,-7509.970299452956,-2.8793464896761196,3.289562892791526,SE,5763,0.06577398680957616,1.3884655535972108,0.0030820369720458984,15054.57745271166,-7511.177482805721,1.2071833527652416,0.2718906699498548,0.9647733449833557
HDC,0.28138522239809355,4,170,0.29350301167788645,2.553834558310481,-10617.226751356042,-5.369514270902129,8.709625596356222,SE,5763,0.07190349521190065,1.8940302936391449,0.0033609867095947266,21269.09035651783,-10618.184675700339,0.9579243442967709,0.3277103923671487,0.994744633287668
HMGA1,0.4731042807079177,4,171,0.29350301167788645,1.1136935232805714,-10427.460950494036,-7.766935057279912,29.23496566034663,SE,5763,0.056248371364425516,1.0583901681815095,0.0035178661346435547,20889.55875479382,-10429.117893268402,1.656942774365234,0.19801661035968188,0.8476452413916982
HOOK2,0.28958272639292737,4,172,0.29350301167788645,2.4532327933497093,-8962.670015481479,-1.023625309849942,0.6815509381010671,SE,5763,0.06743838001307471,1.726962252179373,0.00404810905456543,17959.976884768705,-8963.816606803526,1.146591322047243,0.28426384373158464,0.9771569628273222
HOXD8,0.28099562949266005,4,174,0.29350301167788645,2.558761847930382,-9415.995784888364,-4.514823774122103,6.117736637787665,SE,5763,0.08136335034606534,2.146181851781125,0.003628969192504883,18866.628423582475,-9416.911073188658,0.9152883002934686,0.3387151596268102,0.994744633287668
HOXD9,0.23412603348804523,4,178,0.29350301167788645,3.271187976387493,-10679.89810973206,-9.630499405634826,22.138506971131296,SE,5763,0.10053530426856247,3.231781398040502,0.003010988235473633,21394.433073269865,-10680.737362499243,0.8392527671840071,0.3596105672413584,0.994744633287668
HPX,0.9999546019119379,4,183,0.29350301167788645,4.5399929762484854e-05,-5055.388583069154,-1.896555711088297,3.8540549961093564,SE,5763,0.01701234299636727,5977874.820945203,0.0039386749267578125,10145.414019944055,-5062.78545049268,7.396867423525691,0.006533755925832829,0.0823350127089659
IGF1,0.14283545641006062,4,186,0.29350301167788645,6.001033799298219,-10071.761691678172,-6.949685355844725,7.147868287232168,SE,5763,0.19173405037392824,11.888327565410812,0.004026174545288086,20178.16023716209,-10072.07566748313,0.3139758049583179,0.5752506586121164,0.994744633287668
IGSF6,0.21111669775180822,4,188,0.29350301167788645,3.7366987010417456,-9738.561084346833,-8.018965991584965,13.862699099180178,SE,5763,0.1241803529366797,4.520445762897386,0.0036499500274658203,19511.759022499413,-9739.382309831717,0.821225484884053,0.36482210636814183,0.994744633287668
IL2RG,0.1359782465295336,4,190,0.29350301167788645,6.3540867782323085,-5176.14084656822,-2.370630561487806,0.8093764778660965,SE,5763,0.15024806673940752,10.021088481232926,0.004133939743041992,10386.918546942186,-5176.335818830217,0.19497226199746365,0.6588100700503179,0.994744633287668
IL3RA,0.14165501347461143,4,192,0.29350301167788645,6.059374940797203,-10183.449879501753,-6.044785555151288,5.440476586541814,SE,5763,0.27309609801902124,17.141397213791365,0.0037250518798828125,20401.536612809254,-10183.901851229966,0.4519717282128113,0.5014000963134546,0.994744633287668
IL7R,0.11997719948553592,4,194,0.29350301167788645,7.334881559986654,-10192.544286982637,-5.436981196033164,3.7765839231902785,SE,5763,0.2117624768392699,17.089900682219685,0.003415822982788086,20419.72542777102,-10192.713531636771,0.1692446541346726,0.6807839816570675,0.994744633287668
ITGAM,0.082697896091813,4,197,0.29350301167788645,11.09215245768746,-10572.162586495433,-7.837842049141255,5.258702569656103,SE,5763,0.42162710799085973,62.152983128676034,0.0036492347717285156,21178.962026796613,-10572.267254857146,0.10466836171326577,0.746297752199726,0.994744633287668
ITGAX,0.1489439248137841,4,198,0.29350301167788645,5.7139085319002,-10414.885329212033,-7.802125216910785,9.354249300958637,SE,5763,0.2732334377156099,15.936346960398035,0.004737138748168945,20864.407512229813,-10415.369533995041,0.48420478300795367,0.4865238706095212,0.994744633287668
ITM2C,0.07393846037576153,4,199,0.29350301167788645,12.524700407113682,-10112.78050157538,-7.202201440800829,3.9723157365350983,SE,5763,0.2936133075483684,52.34069325804971,0.003638029098510742,20260.197856956507,-10112.816029274101,0.03552769872112549,0.8504941785594118,0.994744633287668
JUP,0.015515779857794034,4,201,0.29350301167788645,63.45020823989081,-7909.73213417618,-3.1132341038180864,0.16445821916850445,SE,5763,5.509388710190613,17668.793107337824,0.005624055862426758,15854.101122158107,-7909.7394775318335,0.00734335565357469,0.9317101634776697,0.994744633287668
KARS,0.17946495885995806,4,203,0.29350301167788645,4.572096310144076,-7686.849446972043,-6.245850966655747,7.118934240616285,SE,5763,0.13660983429151538,6.137321021849533,0.0036742687225341797,15408.335747749832,-7686.853675287454,0.004228315411637595,0.9481536986132927,0.994744633287668
KDR,0.18980209738707812,4,208,0.29350301167788645,4.268625050938253,-10097.93255496133,-5.729496465473828,6.568871572854821,SE,5763,0.13231795484542613,5.517874588062692,0.00476527214050293,20230.501963728406,-10098.387302840532,0.45474787920284143,0.5000888432675675,0.994744633287668
KLF5,0.13505572752232275,4,216,0.29350301167788645,6.404319970858215,-10135.22213498838,-5.678007416259319,4.604789090025046,SE,5763,0.23249255552802425,15.66528102894168,0.0033669471740722656,20305.081123782507,-10135.514871671381,0.29273668300083955,0.5884721133100947,0.994744633287668
KLRB1,0.35200768946395145,4,217,0.29350301167788645,1.8408381371905904,-9411.266387876518,-1.0458313002583124,0.9219117067319492,SE,5763,0.039491227469887306,0.8556347012549792,0.0038061141967773438,18857.169629558783,-9413.07141994153,1.8050320650127105,0.17910533130976825,0.8208994351697712
KRT15,2.060925957047544e-09,4,8,0.7270715903716798,485165195.4097903,-9270.642857485276,-4.0991051821376665,3.764511718421482e-08,SE,5763,0.01251972995253584,2134252206084720.8,0.0031800270080566406,18575.9225687763,-9270.64290089039,4.3405114411143586e-05,0.994743370446569,0.994744633287668
KRT7,2.060925957047544e-09,4,40,0.7270715903716798,485165195.4097903,-6970.266584719029,-2.371004853414309,1.294287061177532e-08,SE,5763,0.003039363782912553,518123704214661.4,0.003911018371582031,13975.170023243805,-6970.266628144677,4.3425648073025513e-05,0.9947421272344409,0.994744633287668
