Gene,C,Z,Pval,FDR
CAV1,0.006561071521617788,2.2737398,0.011490817396567045,0.019507666743009168
JUP,0.008007515480768022,2.267792,0.011670944033999937,0.019661051872661435
SELL,0.005106204030812646,2.2550507,0.012065074584628781,0.020169857511707658
CENPF,0.011225168090515172,2.2484565,0.012273548651964844,0.020362932990759856
MKI67,0.008853714479717618,2.196822,0.014016583180497266,0.023079937718262413
TFAP2A,0.008177833663056421,2.1667411,0.015127299163505036,0.02472297400602689
CLDN4,0.007764729107549467,2.1313138,0.01653164943066716,0.026818009076415614
SLAMF7,0.00422185994390763,2.0768514,0.018907639731522968,0.03044686103826125
MEDAG,0.0059943435077283854,2.0737314,0.019052130618780947,0.03045559566067903
ANKRD28,0.006310275427631386,2.0700698,0.019222904717145706,0.030505914007644276
CD93,0.004926389133308876,1.9975524,0.022882604358463114,0.0360524485935498
SRPK1,0.0066232257486549045,1.9036593,0.028477282313851927,0.0445466059052398
SLC5A6,0.007132266665107501,1.8823146,0.029896659196634773,0.046435236624560394
ANKRD29,0.005193908226122336,1.8375322,0.03306568646916551,0.05099567138554399
SMS,0.006207162432572559,1.7607539,0.039140035316894826,0.059941732408391374
DUSP5,0.005432856214694569,1.67002,0.04745770488506253,0.07217525951269926
C6orf132,0.005759191594696484,1.65737,0.04872234932200755,0.07358754828634244
MAP3K8,0.004835935857740914,1.6435115,0.05013857049568228,0.07520785574352343
CXCL16,0.005405221407013528,1.6329622,0.051238470636700735,0.0763348644179419
LAG3,0.004352499275421166,1.6296461,0.05158816152874672,0.07633653631618603
CCPG1,0.005155102146423949,1.6155183,0.05309924689520544,0.07804520181241605
HOXD9,0.004088919980724232,1.6074979,0.053972591503815434,0.07879998359557054
BACE2,0.005009320437608066,1.5998374,0.05481732729144265,0.0795032760054698
TUBB2B,0.00534198598702358,1.5505219,0.060508156559147354,0.08717951504245573
IL3RA,0.004213251878820428,1.5422771,0.061503135929510296,0.08803390044812258
CD8A,0.0019145326745622956,1.5358672,0.06228547530802601,0.08857479930167335
ERN1,0.003664856550774441,1.4951009,0.06744406128571538,0.09529193175207527
PELI1,0.004381623171608861,1.4398614,0.07495330546276537,0.10522290959195908
SH3YL1,0.005170618454389006,1.4364496,0.07543721731961106,0.10522771078340651
KRT15,0.004293517331204461,1.3943695,0.08160302928013108,0.11310799628068802
DST,0.005133622707722782,1.3714347,0.08511974506527537,0.11724040358047362
ADAM9,0.004741286574977801,1.334642,0.0909967637970095,0.12455182044715675
QARS,0.004799537019507836,1.3173829,0.09385514961896152,0.12766632153138244
DNTTIP1,0.003936239848996835,1.2133404,0.11249985111382027,0.15202746929025926
HPX,0.003954975199618094,1.2099301,0.11315286527083224,0.15202746929025926
TENT5C,0.003952906595799667,1.1400964,0.1271230653777145,0.1697558007178017
CTLA4,0.0020984215851205298,1.1231953,0.13067728114175808,0.17344439133360617
AQP1,0.0027420677204538545,1.0482621,0.14725892863927864,0.19427533356627724
CEACAM6,0.003166267475333365,0.91317916,0.1805741615012913,0.23680084651965744
CCL8,0.0024939713455666285,0.90159327,0.1836364842448301,0.23938327410486782
MMRN2,0.002292906501527764,0.8744121,0.19094692984428124,0.24744010435442362
KARS,0.003122296619235986,0.84781283,0.19827110796556696,0.25541983908505395
SLC25A37,0.0026179375997433287,0.8401149,0.2004219856856077,0.25668078868507654
TIFA,0.0027083383295314076,0.8338161,0.20219230756076867,0.2574425311384206
NPM3,0.0025528041875424634,0.80915666,0.20921252139647267,0.2648412843111417
LGALSL,0.0025815514964279127,0.79136175,0.214366462189442,0.2698060644798149
SOX17,0.0015980250898149635,0.77837306,0.21817455717103185,0.27302987440260557
MYLK,0.0018480120640814526,0.73494697,0.23118589671174172,0.28766881465836047
SVIL,0.0023772098375052777,0.7234308,0.23470762334465112,0.2904009576976192
EGFL7,0.0021688677827762233,0.71755785,0.236514978124989,0.29099314724366626
RHOH,0.0023782004388478114,0.6523642,0.2570831284727172,0.31453187226550317
SQLE,0.0022168425248035024,0.6141849,0.2695465699200156,0.327948326736019
SEC24A,0.0020161753730893873,0.5770047,0.28196815002722375,0.3411658831821105
SEC11C,0.001819635172047626,0.5669396,0.2853776118263382,0.34339393950531905
CD83,0.0013802430999549854,0.5480939,0.2918137092965244,0.34921968489584065
MDM2,0.0017719099912160128,0.4811973,0.315188140680162,0.3751424065704102
C2orf42,0.0015269338155324533,0.45771688,0.32357792876500757,0.3830463048623603
HDC,0.0014607548259870937,0.41147235,0.34036310582077983,0.4007501084664021
TOMM7,0.0013053614793655556,0.37337154,0.35443596858187754,0.41508811293813463
SERPINA3,0.0010311783204787087,0.3619863,0.3586811306402842,0.4178253596288417
CAVIN2,0.0006799759010205314,0.27892274,0.39015205969622313,0.452080958060703
HMGA1,0.0009797150809612225,0.26508236,0.3954730082996782,0.4558346779875238
HOOK2,0.0008585477428327465,0.23263414,0.40802275652439174,0.46783761088398845
PCLAF,0.0007387256521922814,0.20588619,0.41843990845580276,0.4772830205824
CDC42EP1,0.0004926045125912589,0.15760875,0.4373825551188829,0.4963045573628775
DUSP2,0.0002851631439026791,0.110762365,0.45590239495615204,0.5125396842028004
RORC,0.00038604685942208105,0.10958072,0.45637095168742503,0.5125396842028004
ENAH,-0.0003023948026832137,-0.08398487,0.5334657680753973,0.5960663429005715
THAP2,-0.0003427913340830734,-0.10158703,0.5404577615600633,0.6008134506682937
FSTL3,-0.0003448927425048909,-0.11394524,0.5453593979494089,0.6032005462167704
POLR2J3,-0.0007995659354180458,-0.21443163,0.5848947604054805,0.6436781534110564
TUBA4A,-0.0011172767725386363,-0.31673053,0.6242759591599546,0.6835821752801503
SDC4,-0.0012465457650877774,-0.34250778,0.634015604809207,0.6907931216577927
ESM1,-0.0007913724575918811,-0.3630265,0.6417074555850155,0.6957125384807842
MZB1,-0.00116476267156943,-0.39320275,0.6529151313122222,0.7043764224501313
DAPK3,-0.0015411895841211443,-0.4624719,0.6781285264258277,0.7279909180747857
TRAPPC3,-0.0018417493845354414,-0.5144904,0.6965454236831592,0.741272142546984
TRIB1,-0.0016963261677349075,-0.5165639,0.6972696865967064,0.741272142546984
PTRHD1,-0.002333879667290136,-0.6509684,0.7424665483897694,0.7817689748908249
WARS,-0.002218251688816581,-0.65521324,0.7438347634506108,0.7817689748908249
ESR1,-0.0020639810572139015,-0.66217905,0.7460717614254904,0.7817689748908249
APOBEC3B,-0.00202153871872314,-0.6815815,0.75224819100307,0.784487399188916
EIF4EBP1,-0.002363509989629934,-0.70746666,0.7603617383876323,0.7891906194639406
ANGPT2,-0.001572887833395701,-0.7630831,0.7772930810025187,0.8029584185827906
CD8B,-0.001374908007092735,-0.7944028,0.7865195063114359,0.8086749853624622
SMAP2,-0.0028639446647051574,-0.9920044,0.8394023091441051,0.8590145126287805
VOPP1,-0.004100731045374309,-1.1273538,0.8702035352717549,0.8857870083936971
SNAI1,-0.0029390040628928704,-1.1438301,0.8736529397855641,0.8857870083936971
STC1,-0.003792963751793602,-1.2179694,0.8883822026797008,0.8965700570822787
ACTG2,-0.0058254733149204485,-1.7448214,0.959492021286276,0.9638933608334608
HOXD8,-0.005901536222656817,-1.8343151,0.9666963801583411,0.9666963801583411
