section	group	metric	n_seeds	median	minimum	maximum
observation_consequences	condition=Dropout high	latent_recovery_pearson	20	0.32420191124156394	0.3135512339368234	0.3286874302477703
observation_consequences	condition=Dropout high	observed_spatial_slope	20	1.3846546367594863	1.220164935775288	1.5247428497853472
observation_consequences	condition=Combined	median_library_ratio	20	0.5342510754875811	0.531485733027222	0.5361765682044474
observation_consequences	condition=Combined	zero_fraction	20	0.2787280707610147	0.27460709759188845	0.28186937769562537
observation_consequences	condition=Combined	mean_variance_spearman	20	0.8645684097700823	0.8416907055709468	0.8926565954402271
observation_consequences	condition=Combined	latent_recovery_pearson	20	0.4099404821112947	0.39871923636037226	0.41807836127879605
observation_consequences	condition=Combined	observed_spatial_slope	20	1.2353175950265016	1.105093464366062	1.3371746654129686
compatibility	all seeds	default_equals_disabled	20	1.0	1.0	1.0
compatibility	all seeds	default_equals_zero_spatial	20	1.0	1.0	1.0
compatibility	all seeds	default_disabled_mismatched_entries	20	0.0	0.0	0.0
compatibility	all seeds	default_zero_spatial_mismatched_entries	20	0.0	0.0	0.0
