seed	component	level	configured_value	realized_value
12	capture	efficiency_0.7	0.7	0.6997448563236393
12	capture	efficiency_0.55	0.55	0.5496050773996767
12	capture	efficiency_0.4	0.4	0.4002981853413782
12	ambient	rate_0	0.0	0.0
12	ambient	rate_5	5.0	4.977186311787072
12	ambient	rate_20	20.0	20.015209125475284
12	ambient	rate_50	50.0	50.12294043092522
12	ambient	rate_100	100.0	100.24017743979721
12	dropout	Off	0.0	0.0
12	dropout	Very low	0.049882663696732506	0.05038022813688213
12	dropout	Low	0.12362747664548202	0.12416730038022813
12	dropout	Moderate	0.27273869057770017	0.2733346007604563
12	dropout	High	0.49693555634232717	0.49780608365019013
13	capture	efficiency_1	1.0	1.0
13	capture	efficiency_0.85	0.85	0.8499439707758633
13	capture	efficiency_0.7	0.7	0.6998720226996669
13	capture	efficiency_0.55	0.55	0.5498685770384629
13	capture	efficiency_0.4	0.4	0.4001206546283857
13	ambient	rate_0	0.0	0.0
13	ambient	rate_5	5.0	5.00123609394314
13	ambient	rate_20	20.0	19.943757725587144
13	ambient	rate_50	50.0	49.7725587144623
13	ambient	rate_100	100.0	99.57911001236094
13	dropout	Off	0.0	0.0
13	dropout	Very low	0.05097930154926501	0.050776266996291716
13	dropout	Low	0.12595851327329963	0.12583930778739183
13	dropout	Moderate	0.2765003024042642	0.2762336217552534
13	dropout	High	0.5009932978088165	0.5005599505562423
14	capture	efficiency_1	1.0	1.0
14	capture	efficiency_0.85	0.85	0.8498778335118716
14	capture	efficiency_0.7	0.7	0.6998301228612739
14	capture	efficiency_0.55	0.55	0.5498299501806138
14	capture	efficiency_0.4	0.4	0.40016772370931875
14	ambient	rate_0	0.0	0.0
14	ambient	rate_5	5.0	5.091407678244972
14	ambient	rate_20	20.0	20.004875076173064
14	ambient	rate_50	50.0	50.02193784277879
14	ambient	rate_100	100.0	99.9798903107861
14	dropout	Off	0.0	0.0
14	dropout	Very low	0.05098710069609961	0.05082754418037782
14	dropout	Low	0.1259912548875403	0.12603046922608166
14	dropout	Moderate	0.2766446269274422	0.2763290676416819
14	dropout	High	0.5013544974778781	0.5009213893967093
15	capture	efficiency_1	1.0	1.0
15	capture	efficiency_0.85	0.85	0.8500145245003874
15	capture	efficiency_0.7	0.7	0.7000839931674846
15	capture	efficiency_0.55	0.55	0.5501192457018834
15	capture	efficiency_0.4	0.4	0.39995882162812657
15	ambient	rate_0	0.0	0.0
15	ambient	rate_5	5.0	4.995200959808038
15	ambient	rate_20	20.0	19.977804439112177
15	ambient	rate_50	50.0	49.87762447510498
15	ambient	rate_100	100.0	100.10677864427115
15	dropout	Off	0.0	0.0
15	dropout	Very low	0.05050205638141682	0.05050509898020396
15	dropout	Low	0.12498280480275611	0.1245110977804439
15	dropout	Moderate	0.2750100467366993	0.2753437312537492
15	dropout	High	0.49944212512414576	0.499374925014997
16	capture	efficiency_1	1.0	1.0
16	capture	efficiency_0.85	0.85	0.8501803248771393
16	capture	efficiency_0.7	0.7	0.70027017187412
16	capture	efficiency_0.55	0.55	0.5502621550415413
16	capture	efficiency_0.4	0.4	0.39971188642379407
16	ambient	rate_0	0.0	0.0
16	ambient	rate_5	5.0	5.026364193746168
16	ambient	rate_20	20.0	20.061925199264255
16	ambient	rate_50	50.0	49.95217657878602
16	ambient	rate_100	100.0	100.15573267933783
16	dropout	Off	0.0	0.0
16	dropout	Very low	0.05114750405699371	0.05065603923973023
16	dropout	Low	0.1263985640706047	0.12594849785407725
16	dropout	Moderate	0.2774722504271633	0.2773635806253832
16	dropout	High	0.5024305223245267	0.502728387492336
17	capture	efficiency_1	1.0	1.0
17	capture	efficiency_0.85	0.85	0.8502648145891718
17	capture	efficiency_0.7	0.7	0.7002816701190041
17	capture	efficiency_0.55	0.55	0.5502502944640754
17	capture	efficiency_0.4	0.4	0.39966207708866414
17	ambient	rate_0	0.0	0.0
17	ambient	rate_5	5.0	5.003061849357012
17	ambient	rate_20	20.0	20.141457440293937
17	ambient	rate_50	50.0	50.056338028169016
17	ambient	rate_100	100.0	100.12737293325168
17	dropout	Off	0.0	0.0
17	dropout	Very low	0.050950011310294356	0.05053643600734844
17	dropout	Low	0.1258872790405364	0.12545866503368033
17	dropout	Moderate	0.2763601086961466	0.27589099816289037
17	dropout	High	0.5007700355299242	0.5000575627679118
18	capture	efficiency_1	1.0	1.0
18	capture	efficiency_0.85	0.85	0.849959093935574
18	capture	efficiency_0.7	0.7	0.6999029170992096
18	capture	efficiency_0.55	0.55	0.5499592074345547
18	capture	efficiency_0.4	0.4	0.39996638366555687
18	ambient	rate_0	0.0	0.0
18	ambient	rate_5	5.0	4.942679127725857
18	ambient	rate_20	20.0	19.794392523364486
18	ambient	rate_50	50.0	49.67102803738318
18	ambient	rate_100	100.0	99.79127725856698
18	dropout	Off	0.0	0.0
18	dropout	Very low	0.050820576341023695	0.050796261682242994
18	dropout	Low	0.125686528537142	0.12528847352024922
18	dropout	Moderate	0.2762115725442949	0.2758442367601246
18	dropout	High	0.5007564895274634	0.50123738317757
19	capture	efficiency_1	1.0	1.0
19	capture	efficiency_0.85	0.85	0.8499234892063328
19	capture	efficiency_0.7	0.7	0.6998366770193969
19	capture	efficiency_0.55	0.55	0.5499298842296786
19	capture	efficiency_0.4	0.4	0.4001612933001472
19	ambient	rate_0	0.0	0.0
19	ambient	rate_5	5.0	4.9067901234567906
19	ambient	rate_20	20.0	19.80679012345679
19	ambient	rate_50	50.0	49.95925925925926
19	ambient	rate_100	100.0	100.02222222222223
19	dropout	Off	0.0	0.0
19	dropout	Very low	0.05064666022473566	0.05036049382716049
19	dropout	Low	0.12527346966071	0.12546543209876543
19	dropout	Moderate	0.275433169655658	0.2766148148148148
19	dropout	High	0.4998089617037281	0.5008012345679013
