seed	condition	median_library_size	zero_fraction	mean_variance_spearman	latent_recovery_pearson	latent_spatial_slope	observed_spatial_slope	median_library_ratio
6	Combined	3179.0	0.28131163351416516	0.8769951887469722	0.40645168572765933	1.0000000000000009	1.104987327181632	0.5311612364243943
7	Clean	6007.0	0.0011271393643031784	0.5313986528981611	0.7883704963889574	0.9999999999999989	1.1143102127923363	1.0
7	Capture 0.4	2403.0	0.027590464547677263	0.6841454481326901	0.6260613218228229	0.9999999999999989	0.9462647747831311	0.40003329448976194
7	Ambient 100	6106.5	0.0009290953545232274	0.5348704215243897	0.7869140889328413	0.9999999999999989	1.1072511412175998	1.0165640086565673
7	Dropout high	3207.5	0.5007176039119804	0.9367245957123127	0.3102877518754535	0.9999999999999989	1.8563201178804047	0.5339603795571833
7	Combined	3201.0	0.27734229828850854	0.8530017414479	0.3941799794711362	0.9999999999999989	1.6225558234304363	0.5328783086399201
8	Clean	6050.0	0.0015602748282323548	0.605316152012911	0.8048093054696546	1.000000000000004	0.9578244622179135	1.0
8	Capture 0.4	2420.0	0.030239850093691442	0.7327291818702948	0.6495283306465289	1.000000000000004	0.9259299768965957	0.4
8	Ambient 100	6149.0	0.001354153653966271	0.6076969037112477	0.803396082771207	1.000000000000004	0.942428592411186	1.0163636363636364
8	Dropout high	3255.0	0.5005409119300437	0.941804237059916	0.32417555699487216	1.000000000000004	1.6073446465202048	0.5380165289256198
8	Combined	3230.0	0.27938788257339164	0.8740433318978434	0.4134880139190875	1.000000000000004	1.1180222405268812	0.5338842975206611
9	Clean	5954.0	0.0017178065311152188	0.602667164844781	0.8023741133126086	1.0000000000000022	0.9797918546570901	1.0
9	Capture 0.4	2379.0	0.031138632162661738	0.7327067752813525	0.6450833929506468	1.0000000000000022	0.9838718524915054	0.39956331877729256
9	Ambient 100	6055.0	0.0014799753542821936	0.6040281625827476	0.8008130802280089	1.0000000000000022	0.9682911483117935	1.0169633859590193
9	Dropout high	3179.0	0.5043203943314849	0.9468576457485813	0.3238314772717629	1.0000000000000022	1.4943443094849844	0.5339267719180383
9	Combined	3168.0	0.28166851509550217	0.8775063405293243	0.41112921052614715	1.0000000000000022	1.38520020856046	0.532079274437353
10	Clean	6045.0	0.0017723880597014926	0.5623079706904176	0.8020876820086875	0.9999999999999943	1.1250260119457085	1.0
10	Capture 0.4	2419.0	0.030016169154228854	0.7044479933676584	0.6445708344176372	0.9999999999999943	1.1162831170703642	0.4001654259718776
10	Ambient 100	6146.0	0.0014937810945273632	0.5639811752801994	0.8005728064615767	0.9999999999999943	1.1043240632886977	1.0167080231596362
10	Dropout high	3254.0	0.5001019900497512	0.9362104655324007	0.3200299392907182	0.9999999999999943	1.6319075194004746	0.5382961124896609
10	Combined	3230.0	0.2792276119402985	0.8613509941455286	0.4066623438792198	0.9999999999999943	1.725741476854099	0.5343258891645989
11	Clean	6030.0	0.0011834975369458128	0.55601363225247	0.795595738684344	0.9999999999999998	1.0211808657018038	1.0
11	Capture 0.4	2410.5	0.028645320197044334	0.7024308723153436	0.6366805401448832	0.9999999999999998	1.1129480769717022	0.3997512437810945
11	Ambient 100	6127.0	0.0009876847290640393	0.5576802365642192	0.7942649447884214	0.9999999999999998	0.9943008652629374	1.0160862354892206
11	Dropout high	3225.5	0.5011650246305419	0.9295283538176198	0.3181756046839437	0.9999999999999998	1.2013227014971894	0.5349087893864013
11	Combined	3208.0	0.2784458128078818	0.8534661102131406	0.4010842618021009	0.9999999999999998	1.347097398814038	0.5320066334991708
12	Clean	6103.0	0.001091254752851711	0.5695026453635025	0.7939224240329529	1.0000000000000018	1.053817267964463	1.0
12	Capture 0.4	2441.0	0.02705830164765526	0.7133332150929037	0.6350660552349212	1.0000000000000018	0.9508222703743543	0.3999672292315255
12	Ambient 100	6202.0	0.000917617237008872	0.5714782173521777	0.7924261367716601	1.0000000000000018	1.043924156418499	1.0162215303948878
12	Dropout high	3281.0	0.4981622306717364	0.9412297734037867	0.3144718077344365	1.0000000000000018	1.2455293028369843	0.5376044568245125
12	Combined	3269.0	0.27447782002534854	0.8689438171764668	0.3977485334055841	1.0000000000000018	0.984375335057265	0.5356382107160413
13	Clean	6015.0	0.0015414091470951792	0.5511890333558989	0.8014754442496639	0.9999999999999989	1.0925085506829908	1.0
13	Capture 0.4	2407.0	0.02987762669962917	0.7018378255188384	0.6451032191381245	0.9999999999999989	1.1385830940955604	0.400166251039069
13	Ambient 100	6114.0	0.0013077873918417799	0.5538786071522207	0.7999082469658791	0.9999999999999989	1.0871096108331888	1.0164588528678304
13	Dropout high	3232.5	0.501008652657602	0.938107148545184	0.32273790979215666	0.9999999999999989	1.0817479156441996	0.5374064837905237
13	Combined	3209.0	0.27907911001236096	0.8643996378000858	0.40762892564490316	0.9999999999999989	1.4237926219573493	0.5334995843724023
14	Clean	5997.0	0.0015746496039000608	0.5484413013911337	0.7989059833122198	0.9999999999999983	0.942594988828724	1.0
14	Capture 0.4	2400.0	0.02970993296770262	0.7067906384221415	0.6404899586846875	0.9999999999999983	0.9740486209103842	0.400200100050025
14	Ambient 100	6098.0	0.001323583180987203	0.5505449715237778	0.7974259626848877	0.9999999999999983	0.9133928710033752	1.0168417542104387
14	Dropout high	3211.0	0.5013601462522852	0.9384130704372056	0.31679641232816963	0.9999999999999983	0.7560630592195421	0.535434383858596
14	Combined	3200.0	0.279382084095064	0.8634064317303366	0.4042341092989107	0.9999999999999983	0.9562278015251966	0.5336001334000333
15	Clean	6031.0	0.0011829634073185363	0.5826130083655987	0.7973238047172752	1.0000000000000013	0.9071095802532692	1.0
15	Capture 0.4	2416.0	0.02903899220155969	0.7235190881879359	0.6408122834478537	1.0000000000000013	0.8980831403494932	0.40059691593433927
15	Ambient 100	6131.0	0.0009958008398320336	0.5846157346476104	0.7958551986453892	1.0000000000000013	0.9046146771653203	1.0165809981760903
15	Dropout high	3245.0	0.49974565086982603	0.9389984613535031	0.3173352138622779	1.0000000000000013	1.4322452903528766	0.5380533908141271
15	Combined	3225.0	0.27754769046190764	0.8690834831979776	0.40391954886844167	1.0000000000000013	0.6753819293221659	0.5347371911789089
16	Clean	5954.0	0.0014003678724708768	0.5564315592698273	0.7985245581275097	1.000000000000001	1.0112432079062932	1.0
16	Capture 0.4	2386.0	0.029883507050889026	0.6962303866599039	0.6402320736329652	1.000000000000001	1.0473868156153812	0.4007389989922741
16	Ambient 100	6056.0	0.0011919068056407112	0.5578778935695042	0.7971041489693178	1.000000000000001	0.9949169317323493	1.0171313402754452
16	Dropout high	3192.0	0.5031036174126303	0.9294902004229373	0.3213595937405902	1.000000000000001	1.7416734222945323	0.5361101780315755
16	Combined	3180.0	0.28014224402207233	0.8479476214024347	0.40513163449760214	1.000000000000001	1.3208619708948306	0.5340947262344642
17	Clean	6085.0	0.0014917330067360686	0.5838280934192555	0.8034934336431824	1.0	1.0930284223024893	1.0
17	Capture 0.4	2429.0	0.02992406613594611	0.7215545217855687	0.648077769329702	1.0	1.3252972299055568	0.3991783073130649
17	Ambient 100	6188.0	0.0012467850581751377	0.5857707997852137	0.8019842354279764	1.0	1.05619642371339	1.0169268693508628
17	Dropout high	3258.0	0.5004641763625229	0.9384833741223214	0.3241836901655828	1.0	1.7184103429475106	0.5354149548069023
17	Combined	3231.0	0.2802718922229026	0.8704966864736818	0.41077922693590607	1.0	1.2172648146264806	0.5309778142974527
18	Clean	6015.0	0.0012137071651090344	0.6453909744153016	0.802319547963842	1.0	1.1250036041660667	1.0
18	Capture 0.4	2410.0	0.028980685358255452	0.7590434507317984	0.6469949407778173	1.0	1.2028878496488962	0.400665004156276
18	Ambient 100	6115.0	0.0010143302180685358	0.6477979955692094	0.8009640296250657	1.0	1.105965121490808	1.0166251039068994
18	Dropout high	3240.0	0.501585046728972	0.9521267090172737	0.3252075822033147	1.0	1.3884528869863715	0.5386533665835411
18	Combined	3216.0	0.2787102803738318	0.8892577118214887	0.4104151287200456	1.0	1.4814715421076154	0.5346633416458852
19	Clean	6058.0	0.0012641975308641975	0.5516705316425001	0.7998613683191136	1.0000000000000004	0.96657814892334	1.0
19	Capture 0.4	2422.0	0.028946913580246914	0.7050323736243301	0.6432741285518229	1.0000000000000004	0.8855675735019795	0.39980191482337407
19	Ambient 100	6157.0	0.0010703703703703704	0.5530955614794224	0.7985730343837205	1.0000000000000004	0.9382682595361873	1.0163420270716408
19	Dropout high	3245.0	0.5011617283950617	0.9383725896579131	0.3228321090566504	1.0000000000000004	1.4464536696497685	0.5356553317926709
19	Combined	3232.0	0.2781604938271605	0.8620799666687105	0.4080180013177941	1.0000000000000004	1.2531391323755785	0.5335094090458897
