seed	basis	basis_label	basis_dimension	GeneID	Gene	is_direct	is_null	effect_role	effect_role_label	effect_scope	effect_scope_label	reference_state	target_state	direction	configured_strength	configured_coefficient_0	configured_coefficient_1	latent_coefficient_0	latent_coefficient_1	estimated_coefficient_0	estimated_coefficient_1	latent_strength	observed_strength	maximum_latent_spatial_vector_error	orthogonal_estimate_magnitude	full_log_likelihood	reduced_log_likelihood	likelihood_ratio	full_minus_reduced_log_likelihood	lrt_df	p_value	detection_alpha	detected	full_fit_converged	reduced_fit_converged	full_fit_iterations	reduced_fit_iterations	fixed_design_rank	fixed_design_columns	fixed_design_condition_number	n_cells	n_target_cells
19	hotspot	Hotspot	1	13	Gene_13	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.25	0.25		0.2500000000000008		0.21228532098442424		0.2500000000000008	0.21228532098442424	7.771561172376096e-16	0.0	33275.7164027098	33267.88679413245	15.659217154694488	7.829608577347244	1	7.584204469007504e-05	0.05	True	True	True	4	4	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	14	Gene_14	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.25	0.25		0.2500000000000001		0.2160385716227725		0.2500000000000001	0.2160385716227725	2.2529446285883586e-16	0.0	24191.08894013622	24184.444706758113	13.288466756210255	6.6442333781051275	1	0.0002670437800649722	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	15	Gene_15	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.5	0.5		0.4999999999999987		0.6051550142326665		0.4999999999999987	0.6051550142326665	1.27675647831893e-15	0.0	45375.253841177764	45336.35462127478	77.79843980596343	38.89921990298171	1	1.1411026291985536e-18	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	16	Gene_16	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.5	0.5		0.5000000000000001		0.5146657369725424		0.5000000000000001	0.5146657369725424	1.1102230246251565e-16	0.0	58176.9793583088	58108.59355928614	136.7715980453213	68.38579902266065	1	1.3528438387601827e-31	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	17	Gene_17	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.5	0.5		0.5000000000000003		0.37530059337399196		0.5000000000000003	0.37530059337399196	4.046238728209346e-16	0.0	39493.13076701255	39459.99276019663	66.27601363185386	33.13800681592693	1	3.9200001530442927e-16	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	18	Gene_18	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.75	0.75		0.7499999999999991		0.6870733205931066		0.7499999999999991	0.6870733205931066	8.881784197001252e-16	0.0	30809.509456570428	30773.999882125543	71.01914888976899	35.50957444488449	1	3.5377453405617235e-17	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	19	Gene_19	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.75	0.75		0.75		0.7766247233990065		0.75	0.7766247233990065	2.296519451337091e-16	0.0	24497.86012054617	24419.81676436559	156.0867123611606	78.0433561805803	1	8.10436479566871e-36	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	20	Gene_20	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	0.75	0.75		0.7500000000000001		0.733576880187736		0.7500000000000001	0.733576880187736	2.2675635120397527e-16	0.0	25281.97317099882	25226.0589731222	111.82839575324033	55.914197876620165	1	3.896153449965131e-26	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	21	Gene_21	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	1.0	1.0		0.9999999999999989		0.8590037774360276		0.9999999999999989	0.8590037774360276	1.1102230246251565e-15	0.0	44048.67715174123	43965.85154352791	165.65121642663144	82.82560821331572	1	6.592571310148205e-38	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	22	Gene_22	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	1.0	1.0		0.9999999999999987		1.013402750687713		0.9999999999999987	1.013402750687713	1.5929359389472544e-15	0.0	39524.581518812345	39413.23329260218	222.69645242033585	111.34822621016792	1	2.3347181444797175e-50	0.05	True	True	True	5	6	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	23	Gene_23	True	False	overall	Base/reference f0	overall	Base/reference f0	0		Not applicable	1.0	1.0		1.0000000000000002		1.052840645856385		1.0000000000000002	1.052840645856385	4.1579064092321677e-16	0.0	22458.76401103822	22336.329091146843	244.86983978275384	122.43491989137692	1	3.411194571223984e-55	0.05	True	True	True	5	6	8	8	20.423315919050847	1620	392
19	hotspot	Hotspot	1	24	Gene_24	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-1.0	-1.0		-1.0000000000000004		-0.9599554488773081		-1.0000000000000004	-0.9599554488773081	9.262444496541001e-16	0.0	32931.60278373116	32881.628116631415	99.94933419949666	49.97466709974833	1	1.5634589299931946e-23	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	25	Gene_25	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-1.0	-1.0		-1.0		-0.9722330109152235		-1.0	-0.9722330109152235	8.965226773409946e-16	0.0	25833.593603015815	25785.88419770631	95.41881061901222	47.70940530950611	1	1.5408261904518552e-22	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	26	Gene_26	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-1.0	-1.0		-1.0000000000000007		-1.0402322057675983		-1.0000000000000007	-1.0402322057675983	6.661338147750939e-16	0.0	36145.20786045983	36093.23652226745	103.94267638475867	51.971338192379335	1	2.0825504636020503e-24	0.05	True	True	True	5	5	8	8	20.423315919050847	1620	411
19	hotspot	Hotspot	1	27	Gene_27	True	False	state_1	Type 1 deviation	cell_type_specific	Cell-type-specific fk	0	1.0	Not applicable	-0.75	-0.75		-0.7500000000000006		-0.6254329086194436		-0.7500000000000006	-0.6254329086194436	5.551115123125783e-16	0.0	26484.166573028848	26464.571174991735	39.190796074224636	19.595398037112318	1	3.843477958133821e-10	0.05	True	True	True	5	4	8	8	20.423315919050847	1620	411
