genes,gene,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
CLEC14A,CLEC14A,0.4609131438122089,4,CEACAM6,0.27294033677742424,1.169601625682044,-4870.676037631816,-4.089234613336749,8.250099036891491,SE,3171,0.9279809651615547,17.550315563008844,0.0020728111267089844,9773.599284361786,-4870.808171830106,0.13213419829025952,0.7162294113736525,0.9929148290102869
CRISPLD2,CRISPLD2,0.5505828693215626,4,CTTN,0.27294033677742424,0.8162538468275221,-4670.812212762294,-9.181075724143074,46.74087558935962,SE,3171,1.8311286861786322,34.85857155793427,0.001878976821899414,9373.871634622741,-4671.593471376626,0.781258614332728,0.3767564870088843,0.8724887067574162
CTLA4,CTLA4,0.43211168515935944,4,DNTTIP1,0.27294033677742424,1.3142114147540547,-5017.850593816544,-3.5942095268401006,6.15432346101612,SE,3171,0.4857191934254068,9.368647650266658,0.0019488334655761719,10067.94839673124,-5017.964099044419,0.11350522787506634,0.736188237582857,0.9929148290102869
CTTN,CTTN,0.5818287978657692,4,ELF3,0.27294033677742424,0.7187158480883097,-5678.80494597231,-8.6660764841422,44.64087441803827,SE,3171,0.8972130590868721,17.54083937949701,0.002277851104736328,11389.857101042773,-5679.978522556268,1.1735765839584928,0.27866756571062523,0.7386369211606933
CXCL12,CXCL12,0.4669632103009798,4,FAM49A,0.27294033677742424,1.1414918939072884,-3186.5324852722797,-1.9990004386991687,2.0602826555627387,SE,3171,2.8654030646766744,54.042032112395134,0.001979827880859375,6405.312179642713,-3186.577249364435,0.04476409215521926,0.8324384092509003,0.9929148290102869
CXCL16,CXCL16,0.4945083210652372,4,FCER1G,0.27294033677742424,1.022206692998222,-5685.3969031778815,-1.6272218855969391,2.347291004537752,SE,3171,1.3805141347959808,25.86301037272294,0.0019469261169433594,11403.041015453917,-5685.764859791776,0.367956613894421,0.5441202008314757,0.9929148290102869
CXCR4,CXCR4,0.6052385455363882,4,FCGR3A,0.27294033677742424,0.6522385662110731,-4479.681913058653,-1.9567079445067035,2.8999603727273255,SE,3171,0.24987966115201693,5.027912302467443,0.0019378662109375,8991.61103521546,-4481.4833288889495,1.801415830296719,0.1795414221031303,0.5874994118861732
CYTIP,CYTIP,0.9999546019549734,4,FSTL3,0.27294033677742424,4.5399929762484854e-05,-3534.297036357143,-2.578141559355587,7.122804675469034,SE,3171,0.14001452882974263,49199038.21312883,0.0024628639221191406,7100.84128181244,-3538.561233494638,4.264197137495103,0.038923638630125934,0.3268300940989236
DAPK3,DAPK3,0.4402630098977552,4,GJB2,0.27294033677742424,1.2713646239267098,-4390.633160801409,-2.4057527204672096,2.9466119322999473,SE,3171,0.6589271917165839,12.62493403989956,0.001995086669921875,8813.513530700971,-4390.864696972523,0.23153617111438507,0.6303871128432552,0.9929148290102869
DMKN,DMKN,0.4175235019993302,4,GLIPR1,0.27294033677742424,1.395069338117194,-4820.111649789521,-1.4342875182855372,1.3660977952453883,SE,3171,0.4927652692839018,9.64040902421149,0.001962900161743164,9672.470508677196,-4820.123747250866,0.01209746134463785,0.9124185269299326,0.9929148290102869
DNTTIP1,DNTTIP1,0.47672069292742103,4,HOOK2,0.27294033677742424,1.0976600813594448,-4873.568911037459,-4.716294266768648,11.151062447486014,SE,3171,0.9256205146082602,17.396884721657894,0.0022580623626708984,9779.385031173071,-4873.788163538116,0.21925250065760338,0.6396100665034448,0.9929148290102869
DPT,DPT,0.3545693193951062,4,HOXD8,0.27294033677742424,1.8203159110474545,-5324.918726382586,-3.690422615301286,5.4062357623195085,SE,3171,0.1827113483848894,3.9378928778189315,0.001966714859008789,10682.084661863326,-5325.09305294226,0.1743265596742276,0.6762949377620662,0.9929148290102869
DSC2,DSC2,0.9999546019549734,4,HPX,0.27294033677742424,4.5399929762484854e-05,-3088.261455265455,-2.8525375429436552,8.463905919433456,SE,3171,0.1124094933695311,39499036.32165926,0.0019431114196777344,6208.770119629064,-3090.052038866521,1.7905836010659186,0.1808550731268449,0.5874994118861732
DSP,DSP,0.9999546019549734,4,LAG3,0.27294033677742424,4.5399929762484854e-05,-3236.364037546818,-2.398227116088841,6.143419257040513,SE,3171,0.09247523190977965,32494431.16034825,0.0020008087158203125,6504.97528419179,-3237.699370813399,1.335333266581074,0.2478586357603777,0.6816112483410387
DST,DST,0.9999546019549733,4,LGALSL,0.27294033677742424,4.5399929762484854e-05,-4515.912746575981,-3.147334928023194,10.815052993560109,SE,3171,17.907756427958645,6292521213.164402,0.002241849899291992,9064.072702250116,-4517.533431668583,1.6206850926018888,0.2029962876545781,0.6117696340274956
DUSP2,DUSP2,0.4132121842045367,4,MAP3K8,0.27294033677742424,1.4200586504031354,-4876.677553088373,-2.6345509736752075,3.3789543514021276,SE,3171,0.4770906655294249,9.378249097213297,0.002579927444458008,9785.6023152749,-4876.702846819477,0.02529373110337474,0.8736373358973464,0.9929148290102869
DUSP5,DUSP5,0.4015917882764787,4,MEDAG,0.27294033677742424,1.4900849690992837,-3083.7816694962403,-2.083480564195252,1.8997978496651085,SE,3171,0.3109221430043032,6.198799878843969,0.0019872188568115234,6199.810548090634,-3083.933735501721,0.15206600548071947,0.6965687764769337,0.9929148290102869
EDNRB,EDNRB,0.9999546019549733,4,PRDM1,0.27294033677742424,4.5399929762484854e-05,-4374.160782282347,-1.237843842298312,2.4418226249951744,SE,3171,3.0925994910489103,1086693801.0651193,0.0018901824951171875,8780.568773662848,-4375.106746653792,0.945964371444461,0.3307486635583843,0.8158699080719801
EGFL7,EGFL7,0.9999546019549734,4,QARS,0.27294033677742424,4.5399929762484854e-05,-5465.970135151011,-7.752011630001954,61.31342113778443,SE,3171,0.5274269109817307,185330029.42556387,0.001928091049194336,10964.187479400176,-5467.820445933681,1.8503107826700216,0.17374725282280434,0.5874994118861732
EGFR,EGFR,0.5071934815099477,4,S100A14,0.27294033677742424,0.971630398118031,-5669.030710031188,-8.132307351284352,34.41434204454312,SE,3171,0.339957022151274,6.369733030905546,0.001971006393432617,11370.30862916053,-5669.77331095358,0.74260092239183,0.3888289816959726,0.8851858872974869
EIF4EBP1,EIF4EBP1,0.49400166303359333,4,SERPINB9,0.27294033677742424,1.0242807048313627,-5269.112320434816,-2.157997504483935,3.090823125417289,SE,3171,0.24004166864985005,4.497185095758358,0.0019330978393554688,10570.471849967786,-5269.821016157645,0.7086957228293613,0.39987714061218405,0.8948360119158625
ELF3,ELF3,0.9999546019549733,4,SLAMF1,0.27294033677742424,4.5399929762484854e-05,-2681.3608023501183,-1.974445873320218,4.176208308744985,SE,3171,0.03980238773503435,13985971.39537526,0.0019991397857666016,5394.96881379839,-2683.6797655667933,2.3189632166750016,0.12780518572416089,0.5857737679024041
ENAH,ENAH,0.522218784133299,4,SLAMF7,0.27294033677742424,0.9149026703286806,-3502.203632504531,-1.6460829992886725,1.6853065885466412,SE,3171,1.0227115763857193,19.21584606479765,0.002109050750732422,7036.654474107216,-3502.9039524602913,0.7003199557602784,0.4026762053621381,0.8948360119158625
EPCAM,EPCAM,0.8073060803750989,4,SOX17,0.27294033677742424,0.23868663430099285,-2337.8190208260175,-2.199713205912402,4.079571305549919,SE,3171,0.1136652523798361,4.64723802755412,0.0023941993713378906,4707.885250750189,-2343.743001226742,5.923980400724304,0.014936178584699755,0.2190639525755964
ERBB2,ERBB2,0.5045489690167678,4,SQLE,0.27294033677742424,0.9819643622489457,-5535.019740134661,-7.3384286423500065,27.988298027346882,SE,3171,1.2795538180136103,23.970158561187237,0.0019252300262451172,11102.286689367476,-5535.546390220648,0.5266500859870575,0.4680186478212124,0.9547822527621284
ERN1,ERN1,0.3987532425287445,4,SVIL,0.27294033677742424,1.5078107411341672,-5574.968584087614,-5.974193702743041,14.953414420870944,SE,3171,0.2834666910346581,5.6726329700332325,0.001934051513671875,11182.184377273381,-5575.110746790557,0.14216270294309652,0.7061403891513758,0.9929148290102869
ESM1,ESM1,0.4733970235801839,4,TMEM147,0.27294033677742424,1.1123874988472562,-5352.909023571556,-7.514173154443913,27.398723136882747,SE,3171,2.277266137112435,42.84564555062471,0.0018851757049560547,10738.065256241265,-5353.013596392877,0.10457282132119872,0.7464095853190624,0.9929148290102869
