genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
ZEB1,2.02316749970261e-06,1.24515118788478,1.93520369536771e-05,16.3249857269881,5.47050964895342,609
ACTA2,1.45067909248088e-06,1.18224104976934,1.51975904926568e-05,15.8934324554015,6.88987096650117,950
CD247,3.07337923661699e-05,1.51698337746854,0.000260055166175283,15.7616814719881,5.63531482524058,225
TCIM,1.64467587030945e-06,1.18209474787853,1.64467587030945e-05,15.7430991179416,7.60650240019962,952
NOSTRIN,2.74227831808128e-05,1.47661962325436,0.000241320491991152,15.5106139145733,5.4314870055783,244
GZMA,0.000100730702147821,1.48698450332776,0.000671538014318807,13.6848074804318,6.1589712095095,225
ZEB2,8.61340456525264e-06,1.16727224593074,7.89562085148159e-05,13.6129517617393,6.03456456842093,950
ITGAX,9.96188969870684e-05,1.43297956386404,0.000671538014318807,13.2037010903434,5.39967147812696,255
ESM1,0.00066032895822849,1.74612928510418,0.00343594013273528,12.7865073804172,5.33671808836129,122
CAV1,5.08658134549207e-05,1.20708149065355,0.000414462183706762,11.9335932808477,5.88284864033782,608
S100A4,7.40526876365637e-05,1.20362603296765,0.000543053042668134,11.4473667016498,5.5919073994634,604
LUM,5.37507509209934e-05,1.15077084601674,0.000422327328664948,11.3134041635643,8.36933834727326,951
MMP2,6.67065758160103e-05,1.14870150131533,0.000506049885500768,11.0450027415785,6.13459719183818,951
S100A14,7.6924657908174e-05,1.14766598452518,0.000545916927090267,10.8714773051861,6.39694643405388,951
RTKN2,0.000104435775297423,1.1653949619318,0.000675760898983326,10.6831036714813,4.96829351953072,767
HOXD8,0.00010851673734758,1.14419080933931,0.000682105206184791,10.4448672424465,5.08590376746523,951
DSP,0.000117263868605228,1.14351828758176,0.000716612530365283,10.3500799338251,6.37845778107658,951
SOX17,0.00330906552524273,1.68741817778353,0.0134813780658037,9.63699614968916,5.16091735917595,115
TRAC,0.000405514947704923,1.21042375281588,0.00241116995932657,9.45383657444924,5.73934637444406,500
LPXN,0.000533867129618685,1.24490052304677,0.00301155816707976,9.38077805076585,5.1619780743049,403
ANKRD29,0.00214396275187325,1.44930101732474,0.00907061164254066,8.90609882519632,4.99428919307627,189
ANKRD30A,0.000420528029746351,1.13146601867293,0.0024346359616894,8.79601617589612,8.23570864363407,951
CTLA4,0.00598608296224922,1.71104191133017,0.0223209873168615,8.75765663108386,5.68300552330343,107
PTPRC,0.000592011160016505,1.17007708429629,0.00317664524886905,8.69599542343739,6.07583486429489,619
TCF4,0.000688910041252945,1.18850080882068,0.00344455020626472,8.65276112178438,5.40862628897925,528
STC1,0.000671570116852805,1.17667992826094,0.00343594013273528,8.5966966264754,4.7929315802996,589
PPARG,0.000563087718260114,1.14087195656719,0.00309698245043063,8.53608970059592,5.11115180558436,817
PRDM1,0.000985252939024776,1.23005624271179,0.00470866083199944,8.51520230188965,5.42544483994477,412
MLPH,0.00077883107555317,1.12580292379491,0.00380761859159328,8.0581780321513,7.59414674175886,951
CCDC80,0.00100594117774534,1.12125266126314,0.00470866083199944,7.73869713928387,6.03611395049662,951
FBLN1,0.0014219022641629,1.17713386657606,0.0063743021381053,7.71700674188958,5.56419618250977,538
CENPF,0.00131544896785159,1.11908259419435,0.00602914110265314,7.42352083906559,5.90008201869344,950
SERPINA3,0.00310480698018813,1.27533286954842,0.0128878780309696,7.36479701170222,5.02447107010839,294
SLC5A6,0.00144870503138757,1.11753156692435,0.0063743021381053,7.30539907045849,5.54315902541476,951
CD9,0.00190967748890802,1.11428659670065,0.00823782446195615,6.97634881895846,7.13622986649602,951
NPM3,0.00587954704578293,1.21452723083013,0.0223017301736594,6.23814652424929,4.75722011757546,361
