genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
ACTA2,1.61282917396499e-85,2.31507601454191,1.61282917396499e-84,451.999476295425,6.69094641427857,610
AVPR1A,2.78022631409063e-39,5.06507493897111,1.00270457229498e-38,449.668673034732,5.44571368978738,110
IL7R,1.61255694105508e-53,3.54766059490587,8.06278470527539e-53,431.250744222422,5.95970884008502,208
PRDM1,3.23965921434141e-59,3.19615152513677,1.92628385717597e-58,430.448266247436,5.35840555010534,246
VWF,1.70305202217657e-71,2.62004412590122,1.24890481626282e-70,426.939123858464,5.68546920381359,387
BTNL9,2.3633996001465e-42,4.43922284466147,9.28478414343266e-42,425.492730144987,5.56161386844574,126
ZEB1,9.70876563527926e-69,2.71546120985657,6.89009174116593e-68,425.255732178024,5.39826393129152,354
CD3E,4.52293593801523e-48,3.89967460503581,1.91354981992952e-47,425.122727326992,6.14349338883774,174
PDGFRA,1.98094131678352e-68,2.69785068584121,1.36189715528867e-67,420.573916941049,5.55328889063342,356
FCER1G,4.097557216422e-77,2.2990760207089,3.46716379851092e-76,404.38140319965,5.65746014629729,548
CD163,2.73786217975559e-54,3.19217229702997,1.43411828463388e-53,393.698326891175,5.46703967290981,239
GJB2,2.53091235527345e-47,3.66583352642732,1.05056739275502e-46,393.317981518284,5.26387982242438,172
SLAMF7,7.98344872370253e-34,4.89525485193588,2.62143092420083e-33,373.069930882617,5.54593094086925,102
ESM1,7.96417815519763e-30,5.5155651369142,2.4001632796486e-29,369.557199313494,5.65650959130608,82
LPXN,1.017435578217e-52,3.02926301938777,4.8659962436465e-52,362.654703514077,5.01628378895733,248
CCL8,1.22564816747878e-23,6.67189153228827,3.0993401936245e-23,351.98222506774,5.14153332244834,60
C1QC,3.47527206927538e-54,2.85432786541098,1.7780461749781e-53,351.350412347787,5.37833592013563,275
GLIPR1,9.55663482265358e-57,2.6364396875488,5.39092220765074e-56,340.07465754249,5.2436367343966,324
AQP1,5.19901827746411e-56,2.6044347220722,2.85946005260526e-55,331.534891711903,5.53658871532685,313
PDK4,1.43490661684412e-66,2.08932396803586,9.56604411229413e-66,316.761396325564,5.72187709576141,609
CCL5,6.52473989911347e-38,3.62534508172449,2.27848059969042e-37,310.411589413579,5.92604578365892,161
FOXA1,2.91672032004208e-61,2.03168064829455,1.78244019558127e-60,283.190339569129,8.39289890075449,609
KLRB1,3.81123859164365e-33,3.776822568095,1.23304777964942e-32,281.929810642154,5.6039008503819,140
CD3D,3.84169502989941e-22,5.67379136182877,9.39081007308745e-22,279.780089601375,5.64529307555377,69
GZMA,7.68302916146176e-26,4.71308499080083,2.03646556086938e-25,272.549214519752,5.91995354538997,94
S100A4,3.60550835068217e-49,2.42505730998671,1.65252466072933e-48,270.501094046367,5.45608599518241,334
TOP2A,7.06775361953406e-57,1.96680713511074,4.09185735867762e-56,254.292049709654,6.27692511914075,610
