Gene,C,Z,Pval,FDR
CD86,0.018759846024201297,5.269392,6.84381829146446e-08,1.0455833500848481e-07
PDE4A,0.0190491022598088,5.246846,7.73624795115339e-08,1.1737755512094799e-07
RAPGEF3,0.019218963067892857,5.2056446,9.666216438290545e-08,1.4565531619341915e-07
AVPR1A,0.014943024759368432,5.1060305,1.6449833688926754e-07,2.4618798718121673e-07
AKR1C1,0.01894095769541661,4.930152,4.1082843302193107e-07,6.106909139515191e-07
SEC11C,0.014217954368668217,4.908488,4.5890669566023847e-07,6.775803560084058e-07
MDM2,0.022635900406550356,4.8836765,5.206292112092312e-07,7.635895097735392e-07
SVIL,0.020577668718413756,4.803864,7.781627936597578e-07,1.1337471165903757e-06
CTLA4,0.010345173392872194,4.6901464,1.3650479023135515e-06,1.975727227032772e-06
BACE2,0.01761152379669888,4.515982,3.1511986528594473e-06,4.531135317837114e-06
DUSP5,0.014458664088006319,4.328402,7.5097554325113705e-06,1.0728222046444816e-05
HOOK2,0.019357520469717053,4.303574,8.40323062372838e-06,1.1927166046582216e-05
HMGA1,0.019230304998825026,4.2517138,1.0607044961341172e-05,1.4958653150609345e-05
MMP1,0.020697734098460152,4.1902304,1.3933569127178141e-05,1.952474654763816e-05
MAP3K8,0.014772903669573768,4.1303864,1.8107704613891937e-05,2.5213259588963458e-05
PCLAF,0.017733094952968403,4.1074443,2.0003061818633845e-05,2.7677192453455634e-05
FAM107B,0.013476737914870557,4.0913935,2.1439445312472975e-05,2.947923730465034e-05
DMKN,0.01813362547365274,3.9127572,4.5624142181037576e-05,6.23435483219147e-05
CD83,0.01256778276358802,3.7903616,7.521405320633477e-05,0.00010214254139131882
DST,0.015265629439233359,3.3115728,0.0004638655055847252,0.0006260761425069911
ZNF562,0.013085249191877568,2.819202,0.0024071609327427413,0.003229118324410994
SQLE,0.012695432494188029,2.7377574,0.0030929840860121427,0.004123978781349524
C6orf132,0.011764370103236626,2.71169,0.0033470587449495634,0.004435860987282554
PELI1,0.010934630507300999,2.639208,0.004154997902749817,0.005473649931766226
ENAH,0.011068384888115014,2.4825113,0.0065229968297618205,0.008542019658021432
CCDC6,0.010699251509481134,2.425818,0.007636964643401563,0.009941610778392567
CLDN4,0.01063520041081209,2.3646562,0.009023407414121266,0.011677350771215756
APOBEC3B,0.007461271441917295,2.2595947,0.01192320907835966,0.015339801153445177
WARS,0.009112087601536981,2.221787,0.013148852660536713,0.016756591343830594
TMEM147,0.010075606754604411,2.2209618,0.01317677410219406,0.016756591343830594
OCIAD2,0.008548497882012632,2.1058855,0.017607149502694715,0.02226191316432665
TUBA4A,0.007929404124832147,1.9908595,0.02324816743376649,0.029226267631020732
