Gene,C,Z,Pval,FDR
TRAC,0.003998770270293626,2.8241034,0.002370654641131344,0.009108304673820428
EGFR,0.005424413450727392,2.7996325,0.002558040365454669,0.009658807586802974
TYROBP,0.006139345523858886,2.7834313,0.0026893626746242703,0.00998254958885958
MLPH,0.00845270131769504,2.740006,0.003071903419664403,0.011212447481775072
VWF,0.00578142995216252,2.6994648,0.0034725551398751614,0.012467042223486236
C1QC,0.00536563415838219,2.6930935,0.0035396202457957165,0.012502852158536483
GLIPR1,0.005769447786596352,2.6670094,0.00382647709556409,0.013301563236960886
CD3D,0.0035239039817166733,2.6464386,0.004067213558495836,0.013917496395477938
CEACAM6,0.0062406315027135305,2.597497,0.00469529721314076,0.015819539841197328
CYTIP,0.00414530374691886,2.5736568,0.005031501915992653,0.016695438175793803
CTTN,0.007772694070247373,2.5441513,0.005477181107955141,0.017903024815554863
FBLIM1,0.0052229760080706525,2.537571,0.005581236909385596,0.017974865928756554
CAV1,0.005646563207008999,2.531577,0.00567754235759163,0.018020025743660392
CRISPLD2,0.005477003395229155,2.5071702,0.006085104712592436,0.01903768474368205
IL3RA,0.005170746331144422,2.4846425,0.006484079605258856,0.020000189204953375
GJB2,0.0051961830841714286,2.474154,0.006677605801056173,0.02031105097821253
MMRN2,0.005728774928942905,2.4608104,0.0069311796469705075,0.020793538940911523
TCF4,0.005344322046751782,2.4284787,0.0075811574824402065,0.02243612822505953
TRAF4,0.007414784395197549,2.3810515,0.008631648194821548,0.02520441272887892
NARS,0.006781394430054653,2.261654,0.01185939752450885,0.034173790235097874
CTLA4,0.00292983582360511,2.2488616,0.01226065293136807,0.03487120768791698
PDK4,0.004596208768307111,2.1963904,0.014032006442617994,0.0389490069312833
KARS,0.00630316270473503,2.1958847,0.014050098390736898,0.0389490069312833
CD93,0.004164964084997463,2.176124,0.014772991305023655,0.04044106369750226
MMP1,0.004544332179446928,2.1543095,0.01560795374317588,0.04219928234266071
RUNX1,0.005774750278141777,2.1417823,0.016105502848626312,0.04301347712011174
TFAP2A,0.006469785566436127,2.1362598,0.016329122036319626,0.04308527380667468
