genes,p.value,estimate,adj.p.value,score,av_expr,high_expr
TIFA,0.0212237345915414,0.879172135286563,0.0496725703206289,3.38712948654608,4.83064896105785,517
SLAMF7,0.0665418056206205,1.24370155933146,0.125702233483014,3.37033779008755,5.65800229679501,198
DST,0.0460477896145893,1.08316792897648,0.0946776982729873,3.33407268310778,5.83739014057066,2406
WARS,0.0436076819862715,1.0614239208226,0.0905065097828276,3.32493373214404,5.07671355703809,1527
MRC1,0.0662198885538688,1.2001370522988,0.125702233483014,3.25810138187511,5.30479299808033,243
JUP,0.0479480621480549,1.06135171523294,0.0967759052529549,3.22400112609148,4.98598128268923,1363
DNTTIP1,0.0508810374945802,1.07608745221522,0.100845299538808,3.20487356267266,4.8441012698599,848
IGSF6,0.0270603127550406,0.884530132497614,0.0626659874327256,3.1928770074849,5.2208769648724,505
FAM107B,0.0363905269113417,0.939841863938149,0.0777273390339337,3.11411600519857,5.25973065416321,1511
CRISPLD2,0.0600799151924277,1.08688012085812,0.118014119127983,3.0563935058355,5.17214586410517,653
CD14,0.0643550169357058,1.09803307813127,0.124193892332064,3.01227848699608,5.4126020174373,549
RAB30,0.0819434956500127,1.13792845619435,0.146565601975632,2.84678446156955,4.884021593216,334
PDGFRB,0.0721068068233698,1.06914316043093,0.134436419501198,2.81142615804627,5.96032284998836,859
CENPF,0.0761328102199038,1.0555801046351,0.139027137370417,2.71841006828061,5.44324165144865,1311
ACTA2,0.0808203949134284,1.05845107105143,0.145741695745527,2.66256111805294,5.79933303669016,2059
LRRC15,0.106673395166513,1.18358622359796,0.184788558556165,2.64884643232723,5.14962450664791,227
SH3YL1,0.0853977164324245,1.05577954760573,0.151512077541398,2.59767792064306,5.47155764033312,1997
TUBA4A,0.0873690981862649,1.05199815526166,0.153769612807826,2.56436503832216,5.25014784308813,1649
CD69,0.115839061829722,1.17838762268049,0.197554989166968,2.54007750459081,5.60499019982832,237
LYZ,0.066850733261421,0.919935334324136,0.125702233483014,2.48869462659745,5.73542166987886,656
TCIM,0.104589802137977,1.07802179618141,0.182617114844087,2.43385975507319,6.43767848371232,2544
LUM,0.0764649255537296,0.945230683234234,0.139027137370417,2.43011542934206,6.75568729382965,2003
SRPK1,0.107865034409731,1.04881807714105,0.185393027891725,2.33558624659686,5.18367750921,1675
LPL,0.138027230171797,1.16007447024571,0.228315719081168,2.29730045386451,5.42698696578958,239
BASP1,0.117074649713047,1.05158028735784,0.198126330283618,2.25558031882134,5.35872483779658,2031
TRAF4,0.121597863607698,1.04838511522092,0.204210152623615,2.20898505238169,5.30549641629815,1866
MEDAG,0.0468404204161239,0.717473283410442,0.0954156712180302,2.19619200896737,5.31239144013728,170
DUSP5,0.140381176924952,1.05655657147228,0.230476559130518,2.07443668925424,4.93665549689858,853
CLDN4,0.142307527170538,1.04973600475165,0.231908562796433,2.04673839407159,4.91611444563724,1077
FCGR3A,0.15457145378787,1.09418995736271,0.246418259661822,2.04296076237462,5.3754884845574,415
CD4,0.146561101444553,1.06348664299308,0.237084134689718,2.04222707992332,5.5386954752384,690
OXTR,0.17482309657873,1.16332268085466,0.272773625867522,2.02881229517679,4.77000158777344,212
SDC4,0.149089126988711,1.05306666002189,0.239413196624208,2.00420803440444,4.82820270135918,917
CD3D,0.200728065581108,1.20200999411139,0.302466948135916,1.93019269035749,5.65163458443362,165
TRAPPC3,0.171227385551821,1.04121624047786,0.269071605867147,1.83749975639211,5.07349367366214,1606
GJB2,0.190042163306636,1.0966757526959,0.292372558933286,1.82104030760224,5.45101801287119,354
TUBB2B,0.184712853871068,1.0691383261217,0.286174844025598,1.80572417051734,4.81628713299369,553
ANGPT2,0.0732330254186236,0.686920217538379,0.135388786488212,1.79568418064594,5.21244630367642,141
C2orf42,0.133556985427192,0.884050227372685,0.222594975711987,1.77979381812141,4.76327670652764,341
THAP2,0.206872639318223,1.06187223016731,0.309605310544279,1.67314104381335,4.83827891714556,601
KARS,0.19450730092102,0.96041881714095,0.295114525535341,1.5724798798342,4.97436549392929,1247
FCER1G,0.194202557452634,0.952867387843837,0.295114525535341,1.56161010509911,5.69204086752813,888
PDGFRA,0.237248706168877,1.05114068418011,0.347643581548087,1.51221965077474,5.87331693006287,710
AQP1,0.246604184264039,1.06920949202495,0.356927108803215,1.49686198299832,5.38074639189383,474
